Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,4500000.0,(151),2810450.0,5300000.0,(0),3.74507,(144),none
1,640000.0,(147),1356310.0,1862000.0,(3),7.4231,(61),none
2,643000.0,(148),1324160.0,1858000.0,(4),6.9856,(79),none
3,645000.0,(149),1324160.0,1858000.0,(5),7.1925,(72),none
4,632000.0,(145),1268250.0,1870000.0,(1),7.802,(44),none
5,636000.0,(146),1268250.0,1870000.0,(2),7.6025,(50),none
6,648000.0,(150),939076.0,1853000.0,(6),6.9747,(80),none
7,189000.0,(52),120658.0,62000.0,(12),7.0929,(77),none
8,192000.0,(53),120658.0,62000.0,(13),6.833,(85),none
9,195000.0,(54),120658.0,62000.0,(14),6.7131,(91),none
10,612000.0,(141),85114.6,48000.0,(28),6.1941,(108),none
11,610000.0,(140),77579.3,43000.0,(34),6.0228,(112),none
12,427000.0,(101),62853.1,32000.0,(49),7.1804,(74),none
13,602000.0,(139),51818.9,31000.0,(57),5.9926,(113),none
14,321000.0,(82),45437.4,21000.0,(84),6.0343,(111),none
15,325000.0,(84),45437.4,21000.0,(85),5.6898,(116),none
16,328000.0,(85),45437.4,21000.0,(86),5.2748,(126),none
17,206000.0,(56),44450.7,34000.0,(45),6.2149,(107),none
18,323000.0,(83),43041.4,63000.0,(11),6.3413,(103),none
19,563000.0,(129),42201.3,30000.0,(58),6.1175,(110),none
20,566000.0,(130),42201.3,30000.0,(59),6.4026,(99),none
21,288000.0,(73),36971.1,29000.0,(60),7.5734,(53),none
22,475000.0,(111),34945.2,22000.0,(80),7.3323,(65),none
23,486000.0,(112),34945.2,22000.0,(81),6.7923,(87),none
24,228000.0,(61),32558.6,20000.0,(88),6.375,(100),none
25,224000.0,(59),31008.9,46000.0,(29),8.0058,(34),none
26,226000.0,(60),31008.9,46000.0,(30),7.8065,(43),none
27,233000.0,(62),31008.9,46000.0,(31),7.9242,(37),none
28,242000.0,(63),31008.9,46000.0,(32),6.9232,(82),none
29,202000.0,(55),30734.9,25000.0,(68),6.2333,(106),none
30,294000.0,(74),28754.0,32000.0,(48),8.5238,(9),none
31,209000.0,(57),28599.6,31000.0,(52),6.3733,(101),none
32,213000.0,(58),28599.6,31000.0,(53),6.3033,(105),none
33,275000.0,(69),27814.0,21000.0,(83),6.9656,(81),none
34,2589.01,(0),27618.2,2592.66,(114),3.20006,(148),none
35,38333.4,(34),25244.2,2586.1,(115),18.6861,(1),none
36,529000.0,(123),24038.7,52000.0,(17),8.4024,(16),none
37,404000.0,(99),21674.8,15000.0,(101),6.3243,(104),none
38,542000.0,(125),20064.4,25000.0,(76),6.7239,(89),none
39,545000.0,(126),20064.4,25000.0,(77),8.052,(31),none
40,552000.0,(127),20064.4,25000.0,(78),6.9922,(78),none
41,557000.0,(128),20064.4,25000.0,(79),8.1215,(26),none
42,461000.0,(109),18521.5,14000.0,(102),8.0122,(33),none
43,465000.0,(110),18521.5,14000.0,(103),7.3018,(66),none
44,497000.0,(114),16502.9,43000.0,(33),7.7241,(45),none
45,504000.0,(115),16091.3,14000.0,(104),7.2344,(67),none
46,513000.0,(117),15755.4,51000.0,(18),7.695,(47),none
47,585000.0,(135),13001.3,31000.0,(55),6.6352,(92),none
48,587000.0,(136),13001.3,31000.0,(56),6.6225,(93),none
49,581000.0,(134),12854.8,36000.0,(43),7.8434,(42),none
50,278000.0,(70),12387.2,25000.0,(69),7.4439,(60),none
51,280000.0,(71),12387.2,25000.0,(70),7.7136,(46),none
