Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1417.72,(4),1000.47,423.92,(5),0.00498037,(23),none
1,1153.95,(3),728.094,322.602,(14),0.00405303,(27),none
2,1770.74,(5),517.756,153.73,(21),0.0438366,(6),none
3,2452.24,(7),363.715,425.22,(4),0.00370491,(28),none
4,4522.02,(14),285.439,414.23,(6),0.00478153,(24),none
5,2672.9,(8),275.328,282.41,(17),0.00458487,(25),none
6,4112.77,(13),224.004,402.44,(8),0.00589356,(21),none
7,379.581,(0),217.462,428.11,(2),0.0034316,(29),none
8,2117.07,(6),209.505,178.66,(20),0.0202984,(12),none
9,878.751,(2),200.565,95.342,(27),0.0119875,(17),none
10,7183.69,(23),197.884,753.28,(0),0.00754872,(20),none
11,3230.75,(10),182.519,406.46,(7),0.00419313,(26),none
12,3622.62,(11),148.629,379.95,(10),0.00556969,(22),none
13,6332.22,(20),110.459,367.99,(13),0.0150147,(15),none
14,2947.96,(9),110.242,113.96,(26),0.0295449,(8),none
15,7902.23,(24),103.42,388.09,(9),0.0201017,(13),none
16,8290.5,(25),100.601,491.57,(1),0.0288031,(9),none
17,4913.32,(16),87.5938,320.01,(15),0.0105338,(19),none
18,8893.4,(26),82.5219,296.9,(16),0.0236909,(11),none
19,4765.5,(15),81.7043,60.93,(29),0.0476759,(4),none
20,6785.21,(22),80.1876,137.64,(24),0.0248852,(10),none
21,5409.42,(17),78.4247,379.33,(11),0.0135304,(16),none
22,6595.43,(21),74.5487,252.87,(18),0.0108269,(18),none
23,9129.11,(27),70.3547,373.01,(12),0.0187954,(14),none
24,601.211,(1),68.4145,425.999,(3),0.00230782,(30),none
25,3849.77,(12),43.8821,20.92,(30),0.468122,(0),none
26,5871.25,(19),35.5658,181.57,(19),0.0638192,(2),none
27,5651.14,(18),19.4542,117.84,(25),0.0530141,(3),none
28,9527.08,(28),16.7798,150.32,(23),0.0413247,(7),none
29,9696.16,(29),14.4084,151.0,(22),0.0447213,(5),none
30,9914.32,(30),11.2323,93.34,(28),0.116404,(1),none
