Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,3200.11,(2),348.677,753.42,(19),0.000696139,(13),['39-Y-89_n-g']
1,1437.5,(0),270.129,2581.61,(2),0.000247767,(21),['39-Y-89_n-g']
2,31972.8,(25),64.0899,2676.6,(0),0.000233453,(22),['39-Y-89_n-g']
3,4429.44,(3),47.6797,1382.17,(13),0.00013035,(28),['39-Y-89_n-g']
4,6054.6,(5),47.4261,1534.63,(11),0.000169755,(25),['39-Y-89_n-g']
5,10170.7,(9),46.0442,1728.02,(7),0.000423141,(16),['39-Y-89_n-g']
6,12530.6,(10),45.076,1291.3,(14),0.000904994,(11),['39-Y-89_n-g']
7,28499.4,(23),44.5217,1002.4,(17),0.0010385,(10),['39-Y-89_n-g']
8,39762.4,(29),42.9395,2565.7,(3),0.000132604,(27),['39-Y-89_n-g']
9,19212.7,(16),39.4002,1639.4,(9),0.000113546,(30),['39-Y-89_n-g']
10,21268.9,(17),38.9348,2613.0,(1),0.000180548,(24),['39-Y-89_n-g']
11,17910.9,(15),38.0414,1442.1,(12),9.31763e-05,(32),['39-Y-89_n-g']
12,25709.9,(21),34.8481,1557.2,(10),0.000575861,(15),['39-Y-89_n-g']
13,23535.6,(18),29.3092,594.3,(21),0.0017767,(6),['39-Y-89_n-g']
14,9609.07,(8),28.3034,300.58,(29),0.00151192,(7),['39-Y-89_n-g']
15,2602.36,(1),28.0583,4.98,(32),5.11384,(0),['39-Y-89_n-g']
16,24329.7,(20),26.674,372.3,(28),0.00599304,(2),['39-Y-89_n-g']
17,13936.4,(12),25.2152,409.3,(25),0.00111765,(8),['39-Y-89_n-g']
18,16860.0,(14),24.8868,515.7,(22),0.0002843,(19),['39-Y-89_n-g']
19,8677.88,(7),24.3525,1767.65,(6),0.00026335,(20),['39-Y-89_n-g']
20,29942.6,(24),23.4285,385.7,(27),0.00604027,(1),['39-Y-89_n-g']
21,36810.3,(27),21.0504,2526.1,(4),0.000155507,(26),['39-Y-89_n-g']
22,27462.2,(22),18.0608,1236.1,(15),0.000372653,(17),['39-Y-89_n-g']
23,13522.2,(11),17.5864,712.3,(20),0.000652662,(14),['39-Y-89_n-g']
24,5178.71,(4),16.0835,920.84,(18),0.000119598,(29),['39-Y-89_n-g']
25,33669.1,(26),15.5162,1697.7,(8),0.000288078,(18),['39-Y-89_n-g']
26,38171.4,(28),13.7133,204.7,(30),0.00584214,(3),['39-Y-89_n-g']
27,23897.9,(19),13.6954,395.7,(26),0.00207591,(5),['39-Y-89_n-g']
28,16133.4,(13),9.9034,1235.8,(16),0.000184034,(23),['39-Y-89_n-g']
29,7304.32,(6),9.59909,159.57,(31),0.00533899,(4),['39-Y-89_n-g']
30,43979.1,(32),6.95286,1812.6,(5),9.83836e-05,(31),['39-Y-89_n-g']
31,41334.1,(30),6.70314,454.5,(24),0.000851058,(12),['39-Y-89_n-g']
32,41698.5,(31),5.89374,484.3,(23),0.00107463,(9),['39-Y-89_n-g']
