Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,50250.0,(215),1389510.0,4977750.0,(0),0.1488,(52),none
1,22500.0,(205),1095650.0,3977750.0,(1),0.2104,(41),none
2,25000.0,(206),1095650.0,3977750.0,(2),0.2478,(31),none
3,27500.0,(207),1095650.0,3977750.0,(3),0.2228,(35),none
4,29000.0,(208),1095650.0,3977750.0,(4),0.2065,(42),none
5,33250.0,(209),1095650.0,3977750.0,(5),0.1871,(48),none
6,34000.0,(210),1095650.0,3977750.0,(6),0.1911,(46),none
7,14250.0,(196),891007.0,2987750.0,(8),0.3493,(19),none
8,16250.0,(198),891007.0,2987750.0,(9),0.3738,(18),none
9,19250.0,(202),854324.0,2985250.0,(10),0.3226,(21),none
10,6994.07,(190),19378.7,2018.88,(24),0.0330829,(127),none
11,7000.0,(191),19228.3,2018.44,(25),0.0318363,(129),none
12,47750.0,(214),4468.64,25750.0,(11),0.1284,(62),none
13,45500.0,(213),4339.25,24500.0,(12),0.1332,(60),none
14,37500.0,(211),3894.03,21500.0,(13),0.1462,(54),none
15,38250.0,(212),3894.03,21500.0,(14),0.1364,(58),none
16,15250.0,(197),1706.82,7500.0,(15),0.2486,(30),none
17,17000.0,(199),1706.82,7500.0,(16),0.264,(28),none
18,17500.0,(200),1706.82,7500.0,(17),0.2695,(26),none
19,18750.0,(201),1706.82,7500.0,(18),0.2649,(27),none
20,20250.0,(203),1706.82,7500.0,(19),0.2112,(39),none
21,22000.0,(204),1706.82,7500.0,(20),0.2133,(38),none
22,13750.0,(195),445.5,2500.0,(23),0.2961,(24),none
23,145.475,(5),342.728,72.637,(42),0.0106475,(182),none
24,229.418,(6),120.725,46.743,(67),0.0133658,(169),none
25,1413.56,(40),104.302,52.21,(61),0.0494447,(109),none
26,3620.4,(102),81.3137,55.35,(58),0.210419,(40),none
27,972.408,(27),72.6299,50.527,(63),0.03978,(117),none
28,1921.54,(53),62.0177,103.5,(32),0.00864322,(191),none
29,3637.57,(103),61.8033,55.03,(59),0.0634525,(96),none
30,3730.17,(104),61.7605,76.55,(38),0.027128,(139),none
31,1161.19,(32),57.474,21.55,(128),0.116697,(68),none
32,2052.83,(57),53.0964,39.61,(72),0.047402,(110),none
33,2586.39,(75),46.2373,57.01,(56),0.0328692,(128),none
34,388.972,(12),45.6227,11.375,(166),0.123925,(64),none
35,3145.25,(88),45.0679,147.28,(27),0.217661,(37),none
36,1604.41,(46),43.6465,32.96,(91),0.0452571,(112),none
37,5631.88,(152),42.5225,65.71,(49),0.0496424,(108),none
38,948.319,(26),41.7174,13.845,(157),0.182867,(49),none
39,2999.37,(86),41.2942,141.64,(29),0.0982793,(75),none
40,6684.22,(180),39.8194,65.8,(48),0.0394988,(118),none
41,728.234,(22),39.7441,16.272,(143),0.0991517,(74),none
42,5942.79,(161),39.3223,86.45,(34),0.0235145,(148),none
43,367.381,(11),39.2227,10.999,(169),0.107516,(71),none
44,917.069,(25),39.1428,18.351,(137),0.0860771,(82),none
45,4576.33,(128),36.4182,30.67,(99),0.176407,(50),none
46,1463.49,(41),34.8102,10.4,(173),0.510521,(13),none
47,1819.09,(52),33.1599,15.55,(144),0.187897,(47),none
48,1999.29,(56),32.0364,25.17,(116),0.0526499,(105),none
49,1079.73,(29),29.7913,86.03,(35),0.012229,(172),none
50,1188.31,(33),29.7349,14.57,(151),0.128096,(63),none
51,3562.85,(100),28.6322,57.65,(55),0.0284652,(136),none
52,753.76,(23),26.6104,12.7,(160),0.0929925,(78),none
53,1369.57,(39),25.9608,32.57,(93),0.031072,(132),none
54,6030.21,(162),25.96,35.71,(86),0.0931131,(77),none
55,1562.4,(45),25.6819,14.7,(150),0.145309,(55),none
56,5095.88,(142),24.9388,50.81,(62),0.0453998,(111),none
57,1135.26,(31),24.3467,16.71,(141),0.0750877,(91),none
58,3958.06,(110),23.852,22.66,(126),0.100875,(73),none
59,5883.18,(160),23.0296,29.32,(106),0.0807183,(85),none
60,2101.43,(59),22.4559,36.16,(84),0.0246677,(146),none
61,5268.55,(145),21.8172,105.01,(31),0.0140312,(166),none
62,352.48,(9),21.505,24.28,(122),0.0307271,(133),none
63,2447.22,(70),21.4196,25.92,(114),0.0915513,(79),none
64,3094.49,(87),20.4912,146.25,(28),0.0024697,(215),none
65,4049.6,(114),19.377,19.5,(132),0.122078,(66),none
66,324.397,(8),18.9533,13.769,(158),0.050413,(106),none
67,3310.43,(93),18.6941,65.48,(50),0.010044,(185),none
68,4650.66,(129),18.4441,49.25,(65),0.0256815,(143),none
69,1213.71,(34),18.132,29.86,(104),0.0257758,(142),none
70,5559.73,(151),18.0983,18.21,(138),0.296263,(23),none
71,434.865,(13),18.0327,64.065,(52),0.00667757,(199),none
72,3876.15,(107),17.6162,66.74,(47),0.0156665,(162),none
73,2858.74,(81),17.5389,82.84,(36),0.00515856,(210),none
74,1014.1,(28),17.2977,3.69,(205),1.80268,(5),none
75,1510.54,(42),16.9697,56.06,(57),0.0252076,(144),none
76,2652.48,(76),16.8905,9.34,(183),0.649397,(12),none
77,5671.81,(153),16.7316,21.65,(127),0.140473,(57),none
78,2176.63,(62),16.4496,23.45,(123),0.0336315,(126),none
79,2676.95,(77),16.3478,25.24,(115),0.0819812,(84),none
80,2354.78,(67),16.1025,14.0,(155),0.103806,(72),none
81,110.493,(4),15.7934,11.482,(164),0.0367096,(122),none
82,27.4495,(0),15.6359,35.0755,(88),0.026601,(140),none
83,1306.97,(37),15.486,61.75,(53),0.00883734,(189),none
84,2396.74,(69),15.4739,21.49,(129),0.0885157,(80),none
85,276.745,(7),15.4279,71.542,(44),0.00604121,(205),none
86,1636.51,(47),15.0283,32.84,(92),0.0188006,(154),none
87,1782.35,(51),15.0276,38.27,(76),0.0201255,(153),none
88,5526.22,(150),14.4576,30.03,(103),0.0613907,(98),none
89,2978.52,(84),14.1146,26.85,(113),0.024128,(147),none
90,6598.06,(179),13.8981,32.35,(94),0.0713863,(93),none
91,6102.03,(165),13.8308,32.01,(95),0.0800223,(86),none
92,2490.1,(72),13.7538,38.05,(77),0.0214636,(152),none
93,3384.37,(95),13.6029,11.09,(167),0.218483,(36),none
94,5843.46,(159),13.5723,17.98,(140),0.0790764,(88),none
95,4102.63,(115),13.3555,31.23,(97),0.0317129,(130),none
96,481.442,(14),13.1114,36.687,(83),0.0064468,(203),none
97,2268.48,(64),12.4014,70.91,(45),0.00860409,(192),none
98,1739.55,(50),12.2662,48.32,(66),0.00942026,(187),none
99,3938.04,(109),12.1636,11.42,(165),0.194499,(45),none
100,6728.11,(181),12.157,15.52,(145),0.119764,(67),none
101,2132.2,(60),12.1338,24.34,(120),0.034779,(124),none
102,2207.7,(63),11.9078,38.73,(75),0.0124499,(171),none
103,3369.68,(94),11.9017,12.22,(161),0.114213,(70),none
104,6148.45,(166),11.6591,44.09,(68),0.0165211,(160),none
105,2701.95,(78),11.6375,16.52,(142),0.0551848,(104),none
106,3597.75,(101),11.6086,10.01,(178),0.235553,(33),none
107,3804.42,(105),11.262,42.65,(70),0.0145936,(164),none
108,6489.25,(175),10.8012,40.0,(71),0.0316579,(131),none
109,693.017,(21),10.5662,38.934,(74),0.0114093,(177),none
110,3508.52,(99),10.5455,14.87,(149),0.0794737,(87),none
111,6954.21,(189),10.3996,30.49,(101),0.0262907,(141),none
112,825.583,(24),10.3801,149.553,(26),0.00553163,(208),none
113,4009.5,(112),10.0097,30.86,(98),0.0406892,(116),none
114,6089.17,(164),9.69403,31.69,(96),0.0375518,(121),none
115,6828.96,(185),9.11705,30.58,(100),0.0218579,(151),none
116,553.035,(15),9.06022,94.081,(33),0.00257274,(214),none
117,6064.39,(163),8.95322,12.2,(162),0.148103,(53),none
118,653.775,(19),8.7606,27.349,(112),0.00890575,(188),none
119,5056.0,(140),8.66415,13.9,(156),0.0607632,(99),none
120,1237.59,(35),8.60719,9.62,(182),0.0634514,(97),none
121,4255.62,(118),8.41174,53.89,(60),0.00538064,(209),none
122,6924.57,(188),8.30818,14.5,(153),0.07215,(92),none
123,2523.89,(73),8.28884,29.23,(107),0.0183228,(156),none
124,76.3161,(2),8.23076,50.0204,(64),0.0111191,(180),none
125,5760.4,(156),8.19059,61.43,(54),0.0161687,(161),none
126,2558.51,(74),8.02723,24.42,(119),0.0229819,(150),none
127,1266.19,(36),7.96927,34.78,(89),0.0112106,(179),none
128,4548.75,(127),7.7563,6.1,(192),0.654186,(11),none
129,5496.41,(149),7.44753,14.57,(152),0.0569029,(102),none
130,3406.32,(96),6.96032,8.43,(186),0.205906,(43),none
131,6340.33,(171),6.86658,74.28,(39),0.00768768,(195),none
132,4033.03,(113),6.83094,8.27,(187),0.116551,(69),none
133,1116.95,(30),6.72215,15.04,(147),0.0354727,(123),none
134,6890.32,(187),6.71342,20.19,(130),0.0306518,(134),none
135,1691.85,(49),6.64996,29.83,(105),0.0103305,(184),none
136,4204.78,(117),6.642,77.63,(37),0.00483,(212),none
137,5161.98,(143),6.56751,5.5,(194),1.97827,(3),none
138,3820.43,(106),6.51946,22.71,(125),0.018007,(157),none
139,4792.59,(132),6.42579,24.32,(121),0.0136133,(167),none
140,2152.75,(61),6.32091,2.87,(208),1.07567,(6),none
141,1670.25,(48),6.32076,18.67,(136),0.0169834,(158),none
142,3982.87,(111),6.22007,4.04,(201),0.945979,(8),none
143,5478.28,(148),6.16709,11.96,(163),0.0572075,(101),none
144,6765.15,(183),6.15154,24.93,(117),0.0346108,(125),none
145,5019.57,(139),6.09734,27.96,(108),0.0169829,(159),none
146,1549.52,(44),6.06369,10.84,(170),0.0762299,(90),none
147,6793.77,(184),5.85494,7.75,(188),0.203826,(44),none
148,5366.01,(146),5.80627,116.68,(30),0.00668479,(198),none
149,4387.74,(122),5.73927,37.22,(79),0.0076969,(194),none
150,6449.34,(173),5.73152,19.0,(134),0.060564,(100),none
151,3179.02,(89),5.70018,71.79,(43),0.00314782,(213),none
152,4506.68,(126),5.51079,37.59,(78),0.0230712,(149),none
153,2937.99,(82),5.43139,9.88,(179),0.0884308,(81),none
154,3265.57,(91),5.41084,9.69,(181),0.0446447,(113),none
155,6209.37,(168),5.3856,37.09,(81),0.00823781,(193),none
156,6250.18,(169),5.34088,42.67,(69),0.00662851,(201),none
157,4475.02,(125),5.3292,37.21,(80),0.0118974,(176),none
158,4742.68,(131),5.30138,73.03,(41),0.0059162,(206),none
159,2745.54,(79),5.20956,36.14,(85),0.0112305,(178),none
160,6418.4,(172),4.91482,6.54,(191),0.458798,(15),none
161,2376.51,(68),4.91348,24.61,(118),0.0384859,(119),none
162,5433.8,(147),4.76439,35.49,(87),0.0120298,(174),none
163,1534.96,(43),4.73239,6.83,(190),0.0980419,(76),none
164,4960.88,(138),4.55306,64.17,(51),0.00656657,(202),none
165,6862.01,(186),4.54259,27.9,(109),0.0145099,(165),none
166,3244.0,(90),4.52367,22.8,(124),0.0108414,(181),none
167,2946.03,(83),4.39927,4.76,(197),0.293512,(25),none
168,2072.98,(58),4.23917,1.93,(213),2.45445,(2),none
169,5172.62,(144),4.2075,4.24,(200),0.828378,(9),none
170,6545.9,(176),4.20238,10.14,(177),0.232143,(34),none
171,4819.48,(133),4.10251,6.97,(189),0.0677759,(95),none
172,2314.74,(65),4.07181,19.2,(133),0.0306467,(135),none
173,100.0,(3),4.02874,9.8736,(180),0.024716,(145),none
174,3280.26,(92),4.02257,4.48,(199),0.164989,(51),none
175,2808.16,(80),3.83485,73.23,(40),0.00500448,(211),none
176,1353.61,(38),3.74697,2.04,(212),2.75626,(1),none
177,6583.81,(178),3.72758,10.21,(175),0.131129,(61),none
178,4126.98,(116),3.61652,27.83,(110),0.0150576,(163),none
179,6557.34,(177),3.60976,11.0,(168),0.143598,(56),none
180,626.369,(18),3.37892,20.05,(131),0.00696278,(196),none
