Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,5096.4,(12),3000.24,19.1,(4),429.109,(1),none
1,8011.2,(17),2742.7,25.5,(0),297.391,(8),none
2,6310.93,(13),1978.22,17.82,(6),304.579,(7),none
3,11999.0,(24),1958.01,24.6,(1),244.663,(10),none
4,1282.11,(2),1829.73,6.31,(24),805.415,(0),none
5,6807.83,(16),1659.92,15.28,(9),278.661,(9),none
6,3746.13,(9),1540.98,13.51,(11),371.538,(4),none
7,9184.8,(20),1425.69,16.6,(8),239.701,(12),none
8,3052.39,(6),1421.58,11.86,(16),393.436,(2),none
9,3622.47,(8),1297.83,12.12,(15),390.704,(3),none
10,3982.38,(10),1266.82,12.13,(14),315.437,(6),none
11,3429.0,(7),1259.97,9.42,(19),362.14,(5),none
12,10585.7,(22),1216.74,24.3,(2),158.566,(16),none
13,13347.1,(26),1185.09,17.6,(7),172.59,(14),none
14,10777.7,(23),1002.5,19.0,(5),144.685,(17),none
15,4470.55,(11),947.154,10.13,(18),242.417,(11),none
16,13179.8,(25),748.676,21.7,(3),103.276,(26),none
17,9714.55,(21),692.166,13.01,(12),129.617,(20),none
18,8589.7,(18),636.43,12.69,(13),126.853,(21),none
19,8942.8,(19),612.603,14.89,(10),115.106,(22),none
20,6465.8,(15),507.558,11.68,(17),113.275,(23),none
21,1454.08,(3),438.095,6.59,(22),219.957,(13),none
22,2760.8,(5),380.099,8.31,(20),130.171,(19),none
23,6382.5,(14),362.396,8.07,(21),108.006,(24),none
24,1603.07,(4),342.269,6.49,(23),167.111,(15),none
25,970.04,(1),161.314,4.669,(25),105.949,(25),none
26,42.15,(0),56.5733,2.0496,(26),137.112,(18),none
