Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,311.678,(1),5547.92,4.064,(19),4131.28,(1),none
1,233.616,(0),5136.6,4.25,(18),4447.21,(0),none
2,4481.76,(13),4200.5,24.75,(1),526.689,(2),none
3,3085.13,(5),1305.75,10.17,(8),373.715,(3),none
4,5120.88,(16),1277.88,10.59,(5),297.091,(5),none
5,3340.2,(6),1150.74,9.99,(9),331.343,(4),none
6,5391.01,(18),1046.0,10.58,(6),246.567,(10),none
7,3771.16,(9),1012.5,11.99,(3),280.182,(6),none
8,4591.68,(14),952.86,9.82,(11),253.394,(9),none
9,3524.23,(7),920.481,11.59,(4),267.819,(7),none
10,5273.89,(17),902.705,12.32,(2),210.477,(15),none
11,3881.35,(10),840.699,9.94,(10),235.156,(12),none
12,3692.28,(8),829.352,7.84,(14),254.038,(8),none
13,4243.46,(12),759.858,9.41,(12),210.454,(16),none
14,2590.88,(2),659.556,7.48,(16),234.716,(13),none
15,2651.97,(3),634.002,7.5,(15),228.004,(14),none
16,4980.83,(15),616.152,8.76,(13),168.198,(18),none
17,2850.8,(4),467.037,6.92,(17),171.074,(17),none
18,3960.39,(11),433.254,10.34,(7),131.236,(19),none
19,5972.27,(19),0.0,44032.9,(0),246.238,(11),none
