Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,4500000.0,(81),2006980.0,9000000.0,(0),4.055,(60),none
1,375.325,(3),19691.0,161.799,(14),0.326358,(77),none
2,564.871,(4),6544.85,168.833,(11),6.0433,(38),none
3,1410.39,(10),4408.59,93.0,(35),0.174897,(81),none
4,665.056,(5),4356.86,99.638,(33),0.785589,(74),none
5,1917.57,(16),4187.72,225.06,(5),0.901835,(72),none
6,747.524,(6),4106.76,76.346,(38),0.989097,(71),none
7,116.576,(1),3992.12,62.1123,(49),2.47119,(64),none
8,1096.18,(8),3455.75,133.707,(19),1.03107,(70),none
9,2800.94,(25),2077.29,115.4,(24),2.09925,(66),none
10,2130.13,(18),1889.34,162.76,(13),1.94942,(67),none
11,956.539,(7),1804.54,203.459,(9),6.04775,(36),none
12,3300.47,(31),1711.59,112.6,(27),8.386,(3),none
13,221.722,(2),1543.95,104.252,(31),5.05166,(56),none
14,1472.32,(11),1454.43,42.04,(57),11.1753,(0),none
15,1321.4,(9),1220.8,220.04,(7),4.60389,(59),none
16,4048.06,(37),885.628,217.66,(8),6.18249,(30),none
17,2668.86,(24),828.24,35.86,(64),0.281485,(79),none
18,4343.92,(40),681.769,76.74,(37),8.12036,(4),none
19,4249.91,(39),652.076,37.52,(62),0.305979,(78),none
20,3815.23,(36),628.683,42.9,(56),0.542708,(76),none
21,5669.52,(55),554.81,157.94,(15),6.61526,(15),none
22,3160.8,(30),381.663,16.49,(77),0.191581,(80),none
23,2260.66,(19),363.366,126.49,(21),6.08084,(34),none
24,1961.34,(17),326.548,37.47,(63),7.29458,(7),none
25,4845.29,(47),261.184,151.85,(17),6.56408,(16),none
26,5897.16,(56),239.018,230.99,(3),6.30676,(24),none
27,5477.07,(53),228.956,110.07,(28),5.55139,(52),none
28,2505.49,(21),224.418,222.13,(6),5.29092,(54),none
29,5512.97,(54),203.36,28.16,(70),1.57105,(69),none
30,7456.79,(74),198.515,93.34,(34),5.81603,(46),none
31,6405.61,(60),194.914,29.78,(67),1.61289,(68),none
32,7139.86,(70),191.912,128.47,(20),6.00813,(41),none
33,7836.42,(78),190.581,21.1,(74),0.60806,(75),none
34,1598.78,(13),187.269,114.13,(26),7.07093,(9),none
35,4688.88,(46),161.439,39.1,(59),3.40712,(63),none
36,2845.57,(26),160.391,38.52,(60),6.85799,(10),none
37,7647.05,(76),143.764,104.51,(30),5.56402,(51),none
38,2949.37,(27),123.009,99.68,(32),5.71188,(49),none
39,7273.15,(71),114.776,61.41,(50),5.94379,(42),none
40,3566.93,(33),100.132,229.42,(4),6.4501,(19),none
41,4636.47,(45),100.057,54.41,(53),6.35596,(20),none
42,3020.77,(28),98.1011,64.92,(47),5.10611,(55),none
43,3693.41,(34),92.934,120.79,(23),5.92468,(43),none
44,2631.53,(23),92.9256,40.82,(58),3.69572,(62),none
45,6217.37,(59),91.2911,166.99,(12),6.02355,(40),none
46,3151.38,(29),90.5585,120.82,(22),0.789098,(73),none
47,2584.42,(22),89.6862,70.31,(43),4.68224,(58),none
48,7542.73,(75),78.7055,38.12,(61),5.78902,(48),none
49,4411.63,(41),76.6865,63.35,(48),7.28338,(8),none
50,5356.89,(52),72.1484,13.7,(78),2.43163,(65),none
51,5035.87,(48),69.7595,180.95,(10),6.32045,(22),none
52,5994.3,(57),61.2564,76.02,(39),6.22896,(27),none
53,3325.12,(32),58.0074,21.72,(73),7.96071,(5),none
54,6537.94,(62),55.1715,104.78,(29),6.46881,(18),none
55,6027.79,(58),53.8432,20.73,(75),6.23139,(26),none
56,4508.65,(42),52.7766,87.9,(36),6.81472,(11),none
57,7808.8,(77),50.196,139.28,(18),3.93416,(61),none
58,6424.83,(61),43.5115,9.87,(80),10.1128,(1),none
59,7012.21,(68),37.8393,154.3,(16),6.06241,(35),none
60,4564.44,(44),36.1552,35.53,(65),6.65266,(14),none
61,1685.81,(15),27.9711,48.25,(54),6.52556,(17),none
62,5118.51,(49),24.709,73.33,(40),6.22579,(28),none
63,7370.87,(73),22.8525,27.76,(72),5.87979,(45),none
64,6612.44,(63),19.1896,67.67,(45),6.32332,(21),none
65,5162.01,(50),18.6141,34.85,(66),6.16837,(31),none
66,53.9556,(0),18.071,55.8333,(52),5.3518,(53),none
67,2275.82,(20),17.9535,11.87,(79),6.04277,(39),none
68,1633.3,(14),17.7273,28.47,(69),6.80808,(12),none
69,3768.22,(35),16.5469,65.99,(46),5.03249,(57),none
70,6816.54,(66),15.8198,73.16,(41),6.15689,(32),none
71,7049.94,(69),14.1681,28.56,(68),6.04633,(37),none
72,1482.75,(12),14.0598,6.26,(81),10.0404,(2),none
73,7348.61,(72),13.3956,68.03,(44),5.89025,(44),none
74,6850.44,(67),12.6151,27.92,(71),6.13922,(33),none
75,5289.64,(51),11.9244,114.65,(25),5.81596,(47),none
76,6737.85,(65),9.01903,60.82,(51),6.20351,(29),none
77,6668.39,(64),8.11063,46.0,(55),6.2588,(25),none
78,4128.22,(38),5.46986,71.68,(42),5.68737,(50),none
79,4535.06,(43),5.45439,18.12,(76),6.72731,(13),none
80,7994.13,(79),0.0,2142.89,(2),6.30937,(23),none
81,60000.0,(80),0.0,52006.3,(1),7.58751,(6),none
