Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,5000000.0,(581),1709740.0,6000000.0,(0),4.01882,(565),['48-Cd-112_n-tot']
1,100000.0,(580),16321.0,138500.0,(1),7.53777,(62),['48-Cd-114_n-tot']
2,30000.0,(579),11286.0,88499.9,(2),7.45332,(66),['48-Cd-114_n-tot']
3,4.27552,(1),461.207,3.96608,(376),5.57073,(316),['48-Cd-113_n-tot']
4,0.0405445,(0),295.403,0.09525,(581),2782.32,(0),['48-Cd-113_n-tot']
5,97.5126,(19),269.389,8.4564,(225),6.4901,(148),['48-Cd-110_n-tot']
6,408.964,(55),252.86,14.48,(124),6.86385,(107),['48-Cd-114_n-tot']
7,10893.8,(573),162.257,198.5,(8),5.75577,(273),['48-Cd-112_n-tot']
8,8557.17,(559),147.782,116.22,(14),8.02442,(39),['48-Cd-112_n-tot']
9,748.543,(102),143.965,11.228,(163),5.38626,(349),['48-Cd-112_n-tot']
10,1109.51,(146),126.127,11.45,(159),4.19008,(552),['48-Cd-112_n-tot']
11,186.579,(29),114.653,26.287,(65),4.64276,(496),['48-Cd-111_n-tot']
12,1446.8,(181),114.276,16.84,(100),7.89917,(43),['48-Cd-114_n-tot']
13,9156.25,(563),112.277,106.75,(19),5.92428,(243),['48-Cd-112_n-tot']
14,11010.8,(574),106.07,101.0,(21),7.4999,(65),['48-Cd-112_n-tot']
15,10670.1,(572),104.356,83.4,(28),5.67043,(296),['48-Cd-112_n-tot']
16,86.9956,(18),97.056,2.2569,(473),10.3699,(16),['48-Cd-110_n-tot']
17,1415.0,(178),95.1818,14.84,(121),3.24016,(581),['48-Cd-112_n-tot']
18,135.286,(24),89.4167,16.373,(105),4.98326,(414),['48-Cd-114_n-tot']
19,8374.0,(554),88.6967,114.08,(15),6.09935,(204),['48-Cd-112_n-tot']
20,6967.77,(530),87.3938,29.67,(56),4.85374,(446),['48-Cd-112_n-tot']
21,732.125,(101),85.1938,10.765,(174),3.2714,(579),['48-Cd-112_n-tot']
22,6081.93,(498),83.1329,34.08,(49),4.95999,(420),['48-Cd-112_n-tot']
23,7026.22,(531),82.3185,38.87,(44),7.74063,(50),['48-Cd-112_n-tot']
24,2051.01,(240),82.1362,11.63,(157),7.83677,(46),['48-Cd-112_n-tot']
25,5109.83,(454),79.1075,40.27,(43),5.76387,(272),['48-Cd-108_n-tot']
26,9030.97,(562),79.031,198.91,(7),7.03866,(89),['48-Cd-116_n-tot']
27,9726.74,(567),75.1747,151.91,(10),7.26473,(74),['48-Cd-112_n-tot']
28,3207.33,(329),70.8564,21.62,(77),7.56433,(59),['48-Cd-114_n-tot']
29,10453.2,(570),69.5012,184.1,(9),7.10089,(84),['48-Cd-112_n-tot']
30,2671.0,(291),67.9007,20.92,(81),3.76604,(577),['48-Cd-114_n-tot']
31,8243.5,(553),66.6527,78.11,(31),5.62672,(303),['48-Cd-112_n-tot']
32,4903.27,(443),66.201,26.14,(66),4.56755,(511),['48-Cd-112_n-tot']
33,3162.62,(328),65.1823,16.4,(104),5.27487,(369),['48-Cd-114_n-tot']
34,8656.74,(560),64.0795,114.02,(16),7.18464,(80),['48-Cd-112_n-tot']
35,2370.59,(272),62.7713,8.64,(217),8.31972,(33),['48-Cd-110_n-tot']
36,2587.46,(286),60.6468,9.87,(191),8.8383,(28),['48-Cd-112_n-tot']
37,2027.58,(239),58.3845,7.6,(242),3.82544,(573),['48-Cd-112_n-tot']
38,8810.15,(561),50.9878,143.05,(11),6.68122,(126),['48-Cd-116_n-tot']
39,11450.9,(578),49.9884,120.8,(13),5.83127,(261),['48-Cd-112_n-tot']
40,3485.91,(345),49.365,27.01,(61),6.21375,(183),['48-Cd-113_n-tot']
41,9223.45,(564),45.1871,54.49,(36),6.44368,(153),['48-Cd-112_n-tot']
42,6600.69,(517),43.8956,16.34,(106),7.96995,(41),['48-Cd-112_n-tot']
43,5356.89,(464),42.6522,49.86,(38),5.67792,(293),['48-Cd-116_n-tot']
44,251.456,(38),41.0501,16.939,(99),4.77074,(467),['48-Cd-108_n-tot']
45,2564.51,(285),40.4556,7.94,(234),4.09543,(558),['48-Cd-112_n-tot']
46,807.563,(110),40.0078,6.449,(273),6.36764,(160),['48-Cd-110_n-tot']
47,2057.85,(241),38.7842,7.87,(237),7.29602,(71),['48-Cd-110_n-tot']
48,7905.92,(547),37.8372,56.07,(35),6.81132,(115),['48-Cd-114_n-tot']
49,1731.38,(207),37.7223,22.41,(74),4.87897,(441),['48-Cd-112_n-tot']
50,389.923,(54),37.1228,1.5,(524),36.6938,(3),['48-Cd-114_n-tot']
51,915.653,(124),37.0679,5.377,(318),7.10591,(83),['48-Cd-112_n-tot']
52,3947.8,(378),35.9421,21.55,(78),5.12946,(394),['48-Cd-110_n-tot']
53,11277.8,(576),35.8557,112.3,(17),6.38737,(156),['48-Cd-112_n-tot']
54,8472.89,(555),35.6825,85.85,(27),6.95738,(96),['48-Cd-112_n-tot']
55,794.778,(109),35.2744,6.043,(291),4.95236,(421),['48-Cd-110_n-tot']
56,3135.87,(325),33.9413,26.76,(62),5.75444,(274),['48-Cd-112_n-tot']
57,2077.29,(242),32.8042,7.0,(256),9.80425,(18),['48-Cd-110_n-tot']
58,3100.56,(324),32.5529,8.39,(229),4.81821,(457),['48-Cd-112_n-tot']
59,6568.52,(516),32.2376,12.48,(144),4.7347,(474),['48-Cd-112_n-tot']
60,6109.63,(499),32.1461,15.05,(118),7.67252,(54),['48-Cd-112_n-tot']
61,845.83,(113),31.788,6.652,(264),4.64559,(494),['48-Cd-113_n-tot']
62,1341.1,(171),31.5615,5.08,(329),4.73959,(473),['48-Cd-110_n-tot']
63,5571.72,(473),31.2858,16.21,(108),5.05185,(403),['48-Cd-112_n-tot']
64,2694.8,(293),30.6354,5.34,(320),15.4061,(9),['48-Cd-112_n-tot']
65,1355.71,(172),30.4059,6.31,(282),6.83689,(111),['48-Cd-110_n-tot']
66,1096.1,(145),27.6864,7.59,(243),3.51351,(578),['48-Cd-114_n-tot']
67,859.453,(114),27.0173,6.341,(278),6.59461,(135),['48-Cd-113_n-tot']
68,8004.67,(549),26.3928,87.46,(25),6.14024,(197),['48-Cd-114_n-tot']
69,8116.99,(551),26.2317,79.03,(30),6.97721,(94),['48-Cd-112_n-tot']
70,1763.67,(209),26.1208,18.27,(91),5.0904,(398),['48-Cd-111_n-tot']
71,4251.45,(400),26.1104,8.87,(214),4.83463,(451),['48-Cd-114_n-tot']
72,11317.0,(577),25.963,29.7,(55),7.55903,(60),['48-Cd-112_n-tot']
73,665.386,(95),25.9128,5.45,(312),3.8217,(574),['48-Cd-114_n-tot']
74,116.899,(23),25.8282,3.964,(378),4.66539,(490),['48-Cd-114_n-tot']
75,7195.92,(535),25.6766,28.96,(57),7.30073,(70),['48-Cd-114_n-tot']
76,675.207,(96),24.7426,3.079,(418),8.73916,(30),['48-Cd-114_n-tot']
77,160.899,(28),24.6693,3.965,(377),4.91733,(428),['48-Cd-111_n-tot']
78,202.39,(30),24.492,8.894,(213),4.82091,(455),['48-Cd-113_n-tot']
79,3739.14,(365),24.4506,25.83,(67),5.30359,(363),['48-Cd-110_n-tot']
80,7836.42,(546),23.1183,21.1,(80),5.89793,(245),['48-Cd-114_n-tot']
81,10572.8,(571),22.7483,105.7,(20),6.8946,(103),['48-Cd-112_n-tot']
82,3033.77,(317),22.5959,9.57,(200),4.88551,(439),['48-Cd-110_n-tot']
83,5513.12,(471),22.0518,28.21,(59),5.23528,(377),['48-Cd-114_n-tot']
84,6910.52,(527),22.0506,31.41,(53),5.33606,(354),['48-Cd-110_n-tot']
85,5544.93,(472),21.6823,26.42,(64),6.02511,(224),['48-Cd-114_n-tot']
86,1932.1,(228),21.6139,8.47,(223),5.14967,(392),['48-Cd-114_n-tot']
87,4551.99,(417),21.3231,8.17,(231),4.26527,(547),['48-Cd-112_n-tot']
88,222.34,(34),21.1216,8.023,(233),4.39795,(534),['48-Cd-111_n-tot']
89,2633.04,(288),21.0855,25.35,(71),5.41818,(341),['48-Cd-113_n-tot']
90,3836.69,(370),20.6516,11.63,(156),6.69867,(124),['48-Cd-114_n-tot']
91,3972.57,(379),20.482,12.33,(147),6.52665,(142),['48-Cd-110_n-tot']
92,302.79,(45),20.4351,17.233,(97),4.54322,(514),['48-Cd-108_n-tot']
93,5947.4,(492),20.2967,13.46,(133),4.84227,(448),['48-Cd-112_n-tot']
94,7472.72,(540),20.2963,93.41,(23),6.83854,(110),['48-Cd-114_n-tot']
95,757.981,(103),20.0077,4.163,(361),7.6107,(57),['48-Cd-114_n-tot']
96,8516.65,(556),19.4133,35.53,(47),6.07552,(213),['48-Cd-112_n-tot']
97,6212.4,(500),19.4023,94.99,(22),6.30944,(168),['48-Cd-112_n-tot']
98,1055.99,(141),19.0029,5.69,(304),5.6846,(289),['48-Cd-116_n-tot']
99,3449.94,(344),18.695,12.38,(145),5.55016,(322),['48-Cd-113_n-tot']
100,4458.75,(410),18.6575,44.95,(42),5.43694,(339),['48-Cd-108_n-tot']
101,2333.39,(268),18.3378,3.78,(389),4.12354,(557),['48-Cd-112_n-tot']
102,1119.24,(147),18.1072,1.58,(520),30.2683,(6),['48-Cd-112_n-tot']
103,3815.4,(369),17.984,9.63,(199),4.84955,(447),['48-Cd-114_n-tot']
104,65.1072,(12),17.6171,2.149,(482),4.62004,(503),['48-Cd-112_n-tot']
105,8026.52,(550),17.6021,12.9,(138),6.48562,(149),['48-Cd-112_n-tot']
106,329.436,(46),17.5911,17.012,(98),4.42322,(531),['48-Cd-108_n-tot']
107,6341.75,(503),17.5247,76.0,(32),5.39108,(348),['48-Cd-110_n-tot']
108,11150.6,(575),17.515,123.7,(12),6.32243,(166),['48-Cd-112_n-tot']
109,5682.05,(478),17.2898,7.37,(246),5.10399,(396),['48-Cd-112_n-tot']
110,2682.75,(292),16.9438,2.05,(488),32.9493,(5),['48-Cd-112_n-tot']
111,2344.94,(269),16.625,4.47,(346),8.01007,(40),['48-Cd-112_n-tot']
112,4569.25,(418),16.5471,4.8,(342),11.4779,(12),['48-Cd-112_n-tot']
113,9495.23,(565),16.5178,324.71,(4),6.95648,(97),['48-Cd-116_n-tot']
114,9566.83,(566),16.0826,325.57,(3),6.05777,(218),['48-Cd-116_n-tot']
115,2718.94,(294),15.8452,22.23,(75),7.63824,(55),['48-Cd-112_n-tot']
116,1577.86,(192),15.7803,10.95,(170),4.91511,(430),['48-Cd-111_n-tot']
