Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,90.0034,(13),736.227,14.0241,(96),96.0154,(0),['51-Sb-121_n-g']
1,17.8618,(2),412.7,5.2342,(222),2.9752,(9),['51-Sb-123_n-g']
2,26.7559,(3),372.288,7.3461,(183),1.04293,(20),['51-Sb-123_n-g']
3,10.2504,(1),371.284,8.43666,(160),0.886315,(25),['51-Sb-121_n-g']
4,91.7205,(14),130.77,13.2535,(104),1.20694,(18),['51-Sb-121_n-g']
5,1.75,(0),117.518,5.89383,(207),0.898285,(22),['51-Sb-121_n-g']
6,96.5497,(15),82.5097,13.1934,(106),0.171527,(79),['51-Sb-123_n-g']
7,131.06,(19),56.8295,3.977,(259),13.9162,(2),['51-Sb-121_n-g']
8,129.445,(18),49.0613,3.912,(263),0.796292,(29),['51-Sb-121_n-g']
9,36.9567,(4),45.2972,7.4674,(181),0.149576,(82),['51-Sb-121_n-g']
10,109.336,(16),44.4276,5.166,(226),0.429966,(45),['51-Sb-123_n-g']
11,82.4649,(12),42.9513,11.5456,(121),0.141727,(90),['51-Sb-121_n-g']
12,117.358,(17),37.2865,13.746,(99),0.110412,(106),['51-Sb-121_n-g']
13,146.583,(21),33.9823,4.116,(256),0.686115,(33),['51-Sb-121_n-g']
14,137.818,(20),33.0459,10.75,(130),0.146132,(86),['51-Sb-121_n-g']
15,155.885,(22),21.9188,5.992,(204),0.148836,(83),['51-Sb-121_n-g']
16,75.3509,(11),20.7036,1.9702,(319),1.4837,(16),['51-Sb-121_n-g']
17,879.081,(125),15.0938,9.754,(143),0.110444,(105),['51-Sb-123_n-g']
18,459.736,(75),13.1809,5.421,(218),0.233829,(67),['51-Sb-121_n-g']
19,451.848,(74),13.1456,1.661,(334),2.86059,(10),['51-Sb-121_n-g']
20,67.9848,(10),12.7686,5.7144,(212),0.1268,(93),['51-Sb-121_n-g']
21,52.0546,(6),12.4984,2.196,(309),0.643821,(34),['51-Sb-123_n-g']
22,1094.29,(143),11.6643,21.84,(44),0.0181354,(249),['51-Sb-121_n-g']
23,1985.75,(202),11.6388,17.2,(67),0.0389971,(169),['51-Sb-121_n-g']
24,2020.94,(203),11.5384,27.22,(29),0.0144155,(265),['51-Sb-123_n-g']
25,851.253,(122),11.4749,15.95,(79),0.0337565,(184),['51-Sb-123_n-g']
26,824.793,(121),11.3976,19.846,(53),0.0293336,(198),['51-Sb-123_n-g']
27,927.761,(130),10.9973,13.625,(100),0.037427,(172),['51-Sb-121_n-g']
28,445.435,(72),10.9638,2.365,(302),0.823651,(28),['51-Sb-121_n-g']
29,665.924,(101),10.7195,7.174,(185),0.0900999,(117),['51-Sb-121_n-g']
30,1286.87,(157),10.6143,29.75,(22),0.0106542,(291),['51-Sb-123_n-g']
31,1005.12,(137),10.4812,15.188,(84),0.0318187,(187),['51-Sb-121_n-g']
32,537.553,(86),10.4278,5.407,(220),0.18975,(75),['51-Sb-121_n-g']
33,162.544,(24),10.3334,4.941,(228),0.165954,(80),['51-Sb-121_n-g']
34,173.59,(25),10.2982,6.194,(199),0.0636227,(138),['51-Sb-121_n-g']
35,43.4076,(5),9.98802,11.5273,(122),0.0844423,(120),['51-Sb-123_n-g']
36,328.491,(55),9.63972,5.516,(215),0.106464,(110),['51-Sb-123_n-g']
37,610.223,(95),9.39174,5.268,(221),0.13225,(92),['51-Sb-121_n-g']
38,810.295,(120),9.29236,8.753,(153),0.0831925,(121),['51-Sb-121_n-g']
39,196.293,(29),9.1941,4.26,(252),0.11082,(104),['51-Sb-121_n-g']
40,601.297,(94),8.79294,3.943,(262),0.209551,(70),['51-Sb-121_n-g']
41,378.068,(64),8.65393,17.185,(68),0.0184866,(246),['51-Sb-121_n-g']
42,548.84,(87),8.62323,5.474,(216),0.126321,(94),['51-Sb-121_n-g']
43,1192.2,(151),8.60209,14.2,(93),0.0298253,(196),['51-Sb-121_n-g']
44,954.173,(132),8.49336,11.312,(124),0.0394628,(168),['51-Sb-121_n-g']
45,1172.28,(149),7.8341,11.16,(125),0.0432682,(160),['51-Sb-123_n-g']
46,913.245,(129),7.81913,2.632,(291),0.528031,(40),['51-Sb-121_n-g']
47,2496.5,(231),7.69566,39.81,(7),0.00707241,(313),['51-Sb-121_n-g']
48,1319.81,(158),7.68103,15.69,(80),0.0208319,(235),['51-Sb-123_n-g']
49,738.427,(111),7.64941,8.249,(166),0.0668978,(136),['51-Sb-123_n-g']
50,1909.87,(198),7.47512,9.38,(145),0.0578104,(143),['51-Sb-121_n-g']
51,797.196,(118),7.37668,2.48,(298),0.55457,(36),['51-Sb-121_n-g']
52,1377.1,(163),7.34055,16.34,(74),0.016288,(259),['51-Sb-121_n-g']
53,1113.69,(144),7.30525,3.73,(267),0.247668,(63),['51-Sb-121_n-g']
54,1809.94,(190),7.1693,17.14,(69),0.0306339,(193),['51-Sb-121_n-g']
55,434.273,(71),7.07143,8.428,(162),0.0560371,(145),['51-Sb-121_n-g']
56,2127.58,(207),7.06389,24.89,(35),0.0123672,(276),['51-Sb-121_n-g']
57,1462.33,(167),6.90105,21.35,(48),0.0142642,(268),['51-Sb-123_n-g']
58,187.235,(28),6.83354,4.283,(248),0.116608,(100),['51-Sb-123_n-g']
59,1211.21,(152),6.67367,14.53,(88),0.019896,(237),['51-Sb-121_n-g']
60,1677.73,(181),6.54207,22.08,(42),0.0112012,(286),['51-Sb-123_n-g']
61,2414.18,(226),6.46394,36.86,(10),0.00565408,(329),['51-Sb-121_n-g']
62,1486.72,(168),6.33616,3.27,(278),0.361892,(49),['51-Sb-121_n-g']
63,402.918,(66),6.31562,9.155,(149),0.0410321,(163),['51-Sb-123_n-g']
64,781.408,(115),6.15769,10.348,(134),0.0438189,(159),['51-Sb-121_n-g']
65,244.502,(39),6.06134,3.721,(268),0.115093,(102),['51-Sb-123_n-g']
66,619.419,(96),6.05327,11.614,(120),0.0409552,(164),['51-Sb-121_n-g']
67,1881.16,(196),5.91434,16.94,(70),0.0231445,(225),['51-Sb-123_n-g']
68,640.366,(98),5.84992,11.114,(126),0.0270739,(208),['51-Sb-121_n-g']
69,1895.33,(197),5.74524,6.26,(197),0.0925358,(115),['51-Sb-121_n-g']
70,4129.1,(323),5.67901,22.05,(43),0.0178476,(251),['51-Sb-121_n-g']
71,2244.7,(217),5.64647,13.56,(101),0.025021,(214),['51-Sb-123_n-g']
72,448.888,(73),5.54798,0.943,(356),4.39384,(4),['51-Sb-121_n-g']
73,3996.47,(316),5.5398,22.9,(39),0.0121421,(279),['51-Sb-121_n-g']
74,3282.8,(284),5.50892,34.97,(14),0.00703692,(314),['51-Sb-121_n-g']
75,2284.39,(220),5.48257,25.94,(33),0.00731144,(312),['51-Sb-121_n-g']
76,1151.57,(148),5.45911,16.48,(73),0.015385,(263),['51-Sb-123_n-g']
77,1864.22,(195),5.28998,6.05,(202),0.108401,(108),['51-Sb-123_n-g']
78,1607.51,(177),5.28301,14.93,(87),0.0232084,(224),['51-Sb-123_n-g']
79,673.314,(102),5.24364,2.361,(303),0.32365,(54),['51-Sb-121_n-g']
80,990.314,(136),5.20137,2.018,(317),0.903431,(21),['51-Sb-121_n-g']
81,3532.69,(294),5.10259,28.27,(24),0.0083735,(300),['51-Sb-123_n-g']
82,291.828,(47),5.08835,5.541,(214),0.075214,(124),['51-Sb-121_n-g']
83,1630.2,(178),5.06332,15.56,(81),0.0176668,(254),['51-Sb-123_n-g']
84,752.0,(112),5.03148,4.703,(239),0.118454,(99),['51-Sb-123_n-g']
85,3488.13,(293),5.02043,38.89,(9),0.00394944,(344),['51-Sb-121_n-g']
86,792.078,(117),5.00528,2.582,(293),0.317826,(55),['51-Sb-121_n-g']
87,3324.84,(285),4.997,33.92,(19),0.00640116,(320),['51-Sb-123_n-g']
88,1705.97,(182),4.94333,7.96,(171),0.0404477,(165),['51-Sb-121_n-g']
89,2980.28,(266),4.83984,16.15,(77),0.017802,(252),['51-Sb-121_n-g']
90,1579.36,(175),4.80815,16.81,(72),0.0141883,(269),['51-Sb-121_n-g']
91,3356.26,(286),4.75021,12.47,(113),0.0170972,(256),['51-Sb-123_n-g']
92,2376.07,(224),4.74735,14.16,(95),0.0194209,(242),['51-Sb-123_n-g']
93,1923.8,(199),4.69962,10.28,(135),0.0274577,(205),['51-Sb-121_n-g']
94,2091.1,(205),4.6921,17.34,(65),0.0116333,(283),['51-Sb-123_n-g']
95,939.395,(131),4.64234,8.442,(159),0.0402335,(166),['51-Sb-121_n-g']
96,341.438,(58),4.62399,3.516,(272),0.115966,(101),['51-Sb-121_n-g']
97,965.171,(133),4.60702,3.973,(260),0.111569,(103),['51-Sb-121_n-g']
98,1449.89,(166),4.55921,16.25,(76),0.0120409,(281),['51-Sb-121_n-g']
99,237.563,(38),4.55906,2.542,(295),0.232987,(68),['51-Sb-123_n-g']
100,2901.23,(261),4.39773,15.03,(86),0.024349,(217),['51-Sb-123_n-g']
101,2663.43,(243),4.33943,27.98,(27),0.00462884,(336),['51-Sb-121_n-g']
102,4542.38,(340),4.33484,46.74,(5),0.00272625,(357),['51-Sb-121_n-g']
103,2109.94,(206),4.33366,4.31,(247),0.103718,(111),['51-Sb-121_n-g']
104,2225.52,(216),4.32786,10.03,(138),0.0308176,(191),['51-Sb-123_n-g']
105,296.863,(49),4.24273,2.048,(315),0.35352,(50),['51-Sb-123_n-g']
106,866.826,(124),4.24171,3.822,(264),0.177669,(77),['51-Sb-123_n-g']
107,2059.78,(204),4.23353,42.04,(6),0.00419554,(342),['51-Sb-123_n-g']
108,321.402,(54),4.08698,1.66,(335),0.453164,(42),['51-Sb-123_n-g']
109,1019.05,(138),4.07484,10.02,(139),0.0232118,(223),['51-Sb-121_n-g']
110,4251.66,(328),4.05522,36.14,(11),0.00480386,(334),['51-Sb-121_n-g']
111,725.574,(109),4.03074,6.696,(190),0.0369874,(174),['51-Sb-121_n-g']
112,3817.42,(307),4.0073,25.06,(34),0.0065239,(318),['51-Sb-121_n-g']
113,220.221,(33),3.94175,2.488,(297),0.238762,(65),['51-Sb-121_n-g']
114,1257.84,(155),3.93121,8.01,(168),0.0281175,(201),['51-Sb-121_n-g']
115,1423.67,(165),3.92579,12.71,(109),0.0122283,(278),['51-Sb-121_n-g']
116,2358.47,(223),3.92283,5.93,(206),0.0740407,(125),['51-Sb-121_n-g']
117,4190.36,(325),3.89922,39.23,(8),0.00497298,(332),['51-Sb-123_n-g']
118,5121.17,(358),3.8875,53.0,(4),0.00222058,(360),['51-Sb-121_n-g']
119,1751.54,(186),3.86241,27.88,(28),0.00805091,(302),['51-Sb-121_n-g']
120,686.237,(103),3.86075,12.653,(110),0.0185958,(245),['51-Sb-121_n-g']
121,3666.91,(300),3.85107,18.55,(60),0.00838145,(299),['51-Sb-123_n-g']
122,4154.03,(324),3.84351,9.0,(152),0.0624435,(139),['51-Sb-123_n-g']
123,2210.95,(215),3.83311,12.54,(111),0.0156583,(262),['51-Sb-121_n-g']
124,2532.56,(232),3.83244,7.21,(184),0.0649684,(137),['51-Sb-121_n-g']
125,980.322,(135),3.6508,7.743,(177),0.0506837,(151),['51-Sb-123_n-g']
126,577.243,(91),3.62143,6.586,(192),0.0361039,(177),['51-Sb-123_n-g']
127,2330.53,(222),3.61993,35.08,(13),0.00576207,(327),['51-Sb-123_n-g']
128,764.707,(114),3.5704,6.583,(193),0.0484796,(153),['51-Sb-121_n-g']
129,1511.62,(170),3.55623,22.93,(38),0.0109667,(289),['51-Sb-123_n-g']
130,2260.47,(218),3.5554,8.25,(165),0.0278781,(202),['51-Sb-121_n-g']
131,566.109,(90),3.5521,4.928,(230),0.0697865,(130),['51-Sb-123_n-g']
132,801.474,(119),3.53638,1.087,(348),3.30041,(8),['51-Sb-121_n-g']
133,3958.42,(314),3.51908,14.36,(92),0.0255452,(212),['51-Sb-121_n-g']
134,301.431,(50),3.51433,1.62,(336),0.401479,(47),['51-Sb-123_n-g']
135,3094.92,(273),3.47387,34.3,(18),0.00373598,(348),['51-Sb-123_n-g']
136,4826.13,(350),3.38907,75.82,(1),0.00150352,(362),['51-Sb-123_n-g']
137,887.153,(126),3.35953,1.823,(327),0.535592,(38),['51-Sb-123_n-g']
138,465.383,(76),3.28554,6.264,(196),0.0906699,(116),['51-Sb-121_n-g']
139,2308.72,(221),3.25076,4.5,(243),0.0682104,(135),['51-Sb-123_n-g']
140,2148.23,(208),3.23266,2.37,(301),0.531852,(39),['51-Sb-123_n-g']
141,1848.1,(194),3.16399,11.02,(128),0.0241451,(218),['51-Sb-123_n-g']
