Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,193.75,(1),4411.46,156.033,(21),0.0224761,(67),none
1,15.0,(0),3101.9,70.2796,(77),0.209675,(8),none
2,501.743,(4),1060.45,150.804,(24),0.0306442,(49),none
3,399.247,(3),751.263,117.32,(39),0.023666,(64),none
4,264.912,(2),531.045,96.876,(49),0.0236103,(66),none
5,721.062,(5),499.984,115.479,(41),0.0220239,(69),none
6,1237.85,(9),251.68,223.67,(10),0.00339864,(195),none
7,1060.95,(8),237.415,141.295,(32),0.00805924,(129),none
8,808.685,(6),203.882,181.185,(15),0.00978126,(110),none
9,954.953,(7),201.685,51.328,(106),0.0634008,(22),none
10,1525.18,(10),171.889,261.53,(8),0.00192702,(224),none
11,2059.22,(14),139.109,358.78,(3),0.00159299,(233),none
12,1674.71,(11),105.587,148.71,(27),0.00417211,(186),none
13,1867.11,(13),95.5075,93.18,(53),0.00951071,(112),none
14,2460.19,(17),94.149,123.26,(37),0.00834233,(126),none
15,2343.61,(16),61.704,47.43,(117),0.0399308,(40),none
16,15366.7,(227),59.8457,347.0,(4),0.00466735,(177),none
17,1792.49,(12),52.7482,15.8,(217),0.286937,(4),none
18,2300.04,(15),52.0288,46.35,(122),0.0284196,(51),none
19,16973.7,(239),42.988,402.3,(2),0.00338897,(196),none
20,2652.91,(18),42.9219,187.81,(13),0.00192465,(225),none
21,4243.92,(61),41.6634,56.51,(93),0.0253896,(60),none
22,3265.69,(35),38.2099,78.92,(62),0.00805785,(130),none
23,5687.91,(92),33.854,53.93,(100),0.204453,(9),none
24,16662.1,(238),28.2897,145.8,(28),0.0185999,(76),none
25,10535.3,(181),27.8109,125.4,(36),0.0133995,(93),none
26,19351.4,(257),27.6798,263.7,(7),0.0107551,(103),none
27,4957.64,(74),27.3815,58.39,(89),0.0171265,(80),none
28,2906.29,(23),26.9024,44.61,(128),0.0183297,(78),none
29,2804.68,(22),26.7556,67.22,(80),0.00662882,(141),none
30,15693.7,(228),25.0925,149.7,(25),0.00433897,(183),none
31,5861.55,(96),23.5387,77.77,(65),0.00758041,(132),none
32,13204.7,(213),23.0829,170.1,(18),0.00210944,(218),none
33,4912.72,(73),23.0,76.15,(68),0.0102615,(108),none
34,18771.7,(253),22.2759,98.5,(47),0.0459677,(36),none
35,7117.78,(119),22.1987,63.28,(84),0.0106861,(104),none
36,2951.26,(26),20.3309,19.71,(204),0.0548855,(28),none
37,4334.18,(62),18.947,54.39,(98),0.0085865,(123),none
38,5389.71,(85),18.8178,55.26,(96),0.0210094,(70),none
39,3683.25,(48),18.3898,25.75,(190),0.0301212,(50),none
40,18248.3,(248),18.2515,141.3,(31),0.0191091,(75),none
41,4375.72,(63),18.2202,95.67,(50),0.0044998,(180),none
42,14475.5,(220),17.8782,206.3,(12),0.00631351,(146),none
43,3725.44,(49),17.1004,23.82,(193),0.033184,(47),none
44,16487.3,(237),16.9124,96.9,(48),0.0349933,(44),none
45,3442.28,(41),16.7749,49.01,(113),0.00921072,(114),none
46,7037.3,(118),15.4007,30.43,(175),0.0918816,(15),none
47,12976.5,(212),15.0801,72.8,(76),0.00885369,(120),none
48,18061.4,(247),15.0513,173.8,(17),0.0115261,(98),none
49,4693.41,(70),14.4709,73.47,(73),0.00586427,(154),none
50,5529.7,(88),13.8711,43.36,(132),0.0256746,(58),none
51,6187.66,(102),13.751,74.85,(70),0.0103092,(107),none
52,4799.84,(71),13.0759,32.06,(170),0.0270445,(55),none
53,5450.93,(87),13.0356,26.91,(188),0.061146,(24),none
54,19624.5,(258),12.9729,152.8,(23),0.0168351,(83),none
55,4500.85,(64),12.8842,56.49,(94),0.00547999,(161),none
56,4042.72,(54),12.656,51.96,(103),0.00525175,(166),none
57,12121.3,(204),12.2147,86.9,(57),0.00202633,(222),none
58,19119.2,(256),11.9916,98.8,(46),0.0404625,(39),none
59,11926.2,(203),11.8222,125.9,(35),0.00161399,(231),none
60,4817.9,(72),11.7537,36.75,(154),0.0224497,(68),none
61,15041.0,(225),11.1927,82.2,(60),0.0509487,(31),none
62,10913.7,(188),10.9425,73.2,(75),0.00750518,(133),none
63,7782.94,(130),10.911,73.55,(72),0.0112203,(102),none
64,18985.0,(255),10.5617,94.4,(52),0.0476289,(33),none
65,8331.2,(141),10.3747,59.98,(87),0.00531622,(165),none
66,3951.63,(53),10.3149,41.29,(135),0.00643368,(144),none
67,14800.0,(223),10.1655,87.4,(56),0.0147626,(89),none
68,2749.51,(20),9.46812,19.23,(207),0.0114544,(99),none
69,10284.1,(177),9.44184,39.8,(141),0.178522,(10),none
70,6150.6,(101),9.38045,18.08,(211),0.0480991,(32),none
71,14660.0,(222),9.216,45.4,(123),0.0925512,(14),none
72,17264.8,(240),8.88505,80.1,(61),0.00920057,(115),none
73,14290.1,(219),8.76111,44.2,(130),0.0200423,(71),none
74,17304.2,(241),8.72413,145.4,(29),0.00767458,(131),none
75,10621.2,(182),8.67439,18.9,(209),0.0633013,(23),none
76,9137.25,(158),8.56297,104.66,(42),0.00218067,(215),none
77,3603.24,(45),8.47505,27.26,(186),0.00674077,(140),none
78,5756.32,(95),8.45834,31.14,(172),0.023693,(63),none
79,11779.1,(200),8.37349,36.3,(158),0.0169765,(82),none
80,18652.1,(252),8.35219,49.8,(110),0.0317197,(48),none
81,2982.46,(27),8.25615,13.21,(225),0.0529677,(30),none
82,3132.52,(33),8.17076,54.18,(99),0.0143779,(92),none
83,4641.99,(68),8.15726,32.24,(169),0.00584352,(155),none
84,6987.4,(117),8.15419,25.86,(189),0.0365546,(42),none
85,5322.45,(84),8.15156,9.8,(240),0.297101,(3),none
86,2932.63,(25),8.14707,9.8,(239),0.042655,(38),none
87,3103.32,(31),8.08894,13.3,(224),0.0198583,(72),none
88,3324.24,(37),8.01834,35.29,(163),0.00506984,(169),none
89,3508.1,(42),7.86659,20.28,(202),0.0254205,(59),none
90,6510.75,(108),7.79867,22.57,(198),0.0439337,(37),none
91,7723.82,(129),7.77208,64.49,(81),0.00477913,(173),none
92,5307.02,(83),7.30901,10.97,(232),0.075596,(20),none
93,7911.41,(132),7.29532,28.57,(180),0.0558138,(27),none
94,5270.52,(82),7.25808,30.23,(176),0.014957,(88),none
95,5912.34,(97),7.16605,49.86,(109),0.00407732,(187),none
96,15140.5,(226),7.16167,44.1,(131),0.0844884,(16),none
97,19902.9,(259),7.12996,157.4,(20),0.00371917,(190),none
98,4572.01,(67),7.10735,63.5,(83),0.00308822,(200),none
99,4142.02,(58),7.06781,40.46,(136),0.00559135,(160),none
100,3422.24,(40),7.04254,12.21,(230),0.0181698,(79),none
101,10812.5,(187),6.99842,127.2,(34),0.00242091,(211),none
102,10387.9,(180),6.98164,53.0,(102),0.0162817,(85),none
