Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,289.7,(5),585.379,2.808,(8),594.905,(0),none
1,262.8,(4),532.175,2.718,(9),565.681,(1),none
2,215.9,(2),418.465,2.612,(11),500.658,(2),none
3,134.9,(1),331.53,2.253,(12),485.842,(3),none
4,780.9,(11),286.727,3.979,(3),187.372,(5),none
5,1000.0,(13),251.447,4.874,(0),141.507,(8),none
6,700.5,(10),231.079,3.75,(4),163.692,(6),none
7,937.5,(12),207.84,4.805,(1),122.579,(11),none
8,1076.0,(14),171.168,4.22,(2),101.454,(14),none
9,682.5,(9),161.419,3.584,(5),117.652,(12),none
10,397.8,(7),134.588,2.916,(6),127.36,(10),none
11,230.7,(3),132.467,2.068,(13),163.325,(7),none
12,322.0,(6),130.835,2.819,(7),131.823,(9),none
13,426.5,(8),105.996,2.618,(10),114.957,(13),none
14,26.3,(0),69.9362,1.3511,(14),210.355,(4),none
