Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,34.6042,(3),886.996,5.5076,(247),7.44358,(2),none
1,41.7937,(4),756.397,6.6054,(223),4.22071,(6),none
2,23.3244,(2),583.915,9.7832,(168),1.40364,(16),none
3,4050.0,(335),431.207,279.32,(0),0.0106726,(331),none
4,222.869,(20),229.03,28.666,(8),0.120112,(119),none
5,113.947,(11),227.037,41.0498,(1),0.081866,(152),none
6,52.9484,(5),197.267,7.3394,(210),0.689658,(41),none
7,69.6298,(8),184.049,11.2931,(123),0.377868,(54),none
8,201.577,(19),174.623,9.08,(180),0.922298,(27),none
9,155.867,(15),135.266,13.103,(91),0.261087,(70),none
10,183.048,(18),126.574,15.216,(62),0.296176,(62),none
11,380.008,(34),123.859,8.768,(184),1.12216,(19),none
12,2166.43,(196),117.697,40.79,(2),0.0197815,(307),none
13,84.6757,(9),101.593,6.1655,(233),0.709543,(35),none
14,257.916,(23),97.3164,18.31,(35),0.171152,(95),none
15,2261.0,(203),94.1337,30.55,(4),0.020841,(305),none
16,722.446,(65),88.0902,18.745,(33),0.201088,(86),none
17,2088.68,(191),85.9457,11.91,(114),0.124075,(116),none
18,253.864,(22),84.2914,18.296,(36),0.123604,(117),none
19,172.831,(16),78.6344,3.989,(276),1.90076,(15),none
20,2419.5,(214),75.1757,14.56,(71),0.104735,(129),none
21,2402.99,(213),75.1615,16.61,(50),0.070795,(170),none
22,3162.98,(272),73.823,30.41,(5),0.0175684,(314),none
23,144.674,(13),69.3337,4.736,(261),0.820684,(31),none
24,2841.68,(245),67.5167,20.77,(22),0.0321167,(268),none
25,3887.48,(326),65.7983,22.29,(16),0.064502,(183),none
26,3259.54,(278),65.65,20.34,(26),0.046199,(225),none
27,8.75,(1),63.5242,15.0059,(68),0.43404,(51),none
28,1408.79,(134),62.715,24.86,(10),0.394843,(53),none
29,1946.31,(179),62.247,12.27,(96),0.186098,(89),none
30,1983.16,(182),61.8655,15.71,(61),0.0764688,(160),none
31,135.152,(12),59.996,4.063,(275),0.882195,(28),none
32,1994.72,(183),59.6069,10.2,(150),0.154585,(101),none
33,242.077,(21),59.2174,5.709,(245),0.658868,(43),none
34,366.008,(33),58.7194,9.963,(164),0.310287,(60),none
35,431.56,(38),58.2076,5.764,(244),1.00417,(24),none
36,2785.09,(242),58.0814,17.49,(42),0.0525019,(209),none
37,2820.44,(244),57.8709,16.88,(48),0.0426817,(238),none
38,2108.21,(192),57.3475,15.88,(60),0.0456175,(228),none
39,2548.5,(225),55.5601,10.16,(153),0.0824439,(150),none
40,2286.17,(204),54.6673,6.12,(235),0.368796,(57),none
41,2749.56,(239),54.0279,16.83,(49),0.0426002,(240),none
42,2460.07,(217),53.1502,21.98,(18),0.0210752,(304),none
43,2361.87,(210),51.4457,13.12,(90),0.0433851,(237),none
44,2199.26,(197),50.7649,9.73,(169),0.17478,(93),none
45,3906.9,(327),50.6125,19.76,(27),0.0734423,(167),none
46,525.416,(48),50.1426,12.403,(95),0.193738,(87),none
47,3141.92,(271),50.0976,11.92,(113),0.0703394,(171),none
48,3629.99,(308),49.6473,20.67,(24),0.0263346,(288),none
49,1199.91,(111),48.0087,8.7,(187),3.10389,(8),none
50,3677.85,(311),47.6382,19.35,(30),0.0376039,(253),none
51,3495.0,(297),47.5702,14.94,(69),0.0403532,(245),none
52,2346.69,(209),47.5435,12.12,(105),0.0475907,(221),none
53,2806.41,(243),46.9734,13.56,(82),0.0797955,(155),none
54,64.5144,(7),46.414,10.8739,(142),0.819005,(32),none
55,2564.09,(226),45.9752,16.05,(55),0.0266477,(286),none
56,86.5383,(10),45.0911,3.469,(286),0.923181,(26),none
57,3224.14,(276),44.3356,28.69,(7),0.0133546,(326),none
58,705.39,(64),44.1552,3.931,(278),2.03803,(13),none
59,422.878,(37),44.0127,4.525,(262),1.10151,(20),none
60,507.005,(46),43.3532,13.251,(84),0.141549,(104),none
61,3481.75,(296),43.2913,10.93,(140),0.0801108,(153),none
62,3715.38,(314),43.2331,11.04,(136),0.0641696,(184),none
63,2764.75,(240),42.8033,11.13,(132),0.0601353,(192),none
64,3246.5,(277),41.9836,10.15,(154),0.0678465,(175),none
65,3928.59,(328),41.7843,11.38,(121),0.139548,(106),none
66,3084.75,(267),41.614,16.9,(47),0.0254905,(291),none
