Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,304.971,(4),914.664,117.027,(17),0.0758333,(33),none
1,226.921,(3),433.98,12.991,(148),3.95061,(0),none
2,562.9,(9),378.141,106.545,(20),0.0662936,(38),none
3,120.642,(2),373.212,101.341,(21),0.0500926,(47),none
4,65.3816,(0),322.86,84.2074,(30),0.0564073,(44),none
5,683.518,(10),243.943,74.2,(39),0.139887,(24),none
6,775.105,(11),187.056,108.617,(19),0.0773178,(32),none
7,380.045,(5),172.244,24.471,(111),0.264758,(17),none
8,1261.53,(17),108.162,157.52,(5),0.00768318,(130),none
9,1052.7,(16),98.1258,94.96,(26),0.0280124,(68),none
10,476.591,(8),89.372,44.945,(62),0.0489931,(50),none
11,1834.53,(26),79.4332,153.66,(6),0.00797111,(126),none
12,9448.1,(175),64.7325,152.68,(7),0.723708,(3),none
13,104.638,(1),55.937,25.7466,(103),0.0496693,(49),none
14,3519.16,(52),51.0158,100.14,(22),0.0175487,(87),none
15,893.721,(12),49.7789,44.5,(63),0.114756,(27),none
16,1929.25,(27),48.4229,148.73,(9),0.00736089,(135),none
17,1013.48,(15),43.4566,52.207,(55),0.0500704,(48),none
18,2294.05,(30),43.0966,183.06,(2),0.00487126,(156),none
19,2383.14,(32),39.0626,88.55,(28),0.00750222,(132),none
20,410.748,(6),39.0475,24.678,(110),0.0570489,(43),none
21,1681.23,(25),36.959,35.53,(81),0.0637725,(39),none
22,2119.6,(29),33.7028,25.15,(107),0.268992,(16),none
23,2049.53,(28),33.6479,48.2,(60),0.0605863,(41),none
24,3416.87,(51),32.1241,69.88,(45),0.00931507,(119),none
25,2871.93,(42),30.7171,83.59,(32),0.00548842,(153),none
26,1396.14,(21),30.06,86.09,(29),0.0183101,(85),none
27,5317.51,(90),29.889,92.08,(27),0.0103953,(111),none
28,934.168,(14),28.1805,18.915,(127),0.271427,(14),none
29,3023.99,(46),20.7503,29.23,(94),0.031612,(63),none
30,2983.85,(45),20.264,16.73,(134),0.115932,(26),none
31,3850.04,(60),19.2185,75.61,(38),0.0144871,(94),none
32,2491.06,(33),18.733,38.08,(76),0.0164465,(90),none
33,1608.69,(24),18.5912,129.44,(14),0.0126276,(103),none
34,5682.82,(96),18.0146,73.87,(40),0.0171704,(88),none
35,6617.86,(116),17.9642,113.31,(18),0.00572231,(148),none
36,1524.21,(22),17.5937,34.05,(84),0.0671733,(37),none
37,9023.49,(166),16.6674,140.36,(10),0.00361313,(170),none
38,2643.63,(37),16.4852,58.42,(51),0.00563371,(151),none
39,6883.52,(123),15.7605,16.62,(136),3.51815,(1),none
40,4194.82,(67),14.4846,316.73,(1),0.00175739,(182),none
41,5173.82,(88),14.2661,80.61,(34),0.0115658,(108),none
42,5478.97,(94),13.8514,122.91,(16),0.00648119,(142),none
43,7103.24,(131),13.4888,79.28,(35),0.00785955,(127),none
44,9345.66,(174),13.2239,135.56,(13),0.00740976,(133),none
45,4427.12,(69),12.9936,70.71,(43),0.00782828,(128),none
46,9743.29,(180),12.7768,135.68,(12),0.00446575,(162),none
47,4898.14,(81),12.2809,81.52,(33),0.00483396,(157),none
48,1377.02,(20),12.2454,16.41,(138),0.0248745,(74),none
49,3102.3,(48),12.1574,70.67,(44),0.00436619,(163),none
50,1338.43,(19),11.6384,29.51,(93),0.012147,(107),none
51,3673.66,(55),11.606,54.98,(54),0.021423,(82),none
52,3205.55,(49),11.4338,58.82,(50),0.00393107,(167),none
53,8859.31,(165),11.3498,50.34,(57),0.0166852,(89),none
54,4699.77,(78),11.2851,33.33,(87),0.0219066,(80),none
55,8149.61,(154),10.9924,96.03,(24),0.00572923,(147),none
56,3270.67,(50),10.9643,165.3,(4),0.00226635,(177),none
57,2953.66,(44),10.8484,25.04,(108),0.0251016,(73),none
58,6141.19,(108),10.4794,171.6,(3),0.00124232,(183),none
59,4645.39,(77),10.3112,38.87,(74),0.0426976,(53),none
60,7722.14,(144),10.3032,72.38,(41),0.00756184,(131),none
61,3961.68,(63),10.161,33.52,(86),0.0195803,(83),none
62,4991.83,(83),9.86319,25.4,(105),0.0443191,(52),none
63,2938.71,(43),9.82429,12.71,(150),0.0506079,(46),none
64,8280.56,(155),9.29771,50.17,(58),0.0085034,(123),none
65,2682.5,(38),9.25688,19.52,(122),0.0144571,(95),none
66,6513.06,(115),8.69116,95.06,(25),0.00217358,(179),none
67,4528.97,(73),8.66338,12.14,(153),0.270092,(15),none
68,5628.89,(95),8.39036,30.35,(91),0.0713581,(34),none
69,4379.8,(68),8.33146,20.31,(119),0.0156742,(91),none
70,5027.11,(84),8.3159,24.32,(113),0.0230391,(76),none
71,2800.5,(41),8.20762,39.93,(71),0.00424185,(164),none
72,5775.61,(97),8.15949,44.42,(64),0.010824,(109),none
73,8639.59,(162),8.07772,137.42,(11),0.00212785,(180),none
74,5376.28,(91),8.00216,33.88,(85),0.0107652,(110),none
75,3587.93,(53),7.81775,10.31,(158),0.381315,(9),none
76,9581.09,(179),7.79992,38.67,(75),0.0683821,(36),none
77,4485.71,(70),7.74905,15.53,(141),0.037765,(56),none
78,6307.45,(111),7.71337,34.33,(82),0.00934812,(118),none
79,3627.09,(54),7.51049,18.68,(130),0.123285,(25),none
80,7819.17,(145),7.46432,39.2,(72),0.0125903,(104),none
81,5232.07,(89),7.45726,10.39,(156),0.231953,(18),none
82,5864.56,(100),7.38164,69.52,(46),0.0039237,(168),none
83,2582.82,(35),7.2598,19.79,(121),0.0143876,(96),none
84,3905.91,(62),6.92144,19.43,(124),0.0367866,(58),none
85,4810.44,(79),6.72549,128.31,(15),0.00341387,(171),none
86,7588.62,(142),6.71999,98.44,(23),0.00217834,(178),none
87,8521.73,(161),6.68612,42.51,(68),0.00640675,(144),none
88,4563.2,(75),6.56208,18.96,(126),0.150629,(22),none
89,3978.62,(64),6.51014,24.05,(114),0.0183782,(84),none
90,2334.99,(31),6.49261,26.69,(99),0.00777552,(129),none
91,9941.43,(183),6.42978,152.24,(8),0.00111331,(184),none
92,3065.62,(47),6.42127,37.92,(77),0.00665376,(140),none
93,907.095,(13),6.33663,28.818,(95),0.100647,(28),none
94,3715.51,(57),6.31132,17.91,(132),0.0281702,(67),none
95,3734.08,(58),6.26939,27.0,(97),0.0372257,(57),none
96,6360.93,(112),5.81965,42.1,(69),0.00423643,(165),none
97,7262.47,(135),5.75279,83.99,(31),0.00865974,(122),none
98,5123.15,(87),5.50865,13.17,(147),0.0405585,(54),none
99,5080.88,(86),5.47075,59.78,(49),0.00637871,(145),none
100,7206.8,(133),5.44566,32.1,(89),0.0226683,(78),none
101,6747.98,(118),5.37726,19.02,(125),0.0574368,(42),none
102,4551.22,(74),5.36794,8.12,(166),0.299267,(12),none
103,4608.32,(76),5.31279,21.04,(117),0.15091,(21),none
104,445.932,(7),5.23116,52.161,(56),0.0333977,(61),none
