Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,42.55,(1),1864.76,2.8556,(3),2808.74,(1),none
1,4.35,(0),424.259,0.55319,(23),3127.57,(0),none
2,102.08,(4),404.0,1.139,(21),919.152,(2),none
3,103.6,(5),330.037,1.281,(20),824.218,(3),none
4,275.19,(11),227.475,2.249,(9),268.995,(9),none
5,259.25,(10),217.462,1.971,(13),276.212,(7),none
6,306.71,(12),211.591,2.049,(12),268.447,(10),none
7,85.73,(2),210.623,1.327,(19),444.35,(4),none
8,245.3,(9),201.509,1.722,(16),283.579,(6),none
9,404.21,(16),199.307,1.887,(15),264.525,(11),none
10,189.45,(8),188.896,1.943,(14),274.52,(8),none
11,147.3,(6),188.474,1.548,(17),326.372,(5),none
12,406.49,(17),173.995,2.251,(8),236.467,(13),none
13,446.58,(18),166.39,2.765,(5),156.74,(17),none
14,342.89,(14),160.419,2.388,(7),177.039,(15),none
15,487.59,(20),153.777,2.773,(4),138.872,(19),none
16,311.54,(13),152.062,2.166,(11),172.38,(16),none
17,465.16,(19),150.315,3.864,(0),107.997,(21),none
18,151.62,(7),147.82,1.467,(18),256.651,(12),none
19,390.98,(15),138.409,2.193,(10),151.879,(18),none
20,541.5,(23),136.806,3.735,(1),101.376,(23),none
21,497.87,(21),135.396,2.685,(6),122.711,(20),none
22,505.4,(22),125.949,3.111,(2),103.508,(22),none
23,96.15,(3),85.7604,1.0806,(22),192.158,(14),none
