Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,0.54036,(0),8318.27,0.748869,(32),310.439,(6),none
1,2.77361,(4),202.645,1.13486,(7),75.6096,(33),none
2,7.91239,(10),174.453,2.23884,(0),16.3878,(67),none
3,14.3575,(16),128.295,1.3863,(3),309.929,(7),none
4,25.8063,(33),123.954,0.8378,(25),80.5593,(31),none
5,31.3918,(39),122.444,1.1274,(8),54.2377,(46),none
6,16.556,(19),110.693,0.8857,(18),119.202,(23),none
7,51.1915,(60),103.267,0.8598,(23),50.6212,(49),none
8,27.0724,(34),101.777,0.8305,(26),154.642,(18),none
9,19.8683,(24),96.4865,0.8178,(28),102.715,(25),none
10,16.9377,(20),95.8625,0.8632,(21),77.5545,(32),none
11,18.2428,(21),83.3751,1.1249,(10),37.5206,(58),none
12,18.7255,(22),82.0089,1.1257,(9),65.5894,(38),none
13,9.81493,(11),80.3508,0.89486,(17),570.508,(2),none
14,27.5165,(35),76.9301,0.86,(22),72.2697,(36),none
15,10.75,(12),73.265,1.0604,(11),33.3803,(59),none
16,13.5246,(15),68.9856,1.0312,(14),32.4126,(60),none
17,34.0697,(42),64.555,0.7783,(31),70.564,(37),none
18,11.8855,(13),52.4714,0.7961,(30),65.545,(39),none
19,52.9007,(61),51.2711,0.9385,(16),46.7621,(51),none
20,30.0799,(38),48.3658,0.5129,(38),91.7052,(27),none
21,43.9198,(51),44.464,0.8247,(27),38.2523,(56),none
22,32.8374,(40),40.949,0.4048,(49),191.986,(15),none
23,37.6146,(46),40.1517,0.6343,(35),46.8605,(50),none
24,12.4125,(14),39.9768,0.7208,(33),327.199,(5),none
25,58.9291,(67),39.2485,1.044,(13),18.347,(65),none
26,4.63251,(6),32.306,0.46772,(43),64.3675,(40),none
27,1.11745,(1),32.0593,0.206346,(64),414.774,(3),none
28,61.3108,(69),31.6004,0.4153,(46),185.535,(16),none
29,57.6032,(66),29.533,1.2943,(5),17.32,(66),none
30,5.89865,(8),27.138,0.43654,(45),53.4027,(47),none
31,41.2417,(49),23.034,1.6861,(1),8.72284,(69),none
32,5.26011,(7),20.4947,0.40777,(48),43.6656,(55),none
33,36.3334,(45),20.2381,0.3852,(50),72.7513,(35),none
34,55.5382,(64),20.1198,0.8785,(19),56.0448,(44),none
35,28.922,(37),19.4336,0.5051,(39),89.7789,(29),none
36,15.0365,(17),18.9916,0.4771,(41),55.7919,(45),none
37,54.2103,(62),17.9284,0.59,(36),29.0625,(61),none
38,3.88475,(5),17.6754,0.24019,(62),244.891,(12),none
39,55.1466,(63),17.5939,0.8778,(20),56.373,(43),none
40,24.3129,(31),15.5282,0.3823,(51),73.3231,(34),none
41,1.50071,(2),14.6423,0.28242,(57),586.485,(1),none
42,60.5293,(68),13.6734,0.2799,(58),142.718,(20),none
43,38.6273,(47),12.8809,0.4098,(47),45.2225,(52),none
44,15.6859,(18),12.6454,0.2144,(63),172.672,(17),none
45,1.68438,(3),12.3813,0.26348,(59),986.03,(0),none
46,49.1945,(57),11.6697,0.3231,(55),105.339,(24),none
47,22.3646,(28),10.2958,0.7989,(29),44.8903,(54),none
48,20.317,(25),10.1063,0.6679,(34),45.0165,(53),none
49,44.956,(52),9.92121,0.3356,(53),98.5405,(26),none
50,56.6712,(65),9.25517,1.0471,(12),145.097,(19),none
51,39.5855,(48),8.18344,0.3692,(52),37.8551,(57),none
52,6.54936,(9),8.08699,0.1413,(67),235.528,(13),none
53,42.7539,(50),7.91382,0.251,(60),91.5028,(28),none
54,47.7836,(56),6.67195,0.4722,(42),22.6408,(63),none
55,33.2361,(41),6.38815,0.5163,(37),303.396,(8),none
56,34.8551,(43),5.97733,0.2831,(56),57.8301,(42),none
57,21.8023,(27),5.34725,0.844,(24),22.0414,(64),none
58,28.2954,(36),5.11605,0.1933,(65),124.518,(22),none
59,23.0669,(29),4.59087,0.1705,(66),142.635,(21),none
60,35.6059,(44),4.36211,0.2464,(61),62.3808,(41),none
61,23.613,(30),4.02677,0.1349,(68),256.878,(10),none
62,50.3787,(59),3.77199,0.4884,(40),200.684,(14),none
63,21.1352,(26),3.68184,0.3263,(54),27.4132,(62),none
64,50.0433,(58),2.66567,0.4647,(44),259.782,(9),none
65,24.9757,(32),1.74407,0.114,(69),255.011,(11),none
66,46.8554,(55),1.69058,1.4593,(2),15.419,(68),none
67,19.3688,(23),0.0,0.9442,(15),359.959,(4),none
68,45.6408,(53),0.0,1.2834,(6),83.5522,(30),none
69,46.168,(54),0.0,1.3069,(4),51.2763,(48),none
