Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,0.20354,(0),3297.87,0.252167,(72),1564.45,(1),['63-Eu-153_n-g']
1,0.723005,(2),156.611,0.242647,(76),598.912,(5),['63-Eu-151_n-g']
2,17.6455,(35),126.676,1.1722,(5),341.634,(10),['63-Eu-153_n-g']
3,8.32261,(19),85.5681,1.22174,(3),23.668,(118),['63-Eu-151_n-g']
4,25.8826,(48),75.7524,0.8753,(13),59.3573,(97),['63-Eu-153_n-g']
5,2.92871,(8),61.627,0.4031,(47),126.553,(33),['63-Eu-151_n-g']
6,16.556,(33),58.6049,0.8857,(10),66.3149,(91),['63-Eu-153_n-g']
7,66.3753,(95),54.2352,3.777,(0),80.3123,(64),['63-Eu-151_n-g']
8,25.4598,(47),54.01,0.8482,(15),152.347,(25),['63-Eu-153_n-g']
9,2.43901,(7),48.2589,0.51069,(34),95.992,(48),['63-Eu-153_n-g']
10,16.9377,(34),47.6726,0.8632,(14),45.447,(106),['63-Eu-153_n-g']
11,94.9166,(116),46.1271,1.9346,(1),66.8357,(88),['63-Eu-151_n-g']
12,18.2442,(36),45.7381,0.8777,(12),34.0106,(111),['63-Eu-151_n-g']
13,51.2866,(80),40.7468,0.6286,(21),47.9138,(104),['63-Eu-153_n-g']
14,1.50071,(5),40.5148,0.36814,(55),343.595,(9),['63-Eu-153_n-g']
15,40.5253,(68),37.8502,0.7476,(18),26.1536,(117),['63-Eu-151_n-g']
16,13.332,(27),33.9611,0.6011,(25),34.5839,(110),['63-Eu-153_n-g']
17,38.0076,(65),31.0964,0.7767,(17),194.618,(18),['63-Eu-151_n-g']
18,41.8757,(69),29.1075,0.4408,(44),60.3451,(96),['63-Eu-151_n-g']
19,3.57699,(9),28.1978,0.14931,(102),841.937,(4),['63-Eu-151_n-g']
20,43.8941,(72),27.8446,0.6075,(24),32.0437,(113),['63-Eu-153_n-g']
21,91.9722,(115),23.8205,1.3325,(2),68.5306,(86),['63-Eu-151_n-g']
22,82.3454,(108),23.608,1.1633,(6),74.1348,(76),['63-Eu-151_n-g']
23,53.042,(82),22.603,0.4727,(41),77.5841,(70),['63-Eu-151_n-g']
24,15.6947,(32),22.5518,0.4869,(40),100.868,(46),['63-Eu-151_n-g']
25,57.9041,(88),22.0407,0.5178,(33),41.6127,(107),['63-Eu-151_n-g']
26,15.4076,(31),21.7254,0.4521,(42),185.798,(21),['63-Eu-151_n-g']
27,47.9452,(77),21.4165,0.5677,(26),30.5459,(114),['63-Eu-151_n-g']
28,32.8374,(58),20.5885,0.3922,(50),102.937,(44),['63-Eu-153_n-g']
29,36.4473,(63),19.1331,0.3372,(60),78.6069,(67),['63-Eu-153_n-g']
30,6.95727,(17),17.8268,0.25627,(71),140.356,(29),['63-Eu-151_n-g']
31,45.9645,(75),17.364,0.4999,(37),75.2379,(73),['63-Eu-151_n-g']
32,24.175,(45),16.7785,0.2977,(67),90.2241,(53),['63-Eu-151_n-g']
33,56.6712,(87),16.762,0.5073,(35),93.9678,(51),['63-Eu-151_n-g']
34,59.3888,(90),16.5901,0.555,(29),28.8532,(116),['63-Eu-153_n-g']
35,46.8012,(76),16.325,0.2979,(66),85.121,(57),['63-Eu-151_n-g']
36,0.35263,(1),15.9448,0.049121,(119),3555.01,(0),['63-Eu-151_n-g']
37,27.2285,(49),15.2227,0.3482,(59),111.389,(37),['63-Eu-151_n-g']
38,84.9769,(110),15.0873,0.8794,(11),72.5905,(80),['63-Eu-151_n-g']
39,31.2307,(56),14.9636,0.4161,(46),47.4867,(105),['63-Eu-153_n-g']
40,49.9854,(79),14.8952,0.3987,(49),209.591,(16),['63-Eu-151_n-g']
41,37.438,(64),14.796,0.3174,(62),66.7217,(89),['63-Eu-151_n-g']
42,42.7266,(71),14.5973,0.3831,(52),66.7193,(90),['63-Eu-153_n-g']
43,7.38608,(18),14.4147,0.34898,(58),1407.21,(2),['63-Eu-151_n-g']
44,11.8289,(25),14.2594,0.4027,(48),51.1991,(100),['63-Eu-153_n-g']
45,45.7192,(74),13.8753,0.5007,(36),70.861,(83),['63-Eu-151_n-g']
46,35.5943,(62),13.8371,0.3851,(51),48.6376,(103),['63-Eu-153_n-g']
47,3.94705,(10),13.6912,0.18392,(94),228.033,(15),['63-Eu-151_n-g']
48,21.1046,(40),12.7979,0.56,(27),22.1147,(119),['63-Eu-151_n-g']
49,78.0043,(104),12.4412,0.5209,(32),100.692,(47),['63-Eu-151_n-g']
50,4.55782,(11),11.9124,0.36464,(56),58.3282,(98),['63-Eu-153_n-g']
51,14.3575,(29),11.7424,0.2961,(69),178.63,(22),['63-Eu-151_n-g']
52,76.5043,(103),11.7412,0.9087,(8),75.9215,(71),['63-Eu-151_n-g']
53,54.3781,(84),11.5127,0.489,(39),34.6201,(109),['63-Eu-151_n-g']
54,31.9417,(57),11.4464,0.3121,(63),81.6489,(61),['63-Eu-153_n-g']
55,10.1876,(22),11.3914,0.2228,(82),103.955,(43),['63-Eu-151_n-g']
56,90.6528,(114),11.0412,0.5559,(28),82.4562,(59),['63-Eu-151_n-g']
57,68.6834,(96),10.7327,0.5276,(31),86.8568,(55),['63-Eu-151_n-g']
58,62.0,(93),10.103,0.3635,(57),101.99,(45),['63-Eu-153_n-g']
59,9.28626,(20),9.53358,0.20929,(86),139.548,(30),['63-Eu-151_n-g']
60,97.146,(117),9.35579,0.6282,(22),70.7521,(84),['63-Eu-151_n-g']
61,99.5699,(119),8.84648,0.7357,(19),64.9237,(92),['63-Eu-151_n-g']
62,38.6187,(66),8.73483,0.4301,(45),32.3604,(112),['63-Eu-153_n-g']
63,52.1972,(81),8.25905,0.2927,(70),198.427,(17),['63-Eu-153_n-g']
64,24.9757,(46),8.01219,0.1979,(90),193.595,(19),['63-Eu-151_n-g']
65,55.6756,(86),8.00613,0.3795,(53),52.9837,(99),['63-Eu-151_n-g']
66,1.21498,(4),7.99869,0.11272,(111),420.282,(7),['63-Eu-151_n-g']
67,10.7439,(23),7.96137,0.1826,(95),95.8841,(49),['63-Eu-151_n-g']
68,60.4744,(91),7.21692,0.2462,(75),104.148,(41),['63-Eu-153_n-g']
69,34.0697,(60),6.91865,0.4897,(38),41.3945,(108),['63-Eu-153_n-g']
70,98.0308,(118),6.58969,0.446,(43),87.5275,(54),['63-Eu-151_n-g']
71,49.1945,(78),6.47837,0.3308,(61),62.0602,(95),['63-Eu-153_n-g']
72,27.6409,(50),6.46518,0.3087,(64),70.8691,(82),['63-Eu-153_n-g']
73,22.4839,(42),6.39115,0.1868,(93),85.6476,(56),['63-Eu-151_n-g']
74,12.4113,(26),6.20639,0.1218,(110),289.096,(13),['63-Eu-151_n-g']
75,86.8771,(111),5.85437,1.1904,(4),67.8655,(87),['63-Eu-151_n-g']
76,20.3243,(39),5.67113,0.6679,(20),29.4053,(115),['63-Eu-153_n-g']
77,29.9218,(54),5.6284,0.2028,(88),104.047,(42),['63-Eu-151_n-g']
