Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,574238.0,(190),4124190.0,990000.0,(1),6.73736,(111),['69-Tm-169_n-tot']
1,8500000.0,(191),3181880.0,9000000.0,(0),4.94469,(163),['69-Tm-169_n-tot']
2,1944.91,(189),2215100.0,137816.0,(2),26.1352,(10),['69-Tm-169_n-tot']
3,11.4585,(1),3408.81,9.70188,(59),12.5525,(23),['69-Tm-169_n-tot']
4,1.0,(0),1774.32,3.6126,(137),31.9987,(9),['69-Tm-169_n-tot']
5,258.455,(31),794.663,6.849,(82),20.9044,(13),['69-Tm-169_n-tot']
6,80.7367,(11),693.772,16.0524,(27),6.63332,(116),['69-Tm-169_n-tot']
7,147.355,(20),503.566,15.741,(29),5.67943,(147),['69-Tm-169_n-tot']
8,244.299,(30),454.822,5.619,(102),4.45188,(173),['69-Tm-169_n-tot']
9,1733.32,(173),419.882,22.24,(7),2.93773,(190),['69-Tm-169_n-tot']
10,1377.34,(144),333.932,16.98,(25),3.31201,(187),['69-Tm-169_n-tot']
11,90.7248,(12),285.301,9.7375,(58),5.65607,(149),['69-Tm-169_n-tot']
12,410.802,(48),264.729,3.994,(128),22.2796,(11),['69-Tm-169_n-tot']
13,1757.99,(174),256.014,17.0,(24),12.0174,(25),['69-Tm-169_n-tot']
14,294.103,(35),252.876,6.91,(81),9.43486,(47),['69-Tm-169_n-tot']
15,295.772,(36),241.12,6.927,(80),73.6679,(3),['69-Tm-169_n-tot']
16,16.168,(2),240.745,2.5543,(165),15.4015,(17),['69-Tm-169_n-tot']
17,437.944,(50),224.902,21.862,(8),7.05652,(104),['69-Tm-169_n-tot']
18,121.971,(17),210.442,8.381,(68),6.82309,(109),['69-Tm-169_n-tot']
19,159.21,(21),202.522,5.804,(98),9.79311,(40),['69-Tm-169_n-tot']
20,56.3157,(8),200.993,7.5507,(77),6.09008,(137),['69-Tm-169_n-tot']
21,63.616,(10),176.139,1.9554,(176),16.5751,(16),['69-Tm-169_n-tot']
22,315.756,(37),162.796,20.024,(10),5.09009,(158),['69-Tm-169_n-tot']
23,508.908,(56),161.787,17.111,(23),4.68922,(169),['69-Tm-169_n-tot']
24,1400.86,(146),160.283,11.39,(43),10.6586,(35),['69-Tm-169_n-tot']
25,280.744,(33),152.727,8.002,(72),6.2429,(127),['69-Tm-169_n-tot']
26,1500.16,(155),151.561,29.68,(4),6.24958,(126),['69-Tm-169_n-tot']
27,683.511,(75),149.447,6.396,(87),13.4784,(20),['69-Tm-169_n-tot']
28,1618.12,(164),147.395,16.85,(26),8.55405,(64),['69-Tm-169_n-tot']
29,403.077,(47),143.804,6.16,(92),3.75594,(185),['69-Tm-169_n-tot']
30,27.4865,(3),143.566,10.7087,(49),7.6783,(82),['69-Tm-169_n-tot']
31,1385.05,(145),135.812,3.88,(131),6.32852,(125),['69-Tm-169_n-tot']
32,1302.13,(139),132.741,11.68,(41),3.98767,(183),['69-Tm-169_n-tot']
33,979.496,(105),131.759,17.81,(19),4.04025,(181),['69-Tm-169_n-tot']
34,1447.46,(151),129.931,15.29,(30),6.52217,(120),['69-Tm-169_n-tot']
35,570.014,(62),129.267,5.79,(100),5.67916,(148),['69-Tm-169_n-tot']
36,1348.89,(142),128.105,26.24,(5),3.09498,(188),['69-Tm-169_n-tot']
37,674.074,(74),127.041,2.206,(172),11.6682,(29),['69-Tm-169_n-tot']
38,343.679,(40),126.771,11.454,(42),7.35558,(95),['69-Tm-169_n-tot']
39,539.814,(58),126.128,20.702,(9),5.43544,(153),['69-Tm-169_n-tot']
40,285.671,(34),125.385,3.57,(139),14.2373,(18),['69-Tm-169_n-tot']
41,1909.72,(185),124.407,17.74,(20),6.82879,(108),['69-Tm-169_n-tot']
42,1414.05,(147),119.197,10.66,(50),4.25791,(177),['69-Tm-169_n-tot']
43,561.476,(61),118.822,6.358,(88),4.25214,(178),['69-Tm-169_n-tot']
44,1694.36,(170),118.135,14.28,(33),4.35733,(174),['69-Tm-169_n-tot']
45,48.4676,(7),116.265,4.9426,(114),6.81635,(110),['69-Tm-169_n-tot']
46,221.194,(26),110.328,8.157,(70),4.33385,(175),['69-Tm-169_n-tot']
47,621.544,(68),109.503,15.114,(31),5.84454,(140),['69-Tm-169_n-tot']
48,271.439,(32),107.675,11.798,(40),8.76711,(61),['69-Tm-169_n-tot']
49,1356.11,(143),107.203,4.79,(116),3.68415,(186),['69-Tm-169_n-tot']
50,589.505,(65),107.182,3.796,(132),17.7193,(15),['69-Tm-169_n-tot']
51,1009.81,(110),106.523,3.43,(143),9.19063,(50),['69-Tm-169_n-tot']
52,1211.79,(131),106.325,10.77,(48),8.0322,(78),['69-Tm-169_n-tot']
53,31.6081,(4),100.26,5.1328,(109),7.14203,(102),['69-Tm-169_n-tot']
