Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,9000000.0,(167),17993400.0,14830000.0,(0),5.03753,(158),none
1,1799.37,(166),5477700.0,628557.0,(1),19.641,(7),none
2,25.8323,(2),4660.77,12.7684,(37),11.5858,(42),none
3,10.6211,(1),2081.08,12.3585,(38),13.6014,(28),none
4,34.1379,(3),1949.54,3.5518,(122),41.5057,(1),none
5,42.7102,(4),1610.95,8.501,(61),18.2979,(9),none
6,195.471,(22),675.073,26.782,(7),7.76725,(103),none
7,94.6837,(11),668.998,19.005,(16),9.72484,(65),none
8,921.14,(86),668.855,26.596,(8),3.16001,(167),none
9,763.297,(72),618.826,34.13,(4),5.73932,(146),none
10,484.852,(48),595.696,25.447,(9),5.35722,(152),none
11,248.247,(28),551.138,19.225,(15),5.6123,(148),none
12,51.8912,(5),546.606,7.399,(75),15.4752,(17),none
13,102.35,(12),400.764,8.1831,(66),9.80113,(63),none
14,316.762,(35),396.604,9.286,(54),9.37545,(73),none
15,544.341,(52),385.707,16.723,(19),4.46747,(163),none
16,616.393,(60),337.457,10.799,(46),5.04167,(157),none
17,166.569,(21),327.342,11.671,(41),7.64172,(108),none
18,1514.1,(141),320.657,15.86,(20),8.21672,(90),none
19,645.727,(62),314.49,23.833,(10),6.89333,(126),none
20,843.904,(80),297.068,28.456,(6),3.55743,(166),none
21,445.656,(46),272.89,6.633,(83),7.74957,(105),none
22,417.72,(43),272.469,12.943,(36),4.45045,(164),none
23,1611.12,(148),271.747,19.39,(13),7.36561,(114),none
24,1495.16,(140),268.631,14.22,(29),5.07843,(156),none
25,1005.71,(96),265.189,7.686,(71),12.5716,(34),none
26,1180.1,(112),263.634,12.15,(39),6.52644,(132),none
27,1351.15,(126),254.8,36.58,(2),6.29741,(134),none
28,861.424,(82),253.729,10.879,(44),6.96004,(123),none
29,109.905,(13),252.681,4.216,(110),14.0137,(25),none
30,126.697,(16),240.407,3.381,(125),10.9436,(49),none
