Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1000000.0,(74),39570700.0,8195000.0,(1),7.1979,(61),none
1,9200000.0,(75),35396400.0,15950000.0,(0),4.9849,(73),none
2,5000.0,(73),10153300.0,599650.0,(2),17.4301,(13),none
3,8.13965,(1),1462.45,5.59974,(16),9.40602,(40),none
4,1.25,(0),861.595,4.05145,(27),10.3799,(32),none
5,48.1368,(10),788.013,9.1507,(5),10.0825,(34),none
6,37.4399,(9),668.053,2.5468,(44),22.1197,(7),none
7,112.749,(26),403.747,8.348,(8),9.06141,(44),none
8,135.001,(29),348.316,8.804,(7),7.71314,(54),none
9,102.924,(24),318.279,3.2535,(36),15.7384,(15),none
10,171.286,(36),298.56,7.2,(10),4.57546,(75),none
11,12.813,(2),294.811,3.1568,(38),9.83578,(36),none
12,75.0243,(15),281.932,12.7296,(3),5.35438,(72),none
13,198.667,(43),265.843,3.867,(29),13.9179,(18),none
14,124.264,(28),237.464,6.968,(11),7.48399,(57),none
15,97.6201,(23),202.651,1.4725,(54),17.2076,(14),none
16,31.888,(7),153.328,4.4785,(24),5.4776,(71),none
17,29.1257,(6),150.973,5.4842,(17),6.08336,(68),none
18,191.472,(42),146.349,4.135,(25),6.83368,(65),none
19,213.104,(46),134.794,5.215,(19),7.37578,(58),none
20,18.5647,(3),118.868,5.7957,(14),6.87835,(64),none
21,286.401,(65),108.625,5.865,(13),10.4223,(31),none
22,261.254,(59),94.9764,2.793,(42),6.00337,(69),none
23,327.923,(72),88.2648,5.017,(20),9.20982,(43),none
24,117.603,(27),85.1059,2.302,(46),13.763,(19),none
25,276.169,(63),83.2841,1.95,(47),19.6274,(10),none
26,35.5138,(8),72.9646,0.3016,(73),193.71,(1),none
27,236.441,(53),69.5382,3.698,(31),13.2353,(22),none
28,81.3233,(18),68.6817,3.1092,(39),7.07116,(62),none
29,270.647,(61),66.6935,5.617,(15),7.5349,(55),none
30,310.428,(69),66.1649,4.001,(28),9.01279,(45),none
31,229.148,(51),64.84,3.852,(30),8.87874,(47),none
32,321.619,(71),63.163,7.863,(9),11.0986,(29),none
33,178.072,(38),59.9877,1.586,(53),29.7979,(6),none
34,203.813,(44),54.7646,3.482,(33),12.0058,(27),none
35,23.0433,(5),50.0811,0.7756,(65),13.1538,(23),none
36,88.3746,(20),47.959,3.6364,(32),6.58395,(66),none
37,302.908,(67),47.81,11.392,(4),9.56155,(37),none
38,84.348,(19),46.3141,1.3876,(57),10.7366,(30),none
39,104.373,(25),45.8671,1.185,(58),11.4717,(28),none
40,279.159,(64),43.062,1.797,(51),14.3518,(16),none
41,137.528,(30),40.9343,0.958,(62),18.1129,(11),none
42,143.273,(31),40.614,4.776,(21),9.36142,(41),none
43,272.682,(62),39.6838,0.902,(63),20.3927,(8),none
44,218.658,(48),37.0424,1.905,(49),12.1052,(26),none
45,231.322,(52),36.3267,0.746,(66),19.9479,(9),none
46,164.906,(35),35.0396,5.394,(18),5.77502,(70),none
47,61.0739,(14),33.5366,3.2692,(35),7.27798,(59),none
48,257.884,(58),29.7822,4.706,(22),6.19951,(67),none
49,241.525,(54),27.5534,4.058,(26),9.87971,(35),none
50,289.322,(66),26.44,1.413,(56),13.7596,(20),none
51,21.8272,(4),26.2265,1.908,(48),7.4987,(56),none
52,215.902,(47),26.0055,0.611,(68),40.5402,(4),none
53,95.0469,(22),25.6829,4.5802,(23),4.63616,(74),none
54,224.091,(50),24.8075,1.799,(50),8.88623,(46),none
55,207.279,(45),24.2014,2.515,(45),9.33927,(42),none
56,175.537,(37),21.8725,0.256,(74),390.052,(0),none
57,246.08,(55),21.5959,3.195,(37),9.5216,(38),none
58,158.958,(34),18.8654,8.931,(6),7.01952,(63),none
59,147.198,(32),18.7019,3.038,(41),8.21248,(49),none
60,264.189,(60),18.4986,0.451,(71),90.6841,(2),none
61,78.4126,(17),13.4333,0.6538,(67),14.2937,(17),none
62,304.993,(68),13.3921,0.98,(61),9.50466,(39),none
63,221.481,(49),13.1603,1.468,(55),12.3221,(25),none
64,77.2799,(16),12.5477,0.2529,(75),86.458,(3),none
65,312.484,(70),12.4642,0.512,(70),38.8072,(5),none
66,90.6627,(21),11.9969,1.0728,(60),7.23558,(60),none
67,55.3126,(11),9.7585,5.9317,(12),8.10277,(50),none
68,149.019,(33),7.56539,0.569,(69),13.4349,(21),none
69,182.027,(39),6.80309,3.039,(40),12.4362,(24),none
70,188.473,(41),2.875,2.674,(43),7.92394,(51),none
71,252.159,(57),2.32721,3.336,(34),8.55677,(48),none
72,184.713,(40),2.15732,1.652,(52),10.2027,(33),none
73,58.4725,(13),1.29664,0.8916,(64),7.79035,(53),none
74,247.944,(56),1.17971,0.356,(72),17.8557,(12),none
75,56.67,(12),1.10615,1.0936,(59),7.89984,(52),none
