Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1000000.0,(74),42332000.0,7996000.0,(1),7.19778,(61),['73-Ta-181_n-tot']
1,9200000.0,(75),34161100.0,15946600.0,(0),4.98487,(73),['73-Ta-181_n-tot']
2,4000.0,(73),10291600.0,599670.0,(2),18.5619,(11),['73-Ta-181_n-tot']
3,8.13965,(1),1187.0,5.58891,(17),9.4781,(40),['73-Ta-181_n-tot']
4,48.1368,(10),713.087,9.1374,(5),10.1195,(34),['73-Ta-181_n-tot']
5,264.189,(60),594.928,7.012,(12),90.6893,(2),['73-Ta-181_n-tot']
6,1.25,(0),589.486,4.05145,(31),10.527,(31),['73-Ta-181_n-tot']
7,37.4399,(9),559.369,2.5428,(46),22.1593,(7),['73-Ta-181_n-tot']
8,102.924,(24),318.204,3.2535,(39),15.7546,(15),['73-Ta-181_n-tot']
9,112.749,(26),290.775,8.365,(8),9.07827,(44),['73-Ta-181_n-tot']
10,12.813,(2),257.065,3.152,(41),9.88642,(36),['73-Ta-181_n-tot']
11,135.001,(29),238.768,8.804,(7),7.72989,(54),['73-Ta-181_n-tot']
12,178.072,(38),220.935,5.341,(21),29.8115,(6),['73-Ta-181_n-tot']
13,198.667,(43),218.865,3.843,(34),13.9331,(18),['73-Ta-181_n-tot']
14,171.286,(36),212.955,7.2,(10),4.59214,(75),['73-Ta-181_n-tot']
15,270.647,(61),183.909,7.099,(11),7.55001,(55),['73-Ta-181_n-tot']
16,97.6201,(23),180.43,1.4725,(55),17.2246,(14),['73-Ta-181_n-tot']
17,29.1257,(6),150.387,5.4905,(19),6.12815,(68),['73-Ta-181_n-tot']
18,124.264,(28),145.485,6.973,(13),7.5009,(57),['73-Ta-181_n-tot']
19,182.027,(39),125.914,5.499,(18),12.4518,(24),['73-Ta-181_n-tot']
20,75.0243,(15),119.324,12.7296,(3),5.3815,(72),['73-Ta-181_n-tot']
21,191.472,(42),116.368,4.124,(29),6.84984,(65),['73-Ta-181_n-tot']
22,31.888,(7),115.018,4.4844,(28),5.52139,(71),['73-Ta-181_n-tot']
23,213.104,(46),96.1858,5.202,(22),7.39161,(58),['73-Ta-181_n-tot']
24,18.5647,(3),89.9616,5.7957,(16),6.92713,(64),['73-Ta-181_n-tot']
25,276.169,(63),82.6548,1.967,(49),19.641,(10),['73-Ta-181_n-tot']
26,117.603,(27),81.676,2.302,(48),13.7792,(19),['73-Ta-181_n-tot']
27,261.254,(59),81.1006,2.801,(44),6.01878,(69),['73-Ta-181_n-tot']
28,286.401,(65),79.0708,5.863,(15),10.4369,(32),['73-Ta-181_n-tot']
29,35.519,(8),70.0325,0.3016,(73),193.944,(1),['73-Ta-181_n-tot']
30,327.923,(72),68.479,5.014,(23),9.22402,(43),['73-Ta-181_n-tot']
31,236.441,(53),63.3307,3.684,(35),13.2501,(22),['73-Ta-181_n-tot']
32,310.428,(69),55.4716,4.001,(32),9.02723,(45),['73-Ta-181_n-tot']
33,321.619,(71),55.4352,7.878,(9),11.1127,(29),['73-Ta-181_n-tot']
34,229.148,(51),55.0901,3.859,(33),8.8942,(47),['73-Ta-181_n-tot']
35,81.3233,(18),54.8289,3.1174,(42),7.09564,(62),['73-Ta-181_n-tot']
36,203.813,(44),54.7543,3.482,(37),12.0212,(27),['73-Ta-181_n-tot']
37,104.373,(25),48.775,1.202,(59),11.4884,(28),['73-Ta-181_n-tot']
38,84.348,(19),45.2361,1.3923,(58),10.7595,(30),['73-Ta-181_n-tot']
39,23.0433,(5),43.9635,0.7756,(66),13.2001,(23),['73-Ta-181_n-tot']
40,279.159,(64),38.6618,1.789,(53),14.366,(16),['73-Ta-181_n-tot']
41,88.3746,(20),38.3094,3.6217,(36),6.60576,(66),['73-Ta-181_n-tot']
42,231.322,(52),38.3079,0.767,(67),19.962,(9),['73-Ta-181_n-tot']
43,272.682,(62),37.601,0.902,(64),20.4062,(8),['73-Ta-181_n-tot']
44,137.528,(30),36.7959,0.948,(63),18.1284,(12),['73-Ta-181_n-tot']
45,218.658,(48),35.8703,1.92,(50),12.1204,(26),['73-Ta-181_n-tot']
46,143.273,(31),35.71,4.776,(24),9.37787,(41),['73-Ta-181_n-tot']
47,302.908,(67),34.3391,11.362,(4),9.57602,(37),['73-Ta-181_n-tot']
48,175.547,(37),28.2579,0.283,(74),390.046,(0),['73-Ta-181_n-tot']
49,215.902,(47),24.059,0.601,(70),40.552,(4),['73-Ta-181_n-tot']
50,289.322,(66),23.794,1.401,(57),13.7737,(20),['73-Ta-181_n-tot']
51,61.0739,(14),23.7126,3.2692,(38),7.31027,(59),['73-Ta-181_n-tot']
52,21.8272,(4),23.5376,1.904,(51),7.54614,(56),['73-Ta-181_n-tot']
53,224.091,(50),21.7224,1.799,(52),8.90175,(46),['73-Ta-181_n-tot']
54,241.525,(54),20.6818,4.058,(30),9.89489,(35),['73-Ta-181_n-tot']
55,95.0469,(22),20.3963,4.5872,(27),4.65564,(74),['73-Ta-181_n-tot']
56,207.279,(45),20.2367,2.515,(47),9.35494,(42),['73-Ta-181_n-tot']
57,164.906,(35),20.0671,5.385,(20),5.79164,(70),['73-Ta-181_n-tot']
58,257.884,(58),19.2109,4.717,(25),6.21493,(67),['73-Ta-181_n-tot']
59,246.08,(55),18.6148,3.195,(40),9.53677,(38),['73-Ta-181_n-tot']
60,158.958,(34),16.3594,8.931,(6),7.03606,(63),['73-Ta-181_n-tot']
61,147.198,(32),13.462,3.027,(43),8.22902,(49),['73-Ta-181_n-tot']
62,77.2799,(16),13.2559,0.2607,(75),86.4745,(3),['73-Ta-181_n-tot']
63,304.993,(68),12.5805,0.98,(62),9.51911,(39),['73-Ta-181_n-tot']
64,221.481,(49),12.3579,1.457,(56),12.3372,(25),['73-Ta-181_n-tot']
65,78.4126,(17),12.1417,0.6471,(69),14.3184,(17),['73-Ta-181_n-tot']
66,90.6627,(21),11.602,1.0776,(61),7.25644,(60),['73-Ta-181_n-tot']
67,312.484,(70),10.8233,0.495,(72),38.818,(5),['73-Ta-181_n-tot']
68,55.3126,(11),9.14102,5.9317,(14),8.13719,(50),['73-Ta-181_n-tot']
69,252.159,(57),6.99088,4.594,(26),8.57198,(48),['73-Ta-181_n-tot']
70,149.019,(33),6.61749,0.554,(71),13.4508,(21),['73-Ta-181_n-tot']
71,247.944,(56),3.84467,0.714,(68),17.8698,(13),['73-Ta-181_n-tot']
