Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1.09648,(2),564.809,0.761853,(26),166.455,(6),none
1,6.78139,(6),341.194,2.98075,(1),5.32053,(42),none
2,0.059375,(0),333.683,0.162945,(48),1344.34,(1),none
3,3.69176,(5),323.548,0.93726,(19),69.4529,(12),none
4,2.59795,(4),232.351,0.75697,(27),89.9999,(10),none
5,0.382889,(1),173.863,0.161195,(49),1659.71,(0),none
6,9.93373,(7),153.744,4.25806,(0),2.11408,(51),none
7,1.83519,(3),145.12,0.28547,(44),401.182,(2),none
8,25.1998,(21),103.116,1.5549,(4),11.8821,(31),none
9,25.4897,(22),102.473,1.5277,(5),10.3642,(34),none
10,26.4593,(23),96.5931,0.8382,(21),151.667,(7),none
11,13.8431,(8),52.1358,1.2604,(9),5.77162,(41),none
12,40.4612,(39),45.8486,1.1081,(15),12.5894,(28),none
13,36.6916,(34),41.8328,1.0859,(18),9.295,(35),none
14,47.0581,(46),40.8702,1.5868,(3),11.6691,(32),none
15,27.4604,(24),36.911,0.4474,(38),46.5427,(15),none
16,40.01,(38),35.5144,1.1258,(14),17.5186,(27),none
17,18.1509,(13),34.3784,0.4555,(37),32.6696,(19),none
18,45.2402,(44),31.8266,0.8739,(20),22.3261,(23),none
19,19.5745,(15),31.6258,1.2653,(8),8.04893,(38),none
20,37.594,(35),31.3381,1.2044,(11),8.09861,(37),none
21,42.085,(40),30.5921,0.5949,(31),29.1977,(20),none
22,43.6199,(42),28.0446,1.0946,(17),12.1747,(29),none
23,43.0617,(41),26.3492,1.1002,(16),34.163,(17),none
24,20.0476,(16),25.0905,1.2814,(7),4.58354,(46),none
25,29.5576,(27),25.023,0.6993,(28),42.8854,(16),none
26,48.0269,(47),20.3779,1.6194,(2),3.26649,(49),none
27,17.2094,(12),18.2082,0.7884,(23),8.95241,(36),none
28,34.9049,(33),15.2018,0.3065,(42),53.2732,(14),none
29,32.9126,(31),14.5714,1.3895,(6),4.70883,(45),none
30,28.0998,(25),13.0298,0.5213,(35),23.1811,(22),none
31,30.0132,(28),12.901,0.6773,(29),120.793,(9),none
32,44.6386,(43),11.5543,0.7622,(25),198.356,(4),none
33,22.3938,(18),11.4471,1.1418,(13),4.48816,(47),none
34,24.3536,(20),10.5104,0.5812,(33),10.8023,(33),none
35,53.4387,(52),9.75998,1.2051,(10),1.93398,(52),none
36,31.3782,(30),8.20971,0.3915,(40),19.0186,(25),none
37,39.36,(37),8.0748,0.3814,(41),19.4073,(24),none
38,30.6341,(29),7.72781,0.2984,(43),33.1602,(18),none
39,21.0334,(17),5.76213,0.6652,(30),4.9243,(44),none
40,46.0129,(45),5.46069,0.1906,(47),85.4417,(11),none
41,49.0057,(48),4.96584,0.4842,(36),6.47169,(40),none
42,50.9449,(50),4.24347,1.1543,(12),2.49342,(50),none
43,50.0539,(49),3.84208,0.8179,(22),24.9287,(21),none
44,34.1614,(32),3.50985,0.4276,(39),11.9378,(30),none
45,15.0254,(9),3.47038,0.7748,(24),3.7201,(48),none
46,28.8874,(26),3.44117,0.112,(51),229.538,(3),none
47,16.2882,(11),2.3264,0.2065,(46),18.7885,(26),none
48,23.5057,(19),1.82509,0.1359,(50),58.5194,(13),none
49,18.6154,(14),1.54932,0.088,(52),180.152,(5),none
50,51.7092,(51),1.21649,0.5877,(32),4.94846,(43),none
51,15.8108,(10),0.721701,0.2587,(45),6.76608,(39),none
52,38.562,(36),0.0,0.5774,(34),145.775,(8),none
