Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1000000.0,(85),8792960.0,2540000.0,(1),5.5863,(85),['77-Ir-193_n-tot']
1,9872870.0,(86),2445390.0,9500000.0,(0),4.88811,(86),['77-Ir-193_n-tot']
2,1.15359,(4),328.09,0.691553,(45),148.654,(6),['77-Ir-193_n-tot']
3,0.0703125,(0),267.111,0.163832,(79),1067.41,(3),['77-Ir-193_n-tot']
4,0.64713,(3),255.308,0.200775,(77),6534.57,(0),['77-Ir-191_n-tot']
5,4.8506,(8),230.152,0.67502,(47),110.535,(10),['77-Ir-191_n-tot']
6,3.69176,(7),190.16,0.93726,(37),57.7058,(29),['77-Ir-193_n-tot']
7,2.61826,(6),132.895,0.75374,(43),69.621,(24),['77-Ir-193_n-tot']
8,26.4593,(31),125.129,1.1615,(27),106.238,(11),['77-Ir-193_n-tot']
9,0.380508,(1),109.513,0.16107,(80),1212.71,(2),['77-Ir-193_n-tot']
10,5.89823,(9),108.353,0.49189,(58),85.8945,(18),['77-Ir-191_n-tot']
11,25.9474,(30),101.557,1.1504,(28),29.254,(63),['77-Ir-191_n-tot']
12,96.0488,(69),97.5398,9.1125,(3),56.5362,(30),['77-Ir-191_n-tot']
13,52.137,(57),94.9328,1.1087,(31),40.2282,(51),['77-Ir-191_n-tot']
14,1.83519,(5),92.9966,0.28952,(69),269.152,(4),['77-Ir-193_n-tot']
15,145.646,(82),65.7761,3.628,(9),47.9357,(46),['77-Ir-191_n-tot']
16,150.95,(83),58.5919,3.015,(13),51.1378,(39),['77-Ir-191_n-tot']
17,75.4847,(64),56.1797,7.6611,(4),76.2017,(22),['77-Ir-191_n-tot']
18,30.6632,(36),54.4343,0.666,(48),50.88,(40),['77-Ir-191_n-tot']
19,8.31702,(11),53.935,0.88462,(39),23.0229,(67),['77-Ir-191_n-tot']
20,53.8272,(58),48.5478,1.2884,(24),19.1189,(71),['77-Ir-193_n-tot']
21,102.015,(71),41.7233,3.041,(12),53.5479,(32),['77-Ir-191_n-tot']
22,11.3807,(14),41.6349,1.7815,(15),13.4648,(79),['77-Ir-193_n-tot']
23,9.59562,(12),38.832,0.51233,(56),40.1438,(52),['77-Ir-191_n-tot']
24,50.0193,(56),38.0815,0.6881,(46),40.0323,(53),['77-Ir-191_n-tot']
25,86.1727,(68),36.9673,4.645,(7),66.8741,(26),['77-Ir-191_n-tot']
26,13.8664,(15),31.5334,1.2562,(25),13.0065,(80),['77-Ir-193_n-tot']
27,7.19958,(10),31.3033,1.33804,(22),19.8763,(69),['77-Ir-191_n-tot']
28,29.429,(35),30.904,0.3209,(66),104.891,(12),['77-Ir-191_n-tot']
29,132.854,(79),30.3229,3.236,(10),49.5842,(43),['77-Ir-191_n-tot']
30,61.6418,(60),30.1459,5.2395,(6),89.729,(15),['77-Ir-191_n-tot']
31,20.4953,(24),29.6705,0.9854,(35),52.7907,(35),['77-Ir-191_n-tot']
32,98.7843,(70),28.5264,1.1067,(32),59.6815,(28),['77-Ir-191_n-tot']
33,24.473,(29),27.521,0.5789,(53),29.362,(61),['77-Ir-191_n-tot']
34,77.6506,(65),27.3401,1.4126,(21),77.1903,(21),['77-Ir-191_n-tot']
35,67.1236,(63),27.2373,1.5657,(18),87.2311,(17),['77-Ir-191_n-tot']
36,45.1635,(51),26.7502,0.7462,(44),33.1978,(56),['77-Ir-191_n-tot']
37,47.0746,(53),26.3815,1.5657,(17),19.9963,(68),['77-Ir-193_n-tot']
38,141.561,(81),26.2058,4.177,(8),48.2254,(44),['77-Ir-191_n-tot']
39,55.711,(59),26.0535,3.1653,(11),92.0426,(14),['77-Ir-191_n-tot']
40,27.4721,(32),25.7771,0.4535,(61),42.9437,(48),['77-Ir-193_n-tot']
41,36.0748,(41),25.3198,0.4968,(57),40.736,(50),['77-Ir-193_n-tot']
42,40.8265,(47),24.9839,0.487,(59),37.0251,(54),['77-Ir-193_n-tot']
43,79.8294,(66),24.6195,0.9658,(36),79.3746,(19),['77-Ir-191_n-tot']
44,113.042,(74),23.1568,6.803,(5),52.056,(37),['77-Ir-191_n-tot']
45,125.784,(76),22.7314,9.14,(2),49.8143,(42),['77-Ir-191_n-tot']
46,33.2414,(38),22.5117,1.4756,(20),15.2315,(75),['77-Ir-193_n-tot']
47,136.557,(80),22.1077,2.376,(14),49.8701,(41),['77-Ir-191_n-tot']
48,42.0999,(48),21.1687,0.5952,(50),31.3629,(60),['77-Ir-193_n-tot']
49,19.789,(23),21.1171,0.5881,(51),26.0941,(64),['77-Ir-191_n-tot']
50,63.9368,(61),19.8323,1.308,(23),89.3884,(16),['77-Ir-191_n-tot']
51,104.188,(72),19.5147,0.579,(52),68.0587,(25),['77-Ir-191_n-tot']
52,37.6588,(43),19.1205,1.1932,(26),16.5193,(74),['77-Ir-193_n-tot']
53,43.6349,(50),18.2156,1.1066,(33),17.7367,(72),['77-Ir-193_n-tot']
54,43.0617,(49),17.3894,1.1151,(30),33.1268,(57),['77-Ir-193_n-tot']
55,21.1409,(25),16.9689,1.0292,(34),13.5401,(78),['77-Ir-191_n-tot']
56,48.0919,(54),13.6712,1.626,(16),12.9058,(81),['77-Ir-193_n-tot']
57,17.2314,(19),11.1308,0.7928,(41),13.7004,(77),['77-Ir-193_n-tot']
58,105.87,(73),10.899,0.83,(40),60.3655,(27),['77-Ir-191_n-tot']
59,115.748,(75),10.7008,1.496,(19),52.846,(33),['77-Ir-191_n-tot']
60,129.02,(78),9.83486,0.933,(38),51.7439,(38),['77-Ir-191_n-tot']
61,34.911,(40),9.40271,0.3027,(68),41.1691,(49),['77-Ir-193_n-tot']
62,81.2957,(67),8.16283,0.6349,(49),78.417,(20),['77-Ir-191_n-tot']
