Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,105.607,(4),2583.33,21.575,(20),16.2862,(1),none
1,13.4375,(0),1705.04,26.9092,(10),0.245416,(15),none
2,85.2068,(3),1064.19,28.903,(7),0.182826,(18),none
3,117.732,(5),850.864,21.419,(21),0.288968,(14),none
4,41.2564,(1),682.703,21.2796,(22),0.175115,(20),none
5,355.574,(14),477.572,15.086,(28),1.39765,(4),none
6,314.368,(12),460.12,23.037,(15),0.356727,(12),none
7,59.9917,(2),428.376,22.4462,(18),0.134006,(25),none
8,152.042,(6),425.278,41.617,(0),0.0516464,(43),none
9,333.623,(13),401.356,19.86,(24),0.500188,(7),none
10,393.679,(15),278.791,31.339,(5),0.12815,(26),none
11,286.417,(11),180.027,13.368,(35),0.304509,(13),none
12,497.187,(21),172.041,9.774,(44),0.941083,(5),none
13,192.402,(7),162.729,35.691,(3),0.0361742,(51),none
14,577.722,(25),138.856,22.964,(16),0.106535,(30),none
15,540.979,(22),130.128,39.35,(2),0.0415308,(48),none
16,487.045,(20),125.646,6.185,(52),1.65182,(3),none
17,661.267,(30),75.0148,30.785,(6),0.0418808,(47),none
18,711.025,(33),74.5319,25.122,(13),0.0599874,(40),none
19,215.4,(8),72.4073,16.213,(27),0.0741933,(33),none
20,886.135,(46),70.7146,4.914,(54),2.4217,(2),none
21,915.774,(47),63.533,25.414,(12),0.0550545,(42),none
22,235.015,(9),63.0613,14.377,(31),0.0851529,(31),none
23,683.21,(31),60.9306,10.103,(43),0.231419,(16),none
24,1057.04,(57),59.3151,26.58,(11),0.0493784,(45),none
25,476.285,(19),59.0194,7.072,(51),0.483915,(9),none
26,451.368,(18),57.86,35.457,(4),0.0584947,(41),none
27,602.698,(26),54.7872,13.578,(33),0.160436,(21),none
28,749.276,(34),50.3513,12.83,(37),0.135473,(24),none
29,821.388,(40),45.5478,26.924,(9),0.0412241,(49),none
30,867.064,(45),43.5347,14.786,(29),0.159177,(22),none
31,255.23,(10),42.2353,40.514,(1),0.0508513,(44),none
32,829.003,(41),40.4693,27.131,(8),0.399075,(11),none
33,832.817,(42),40.3374,18.448,(26),0.0616505,(39),none
34,430.939,(17),38.8069,7.621,(49),0.21844,(17),none
35,412.817,(16),38.4135,24.783,(14),0.0671759,(36),none
36,955.002,(50),37.2038,22.559,(17),0.124663,(27),none
37,624.269,(28),36.3325,14.405,(30),0.0707668,(34),none
38,704.964,(32),34.9347,14.296,(32),0.0693447,(35),none
39,788.765,(38),33.7064,10.844,(40),0.484811,(8),none
40,791.379,(39),29.8865,10.634,(41),0.111442,(29),none
41,632.993,(29),27.8203,13.479,(34),0.0643052,(37),none
42,1031.62,(56),27.6399,20.4,(23),0.0301677,(53),none
43,753.551,(35),25.8543,11.553,(39),0.113228,(28),none
44,946.878,(49),24.5589,7.925,(47),0.138357,(23),none
45,775.845,(36),24.2064,10.202,(42),0.0850569,(32),none
46,924.906,(48),19.2723,19.049,(25),0.0407365,(50),none
47,562.083,(24),18.2677,3.343,(55),0.427921,(10),none
48,863.02,(44),16.8399,9.25,(45),0.176631,(19),none
49,608.759,(27),12.06,2.088,(56),0.829139,(6),none
50,969.154,(51),11.139,22.426,(19),0.0187141,(56),none
51,982.783,(52),7.34455,12.668,(38),0.0222939,(55),none
52,1013.23,(55),4.94082,8.29,(46),0.0242583,(54),none
53,998.492,(53),3.84387,5.542,(53),0.0345401,(52),none
54,852.306,(43),2.37983,0.402,(57),77.1549,(0),none
55,781.266,(37),1.76035,7.119,(50),0.0623699,(38),none
56,547.846,(23),0.780979,13.154,(36),0.0466319,(46),none
57,1006.47,(54),0.194733,7.81,(48),0.0164782,(57),none
