Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,44000000.0,(315),5368080.0,31000000.0,(0),4.1284,(262),none
1,1179040.0,(313),2387370.0,2250000.0,(2),5.24465,(247),none
2,10121900.0,(314),704949.0,4520240.0,(1),4.8382,(251),none
3,660.546,(22),6594.56,42.458,(126),57.9168,(0),none
4,173.957,(7),6160.36,30.11,(179),4.52489,(256),none
5,123.274,(5),4732.56,29.8782,(180),1.68227,(294),none
6,42.084,(1),4510.4,23.9488,(216),4.59905,(255),none
7,140.238,(6),4472.07,13.631,(272),3.69452,(267),none
8,614.115,(20),3501.85,32.008,(165),3.02143,(274),none
9,236.158,(8),3085.64,58.354,(91),7.07937,(219),none
10,657.011,(21),2780.44,42.179,(129),1.47425,(298),none
11,3275.61,(102),2715.36,67.9,(87),1.92725,(289),none
12,877.119,(30),2662.63,26.943,(196),0.783509,(309),none
13,342.788,(11),2662.0,55.523,(95),2.02898,(287),none
14,456.553,(15),2527.51,50.47,(110),2.9924,(275),none
15,685.491,(23),2389.44,25.005,(209),1.4636,(299),none
16,906.573,(31),2250.74,19.594,(236),3.39196,(273),none
17,383.219,(13),2214.35,26.238,(200),1.11744,(303),none
18,713.514,(24),2126.81,22.506,(224),2.66512,(278),none
19,1436.25,(49),1714.53,30.54,(177),14.758,(14),none
20,52.1482,(2),1693.15,6.3561,(300),12.7677,(27),none
21,1776.05,(58),1675.98,77.55,(77),1.68673,(293),none
22,403.038,(14),1671.92,14.064,(269),4.22678,(260),none
23,850.285,(29),1562.48,30.793,(173),1.08284,(304),none
24,946.06,(32),1468.95,34.335,(152),5.12506,(248),none
25,95.0315,(4),1423.62,38.3925,(143),5.28926,(246),none
26,486.992,(16),1421.42,28.689,(186),2.20389,(285),none
27,2155.49,(69),1332.31,36.48,(147),6.37208,(228),none
28,817.377,(28),1215.51,31.375,(169),1.80069,(292),none
29,5336.11,(154),1189.5,353.33,(8),10.6112,(148),none
30,2363.28,(74),1119.86,51.86,(104),2.32696,(283),none
31,3175.51,(99),1092.93,50.7,(107),2.66361,(279),none
32,568.963,(19),1067.92,11.905,(278),0.638929,(312),none
33,1503.37,(51),1054.11,52.75,(103),4.80842,(252),none
34,1814.2,(59),1053.68,33.86,(154),1.38958,(301),none
35,3086.28,(97),1044.73,55.51,(96),0.318967,(315),none
36,4438.83,(136),980.787,50.56,(109),1.41262,(300),none
37,2567.9,(79),933.23,44.33,(120),1.03142,(305),none
38,760.091,(25),921.346,41.367,(132),10.0276,(172),none
39,1935.23,(63),905.61,23.17,(219),3.45291,(270),none
40,3317.94,(103),872.502,34.43,(151),4.68357,(253),none
41,1674.34,(56),826.541,39.37,(139),2.51764,(280),none
42,3108.16,(98),821.567,17.2,(253),0.641808,(311),none
43,508.405,(17),771.099,17.881,(248),4.28985,(259),none
44,2409.45,(75),752.44,40.33,(137),3.67144,(268),none
45,2789.13,(87),748.573,32.16,(164),3.42271,(272),none
46,2107.26,(68),700.857,19.53,(237),0.61716,(313),none
47,3618.05,(111),667.081,55.93,(94),10.3691,(161),none
48,4853.83,(148),662.256,71.1,(85),2.35867,(282),none
49,3553.1,(110),660.626,30.95,(172),2.00982,(288),none
50,2623.79,(81),634.697,27.36,(194),1.84666,(291),none
51,992.313,(34),623.301,32.517,(160),15.6865,(11),none
52,3982.94,(121),599.558,46.11,(119),1.89758,(290),none
53,1969.19,(64),583.945,28.71,(185),7.53272,(213),none
54,2198.89,(70),577.768,38.5,(141),6.49705,(226),none
55,1393.37,(48),571.12,6.69,(299),4.19183,(261),none
56,358.88,(12),535.507,12.395,(276),5.33125,(244),none
57,1880.42,(60),527.053,59.3,(89),4.66634,(254),none
58,2909.2,(92),492.131,17.23,(252),1.02766,(306),none
59,1906.46,(62),465.305,9.92,(287),2.30228,(284),none
60,2941.12,(93),462.049,23.66,(217),7.20403,(217),none
61,563.809,(18),406.87,52.83,(102),1.00339,(307),none
62,954.996,(33),406.74,6.975,(297),3.83868,(264),none
63,286.83,(10),391.657,19.745,(234),5.94961,(234),none
64,2888.24,(91),391.588,28.82,(183),1.5714,(296),none
65,3470.06,(108),390.458,31.33,(170),10.1854,(165),none
66,2592.17,(80),383.17,17.72,(249),5.54812,(240),none
67,19.4678,(0),376.014,21.2323,(228),9.05538,(189),none
68,265.084,(9),374.889,27.429,(193),7.68767,(210),none
69,2733.45,(85),361.361,51.78,(105),3.97363,(263),none
70,2492.82,(76),360.731,76.79,(79),9.29443,(184),none
71,4052.02,(123),360.512,49.98,(112),11.5295,(55),none
72,2043.83,(66),357.549,47.15,(117),8.82078,(192),none
73,1991.46,(65),324.64,18.4,(244),4.87784,(250),none
74,1215.14,(42),322.356,22.68,(221),7.89022,(204),none
75,3925.09,(119),316.046,24.76,(211),2.86149,(277),none
76,4691.55,(144),311.137,48.51,(114),8.3536,(199),none
77,4967.75,(152),311.117,43.63,(124),6.95869,(222),none
78,2750.27,(86),310.397,13.45,(273),1.37625,(302),none
79,4888.74,(150),306.36,18.19,(246),2.16157,(286),none
80,57.3582,(3),293.571,3.9388,(311),15.4553,(12),none
81,3517.7,(109),293.498,41.8,(131),8.7819,(193),none
82,5321.28,(153),287.302,352.43,(9),13.0936,(20),none
83,30818.1,(294),285.659,256.8,(15),10.8828,(124),none
84,6890.52,(164),285.574,483.93,(3),12.2294,(35),none
