Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,16.25,(0),1999.89,22.4867,(21),0.559295,(9),['80-Hg-199_n-g']
1,966.145,(21),393.546,412.274,(5),0.573396,(8),['80-Hg-199_n-g']
2,2539.67,(24),369.253,952.25,(2),0.54702,(10),['80-Hg-202_n-g']
3,197.343,(8),340.915,30.904,(17),0.459801,(11),['80-Hg-199_n-g']
4,1588.94,(23),337.221,350.0,(6),0.769405,(6),['80-Hg-202_n-g']
5,142.448,(7),327.582,41.207,(13),0.248037,(17),['80-Hg-199_n-g']
6,1202.07,(22),275.796,415.278,(4),0.935917,(4),['80-Hg-200_n-g']
7,26.0666,(1),240.329,9.2529,(23),1.13656,(2),['80-Hg-199_n-g']
8,3870.62,(25),226.483,1317.2,(1),0.407647,(12),['80-Hg-202_n-g']
9,40.624,(2),197.086,8.1937,(24),0.96541,(3),['80-Hg-199_n-g']
10,628.52,(18),143.489,112.115,(8),0.17108,(21),['80-Hg-201_n-g']
11,834.713,(20),136.768,63.118,(11),0.693721,(7),['80-Hg-199_n-g']
12,4511.58,(26),135.476,871.19,(3),0.362493,(13),['80-Hg-202_n-g']
13,338.135,(13),129.934,25.516,(19),0.308562,(14),['80-Hg-199_n-g']
14,7443.22,(27),128.792,2586.22,(0),0.303854,(15),['80-Hg-200_n-g']
15,751.386,(19),126.607,114.244,(7),0.15223,(24),['80-Hg-199_n-g']
16,245.066,(9),112.638,49.785,(12),0.119742,(26),['80-Hg-201_n-g']
17,458.45,(16),108.081,38.886,(14),0.27556,(16),['80-Hg-201_n-g']
18,274.069,(10),99.8764,34.966,(15),0.189761,(20),['80-Hg-198_n-g']
19,306.933,(11),85.1184,7.459,(25),3.81992,(1),['80-Hg-198_n-g']
20,528.949,(17),81.4916,63.659,(10),0.22436,(18),['80-Hg-201_n-g']
21,425.837,(15),70.35,23.563,(20),0.200876,(19),['80-Hg-201_n-g']
22,387.5,(14),52.0471,70.161,(9),0.0722513,(27),['80-Hg-198_n-g']
23,104.981,(6),49.6075,33.5866,(16),0.122661,(25),['80-Hg-199_n-g']
24,80.1823,(4),46.7052,17.0897,(22),0.159977,(22),['80-Hg-198_n-g']
25,59.8073,(3),40.548,25.7489,(18),0.158217,(23),['80-Hg-201_n-g']
26,92.2184,(5),15.4898,2.6295,(26),0.869863,(5),['80-Hg-198_n-g']
27,313.472,(12),3.22241,0.503,(27),108.149,(0),['80-Hg-201_n-g']
