Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,21.4501,(16),86598.6,82245.4,(0),4.84001,(0),none
1,1.68403,(14),0.222711,0.750017,(2),1.066,(16),none
2,0.832426,(9),0.140187,0.256267,(5),1.27666,(14),none
3,0.919666,(10),0.122331,0.245242,(6),1.49633,(10),none
4,1.32016,(13),0.0343322,0.302676,(3),2.28,(3),none
5,0.791523,(8),0.0224519,0.147097,(7),1.57882,(8),none
6,1.1433,(12),0.0202011,0.290105,(4),1.79496,(4),none
7,1.06824,(11),0.00827858,0.0241521,(9),2.33456,(2),none
8,0.722427,(5),0.00563581,0.0172379,(11),1.20576,(15),none
9,0.763154,(7),0.00249652,0.0300938,(8),1.66036,(6),none
10,0.688864,(3),0.000950236,0.0118353,(13),1.56673,(9),none
11,0.523329,(0),0.000505208,0.0134707,(12),1.3317,(13),none
12,0.557569,(1),0.000400876,0.0180952,(10),1.33336,(12),none
13,0.708423,(4),0.000234476,0.00684501,(15),1.63732,(7),none
14,0.615124,(2),0.000177529,0.00801538,(14),1.44767,(11),none
15,0.741513,(6),0.00012922,0.00427803,(16),1.71,(5),none
16,2.99775,(15),0.0,9.17571,(1),3.46188,(1),none
