Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,40.2225,(80),2.24646,66.6193,(0),0.0808879,(2),none
1,15.186,(77),0.206134,2.15797,(1),0.0140645,(5),none
2,22.9725,(79),0.0583972,1.12263,(4),0.23792,(0),none
3,19.3793,(78),0.0405532,1.30201,(2),0.217636,(1),none
4,14.5784,(76),0.033494,0.48044,(8),0.00956428,(8),none
5,13.7485,(75),0.0263663,0.85386,(5),0.00616474,(9),none
6,12.3708,(73),0.0171837,1.20806,(3),0.00361557,(13),none
7,11.1258,(71),0.0160087,0.584133,(6),0.00252663,(23),none
8,11.6556,(72),0.0123701,0.113868,(21),0.0136894,(6),none
9,9.35029,(65),0.00795914,0.255412,(15),0.003075,(19),none
10,13.0861,(74),0.00683144,0.582391,(7),0.00447097,(11),none
11,8.93248,(63),0.00573426,0.375037,(11),0.00106195,(41),none
12,8.56529,(62),0.00423659,0.322331,(13),0.000716435,(51),none
13,10.9084,(70),0.0040209,0.418221,(10),0.00248284,(24),none
14,9.24742,(64),0.00337922,0.0738603,(32),0.002566,(22),none
15,10.5726,(69),0.00255038,0.261231,(14),0.00343117,(16),none
16,9.70836,(66),0.0022245,0.0496633,(38),0.0232509,(3),none
17,9.79976,(68),0.00210651,0.15406,(19),0.0110181,(7),none
18,6.58408,(54),0.00168783,0.108719,(23),0.00167741,(31),none
19,7.96854,(60),0.00156614,0.0698689,(35),0.000887319,(46),none
20,8.19459,(61),0.00156424,0.421577,(9),0.000562906,(59),none
21,5.09716,(41),0.00152452,0.0928632,(27),0.00131604,(33),none
22,6.47085,(53),0.00130708,0.077043,(30),0.00357947,(15),none
23,7.22242,(57),0.00124015,0.1583,(18),0.000618607,(55),none
24,9.73361,(67),0.00106196,0.0124568,(68),0.0229644,(4),none
25,6.20319,(50),0.00104687,0.111818,(22),0.00165671,(32),none
26,7.49245,(58),0.0010298,0.159297,(17),0.000566857,(58),none
27,7.79731,(59),0.00102277,0.222493,(16),0.000492602,(63),none
28,6.90194,(56),0.000885029,0.365196,(12),0.000534136,(61),none
29,5.29186,(44),0.000839732,0.0853366,(29),0.001078,(40),none
30,5.17144,(42),0.000828797,0.0865227,(28),0.000709185,(52),none
31,6.32563,(51),0.000718284,0.0957225,(26),0.0020265,(28),none
32,5.42952,(45),0.000614311,0.1166,(20),0.00290305,(20),none
33,6.01049,(49),0.000562033,0.0478751,(39),0.00221207,(25),none
34,6.39243,(52),0.000459586,0.0277693,(52),0.00336857,(18),none
35,4.773,(36),0.000409865,0.100242,(25),0.000554789,(60),none
36,4.94039,(40),0.000392794,0.0754037,(31),0.000577647,(56),none
37,5.24757,(43),0.000371099,0.0362653,(45),0.00109724,(39),none
