Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,49.9841,(11),3.69979,0.129433,(3),217.616,(0),none
1,10.1482,(10),1.30876,0.204471,(0),89.561,(3),none
2,7.42652,(5),0.125679,0.00514991,(4),98.0118,(2),none
3,7.90203,(6),0.0578836,0.00282222,(6),106.785,(1),none
4,5.96419,(2),0.0452404,0.00206562,(8),87.9562,(4),none
5,5.64202,(1),0.0421951,0.0032096,(5),58.9184,(8),none
6,5.29162,(0),0.0361464,0.00262791,(7),50.875,(11),none
7,6.96773,(4),0.0221799,0.00138202,(9),80.1806,(6),none
8,8.84889,(7),0.00618861,0.00066259,(10),78.7693,(7),none
9,6.73088,(3),0.0042188,0.000609709,(11),51.3997,(10),none
10,10.0222,(8),0.0,0.202804,(1),55.5488,(9),none
11,10.0946,(9),0.0,0.155126,(2),80.3808,(5),none
