Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,33.6669,(57),83.8639,0.481589,(1),634.576,(0),none
1,111.806,(58),31.6524,1.1883,(0),114.611,(7),none
2,27.0863,(56),21.6938,0.295547,(2),250.771,(1),none
3,19.0716,(52),14.3612,0.204291,(5),214.069,(3),none
4,25.32,(55),11.5526,0.242282,(3),212.905,(4),none
5,21.1198,(54),10.9285,0.15082,(6),250.342,(2),none
6,19.4233,(53),4.88909,0.107575,(8),128.757,(5),none
7,14.734,(48),4.6541,0.105063,(9),125.957,(6),none
8,11.988,(40),3.14627,0.109652,(7),87.9165,(9),none
9,14.2232,(46),2.40943,0.083716,(10),114.331,(8),none
10,13.35,(45),1.61869,0.080589,(11),65.6623,(13),none
11,12.5955,(42),1.60179,0.209252,(4),58.3412,(15),none
12,10.8859,(38),0.967551,0.0700226,(13),45.7923,(19),none
13,9.06854,(30),0.892199,0.0538434,(15),49.3824,(17),none
14,8.51272,(29),0.675522,0.07401,(12),29.4837,(28),none
15,10.9895,(39),0.644744,0.0263556,(23),68.3419,(12),none
16,10.6691,(36),0.607386,0.0478757,(16),72.9634,(10),none
17,17.1165,(50),0.523412,0.0328109,(19),64.18,(14),none
18,4.82647,(0),0.446814,0.0640487,(14),20.1732,(57),none
19,8.16374,(26),0.266484,0.0321685,(20),27.0425,(34),none
20,6.54061,(10),0.264467,0.0302726,(21),26.8287,(36),none
21,12.7316,(44),0.26372,0.0390774,(17),72.9595,(11),none
22,9.16088,(31),0.248195,0.0238511,(26),30.1593,(26),none
23,15.3974,(49),0.245268,0.0237909,(27),40.9615,(23),none
24,14.5043,(47),0.219208,0.0173915,(32),49.0908,(18),none
25,10.5304,(35),0.19098,0.0218658,(28),41.101,(22),none
26,9.27285,(33),0.166964,0.0190909,(31),31.4632,(24),none
27,8.37364,(27),0.166819,0.0202654,(30),28.0184,(32),none
28,7.33077,(18),0.164299,0.0244275,(25),21.4176,(49),none
29,5.774,(1),0.149018,0.0212308,(29),21.4175,(50),none
30,12.1872,(41),0.144433,0.0132121,(40),42.5342,(21),none
31,8.10201,(25),0.13682,0.0172668,(33),28.4447,(31),none
32,18.5145,(51),0.130868,0.0282215,(22),28.8009,(30),none
33,7.55175,(19),0.130659,0.0157681,(37),26.4418,(37),none
34,10.6883,(37),0.119875,0.0262558,(24),44.4136,(20),none
35,7.91945,(23),0.117055,0.0167595,(35),24.7105,(41),none
36,6.43172,(8),0.104121,0.0133793,(39),27.0185,(35),none
37,6.28774,(7),0.092758,0.0120272,(42),23.8857,(43),none
38,6.49787,(9),0.0894164,0.0172138,(34),20.6153,(54),none
39,8.06396,(24),0.0884038,0.0122782,(41),25.7048,(38),none
40,6.04342,(5),0.0867685,0.0138727,(38),20.2842,(56),none
41,12.6494,(43),0.0857816,0.0349271,(18),58.0163,(16),none
42,7.77525,(20),0.0808496,0.0108419,(44),23.8948,(42),none
43,7.27132,(17),0.0726284,0.00718879,(53),29.7404,(27),none
44,7.84323,(22),0.0719901,0.00998592,(47),23.6938,(45),none
45,5.84673,(2),0.0706785,0.0163938,(36),20.8732,(52),none
46,7.14173,(15),0.0683727,0.0111539,(43),20.4064,(55),none
47,6.67886,(11),0.0670889,0.00761715,(52),27.3798,(33),none
48,9.2419,(32),0.0587135,0.00868295,(49),24.9007,(40),none
49,6.27021,(6),0.0565166,0.00816495,(50),30.537,(25),none
50,7.24826,(16),0.0439009,0.00814454,(51),21.0119,(51),none
51,9.41284,(34),0.0381278,0.00711967,(54),20.063,(58),none
52,6.85825,(13),0.0358654,0.00511479,(56),23.7699,(44),none
53,8.4102,(28),0.0342034,0.00557394,(55),22.6927,(46),none
54,7.81121,(21),0.0274421,0.00456558,(57),20.7608,(53),none
55,5.90702,(4),0.0271443,0.0102088,(46),22.626,(47),none
56,7.05421,(14),0.0212535,0.00407094,(58),28.8235,(29),none
57,6.79092,(12),0.0199345,0.0108405,(45),25.1698,(39),none
58,5.90413,(3),0.0129108,0.00925854,(48),22.2367,(48),none
