Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,114.504,(903),163223.0,141326.0,(0),6.42719,(168),none
1,71.8141,(901),255.249,13.6255,(2),4.56506,(417),none
2,40.4131,(896),91.5204,7.84054,(3),3.22863,(774),none
3,66.739,(900),43.4089,3.68267,(7),5.86921,(209),none
4,23.3932,(877),15.6656,1.06033,(12),3.75014,(648),none
5,36.063,(895),13.4989,1.02698,(14),11.1468,(42),none
6,23.5488,(878),12.42,1.05185,(13),3.16658,(791),none
7,33.1128,(892),11.7921,0.515124,(24),9.5525,(64),none
8,34.3286,(893),11.6526,1.31869,(9),5.05001,(336),none
9,22.3356,(876),9.74988,0.694294,(19),4.28592,(492),none
10,31.7536,(891),6.63595,1.12827,(11),6.08743,(194),none
11,24.5751,(879),6.56491,0.830474,(15),3.32921,(756),none
12,18.6227,(866),4.99992,0.345098,(30),9.7553,(60),none
13,84.9163,(902),4.8668,26.3847,(1),5.67717,(233),none
14,17.845,(862),3.40048,0.491685,(26),2.77732,(858),none
15,19.6047,(869),2.99171,0.603374,(20),0.333648,(903),none
16,19.2715,(867),2.79865,0.237478,(48),6.39069,(169),none
17,25.6738,(883),2.45168,1.25088,(10),2.47361,(875),none
18,16.4377,(854),2.0185,0.334948,(31),3.87526,(619),none
19,17.2386,(860),2.00928,0.416225,(28),4.79023,(375),none
20,16.4551,(855),1.87665,0.334308,(32),3.91288,(610),none
21,21.6343,(875),1.78003,0.547637,(22),3.84201,(624),none
22,12.203,(827),1.7162,0.36409,(29),5.04405,(339),none
23,59.8921,(899),1.67596,6.47426,(5),5.08469,(327),none
24,53.9515,(898),1.46827,5.6717,(6),4.63595,(404),none
25,46.0024,(897),1.4231,7.63529,(4),3.88016,(618),none
26,20.5189,(872),1.35483,0.521994,(23),3.04488,(814),none
27,17.7336,(861),1.19315,0.104441,(85),12.9916,(28),none
28,14.5398,(845),0.939567,0.170317,(62),7.98588,(92),none
29,13.5156,(838),0.931844,0.276127,(35),4.13686,(537),none
30,27.4512,(884),0.770052,0.276151,(34),3.42679,(720),none
31,21.3091,(873),0.736457,0.217181,(54),3.07524,(806),none
32,16.0851,(853),0.640202,0.155427,(64),8.53882,(79),none
33,16.7079,(856),0.632805,0.224524,(53),6.22024,(181),none
34,13.84,(839),0.601252,0.224994,(52),4.05544,(561),none
35,11.2857,(814),0.577426,0.165385,(63),2.53687,(870),none
36,15.2061,(851),0.550022,0.227796,(50),3.05788,(810),none
37,5.20036,(461),0.422753,0.0593844,(134),3.16214,(794),none
