Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,266.056,(48),17264200.0,153435.0,(0),4.04276,(20),none
1,121.642,(47),9227.11,44.6887,(1),2.82672,(36),none
2,96.6413,(45),831.975,17.3561,(2),1.1061,(48),none
3,89.7154,(43),554.86,3.83422,(9),13.6803,(5),none
4,115.591,(46),534.479,4.73118,(6),7.07604,(6),none
5,78.8877,(41),442.825,6.68356,(4),4.17665,(19),none
6,84.5014,(42),226.083,4.03785,(8),6.62775,(7),none
7,94.1411,(44),206.874,1.24337,(27),26.1303,(2),none
8,74.6681,(40),110.557,1.55192,(22),16.5089,(3),none
9,26.768,(13),85.5904,4.47554,(7),1.5221,(46),none
10,46.954,(28),82.2845,1.69403,(18),2.98404,(32),none
11,48.8387,(29),78.7711,1.32855,(26),4.88693,(15),none
12,50.6079,(30),76.2123,1.93028,(16),2.05101,(42),none
13,43.549,(26),72.2192,2.56144,(12),2.4199,(40),none
14,72.1395,(39),66.5442,2.43264,(13),5.48818,(12),none
15,35.778,(20),66.1476,1.95218,(15),1.65687,(44),none
16,41.9849,(25),64.412,1.55842,(21),2.66254,(38),none
17,65.7776,(38),61.7407,5.80708,(5),6.46361,(8),none
18,40.0817,(24),60.2407,1.64641,(19),3.29836,(30),none
19,52.9062,(32),46.2438,2.95403,(11),2.95076,(34),none
20,38.4885,(23),38.4732,1.39471,(25),1.60456,(45),none
21,34.3483,(17),32.6162,1.00887,(28),2.8373,(35),none
22,31.339,(14),31.0216,1.39668,(24),3.55957,(26),none
23,46.0752,(27),27.8889,0.654473,(37),5.69099,(11),none
24,37.9795,(21),22.9071,0.54281,(40),4.47573,(17),none
25,33.6115,(16),19.3089,0.781408,(32),4.58913,(16),none
26,52.2298,(31),19.0527,0.662285,(36),2.48213,(39),none
27,19.1933,(2),18.903,1.61311,(20),2.13541,(41),none
28,32.7668,(15),18.7581,0.694796,(35),4.21034,(18),none
29,56.0436,(33),16.7549,2.04943,(14),3.62644,(24),none
30,24.3959,(10),14.0768,0.952522,(29),3.32531,(29),none
31,23.5252,(9),12.2413,0.84778,(30),1.8037,(43),none
32,22.3782,(6),12.1932,0.729429,(33),2.98103,(33),none
33,26.1412,(12),11.9469,0.521887,(41),4.95735,(14),none
34,25.4805,(11),11.0125,0.553678,(39),3.72763,(23),none
35,21.5257,(5),9.66056,0.785614,(31),3.1511,(31),none
36,58.28,(34),9.23702,1.41172,(23),3.94511,(21),none
37,35.504,(19),8.78257,0.168095,(45),1.423,(47),none
38,18.4457,(1),8.62819,0.724015,(34),3.87935,(22),none
39,20.92,(3),4.97912,0.410668,(42),3.46163,(27),none
40,23.2324,(8),4.97178,0.30392,(43),3.62335,(25),none
41,62.6591,(37),3.56216,3.02295,(10),5.8796,(9),none
42,21.3063,(4),2.8316,0.189033,(44),2.67419,(37),none
43,35.4037,(18),1.93729,0.0299454,(46),97.1953,(0),none
44,59.9702,(35),1.61631,1.75614,(17),5.16228,(13),none
45,38.3784,(22),1.12106,0.0169049,(48),28.2427,(1),none
46,61.9114,(36),0.672906,0.561359,(38),5.70162,(10),none
47,23.1299,(7),0.462193,0.017284,(47),13.7144,(4),none
48,1.1433,(0),0.0,17.1673,(3),3.38077,(28),none
