Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,391.624,(349),3174250.0,135374.0,(0),4.59448,(308),none
1,246.679,(348),2631.72,46.2681,(2),5.62125,(257),none
2,178.326,(347),2601.66,58.704,(1),3.65527,(335),none
3,153.79,(346),1439.45,20.7701,(3),5.52866,(259),none
4,135.61,(345),316.778,9.2848,(5),6.74446,(177),none
5,114.766,(340),182.916,5.9891,(8),4.88332,(297),none
6,106.384,(339),120.124,2.9856,(11),8.27955,(80),none
7,97.1757,(337),105.002,3.26115,(9),4.92936,(296),none
8,125.653,(344),75.9181,10.6531,(4),5.04415,(291),none
9,92.6505,(336),62.2641,2.11421,(16),8.37912,(71),none
10,99.9054,(338),36.5162,6.54852,(6),4.73223,(302),none
11,66.2364,(319),36.2573,0.857774,(24),6.90052,(171),none
12,63.8164,(318),34.0764,1.57124,(18),7.84413,(110),none
13,69.4735,(322),24.1572,1.22308,(21),5.40796,(263),none
14,70.8148,(323),20.9886,0.612927,(33),8.28455,(79),none
15,47.8443,(288),17.25,0.734187,(28),9.45666,(43),none
16,50.4896,(295),15.9295,0.815587,(26),4.66862,(304),none
17,79.0266,(331),15.2025,6.24332,(7),4.30723,(322),none
18,67.3805,(321),14.2,1.59711,(17),3.26878,(340),none
19,86.0988,(332),14.1746,2.5009,(12),4.82448,(299),none
20,62.303,(317),12.9476,1.55078,(19),5.4404,(262),none
21,48.2054,(289),11.7563,0.751714,(27),15.1437,(16),none
22,43.6389,(273),8.18078,0.579371,(35),3.24716,(341),none
23,119.386,(342),8.05382,3.06957,(10),5.20536,(278),none
24,39.3387,(255),6.8943,0.331962,(59),6.38116,(208),none
25,122.529,(343),5.80544,0.451864,(44),14.0552,(20),none
26,43.2244,(272),5.75794,0.132527,(123),33.8728,(5),none
27,77.578,(329),4.99192,0.909454,(23),4.46187,(313),none
28,47.1372,(287),4.96659,0.250039,(72),19.1563,(12),none
29,42.8158,(271),4.65326,0.222919,(78),18.0037,(15),none
30,60.7909,(315),4.43449,0.476335,(43),5.16447,(281),none
31,61.1394,(316),4.353,0.725219,(29),5.73799,(250),none
32,66.9498,(320),4.03036,0.256455,(70),6.16345,(229),none
33,51.3272,(296),3.84119,0.373703,(49),2.00665,(349),none
34,48.4365,(290),3.81714,0.223407,(77),27.7614,(8),none
35,49.1646,(292),3.47367,0.177561,(94),8.80702,(55),none
36,59.9898,(314),3.16704,0.327073,(62),8.69974,(59),none
37,25.9589,(156),3.16596,0.203772,(86),4.77931,(301),none
38,37.2735,(247),3.01465,0.361392,(51),6.25157,(223),none
39,41.9934,(269),2.93936,0.482086,(42),9.14807,(48),none
40,33.4393,(226),2.9318,0.330486,(60),5.86005,(243),none
41,71.5672,(324),2.705,0.135983,(121),14.4554,(19),none
42,49.735,(294),2.68617,0.272291,(67),4.04245,(328),none
43,39.855,(257),2.65337,0.208074,(83),5.19444,(280),none
44,54.8271,(305),2.60678,0.712477,(30),4.81411,(300),none
45,117.087,(341),2.21726,1.29216,(20),5.27675,(273),none
46,38.9679,(254),2.14494,0.159665,(103),15.0115,(17),none
47,42.6298,(270),1.97964,0.16563,(98),11.4861,(31),none
48,55.8711,(306),1.56593,0.339262,(57),4.21961,(324),none
49,35.1383,(236),1.49385,0.358568,(52),5.09322,(287),none
50,48.8562,(291),1.44576,0.0521157,(222),189.725,(0),none
51,35.9282,(241),1.30529,0.264393,(69),8.37469,(72),none
52,35.7866,(240),1.27502,0.266009,(68),6.45145,(198),none
53,28.3917,(184),1.26021,0.18287,(91),4.19617,(325),none
54,40.3873,(260),1.18026,0.248781,(73),5.14245,(282),none
55,76.6863,(328),1.16999,0.417001,(46),5.11503,(284),none
56,37.7245,(248),1.13327,0.215007,(81),5.62418,(256),none
57,30.2357,(202),1.116,0.170555,(96),5.09174,(288),none
58,58.2946,(310),1.0101,0.498208,(41),5.34252,(269),none
59,36.2078,(243),0.984033,0.431553,(45),5.083,(289),none
60,36.7213,(245),0.947795,0.285785,(65),7.23315,(146),none
61,53.9095,(304),0.932629,0.820557,(25),4.04895,(327),none
62,88.5948,(333),0.913438,2.26411,(15),5.52554,(260),none
63,44.6221,(277),0.909966,0.139345,(118),4.41888,(315),none
64,34.8832,(235),0.901285,0.159538,(104),5.71684,(251),none
65,56.8795,(308),0.876529,0.591226,(34),4.61183,(306),none
66,37.0906,(246),0.860803,0.0765541,(171),8.95435,(53),none
67,31.3681,(214),0.808302,0.072579,(177),11.6018,(30),none
68,24.9208,(144),0.798028,0.163628,(99),4.70916,(303),none
69,32.7223,(222),0.774265,0.389076,(48),5.6807,(252),none
70,29.7085,(199),0.742885,0.144246,(113),8.02407,(100),none
71,31.5776,(216),0.727668,0.207617,(84),2.88607,(345),none
72,29.9776,(201),0.708224,0.128855,(126),5.82328,(245),none
73,44.3509,(276),0.668627,0.0723377,(178),9.73919,(40),none
74,33.1766,(223),0.635932,0.106655,(140),7.19029,(148),none
75,27.6072,(176),0.539533,0.114582,(135),4.02185,(329),none
76,28.2258,(183),0.538748,0.0857216,(159),8.24999,(82),none
77,44.0775,(274),0.530996,0.11963,(131),6.54237,(190),none
78,29.2755,(194),0.525905,0.0924887,(150),13.5295,(22),none
