Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,124.903,(43),4892.73,6799.0,(0),0.00190754,(14),none
1,56.6817,(42),36.2158,23.7203,(1),0.00174462,(15),none
2,40.3771,(40),7.48859,8.43536,(3),0.00511992,(5),none
3,32.3356,(39),4.08398,3.40163,(5),0.00788664,(3),none
4,47.7065,(41),3.45791,4.13535,(4),0.00506527,(6),none
5,24.9744,(38),2.90742,8.49215,(2),0.000346901,(33),none
6,19.13,(35),0.451263,1.87327,(8),0.000384064,(29),none
7,21.0712,(36),0.345509,1.9279,(7),0.000350612,(32),none
8,17.4981,(34),0.343673,2.14439,(6),0.000667136,(25),none
9,22.219,(37),0.148236,0.655257,(12),0.00168614,(16),none
10,13.9089,(32),0.130409,1.86222,(9),0.000266967,(37),none
11,13.4036,(31),0.049685,0.781862,(11),0.000318925,(35),none
12,15.5421,(33),0.0495083,0.200453,(21),0.0182107,(0),none
13,11.6836,(29),0.0267157,1.36371,(10),0.000105395,(41),none
14,12.6243,(30),0.0227855,0.199891,(22),0.00237609,(13),none
15,9.89466,(25),0.0200027,0.500278,(14),0.000357736,(31),none
16,10.4153,(26),0.0152002,0.337762,(19),0.0009665,(21),none
17,10.9624,(28),0.00878869,0.560294,(13),0.00019729,(40),none
18,9.50602,(24),0.00872878,0.499807,(15),0.000447737,(27),none
19,7.63434,(16),0.00504973,0.404017,(17),0.000100418,(42),none
20,8.03295,(18),0.00423875,0.230266,(20),0.000337688,(34),none
21,8.59197,(21),0.00423618,0.458335,(16),0.000233256,(38),none
22,7.06054,(13),0.00337263,0.40171,(18),6.90068e-05,(43),none
23,8.94127,(23),0.00334447,0.040657,(36),0.00466303,(7),none
24,8.30561,(20),0.00320912,0.189963,(23),0.000374111,(30),none
25,7.30055,(14),0.00258634,0.1184,(25),0.00029941,(36),none
26,6.22909,(8),0.00242247,0.0839983,(29),0.00326952,(10),none
27,8.90088,(22),0.00191656,0.0345901,(39),0.00305201,(12),none
28,7.88372,(17),0.00186957,0.0216483,(42),0.00888965,(2),none
29,6.76741,(12),0.00181949,0.149336,(24),0.000215882,(39),none
30,6.13903,(7),0.00169629,0.116576,(26),0.000591816,(26),none
31,6.3502,(9),0.00124672,0.0890679,(28),0.000963396,(22),none
32,8.18039,(19),0.00122189,0.0382058,(37),0.00417405,(8),none
33,6.56011,(11),0.00109808,0.0431878,(35),0.00323347,(11),none
34,5.74692,(3),0.00102171,0.115681,(27),0.000414124,(28),none
35,5.82302,(4),0.000950093,0.0478651,(34),0.00108587,(20),none
36,10.5917,(27),0.000883644,0.0254627,(41),0.0142574,(1),none
37,6.45942,(10),0.000720989,0.0820982,(30),0.00145751,(18),none
38,7.43586,(15),0.000674341,0.0581202,(31),0.000934651,(23),none
39,5.64517,(2),0.000517883,0.0361855,(38),0.00344106,(9),none
40,5.60257,(1),0.000466503,0.0307795,(40),0.00166614,(17),none
41,5.93694,(5),0.000441417,0.0497466,(32),0.00117161,(19),none
42,5.98667,(6),0.000315014,0.0483386,(33),0.000902821,(24),none
43,5.58131,(0),0.000247163,0.0100927,(43),0.00617674,(4),none
