Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,345.943,(62),4000.82,10304.8,(0),0.0781448,(24),none
1,203.64,(61),1272.86,61.3958,(1),0.171901,(14),none
2,140.874,(60),521.054,12.8926,(3),0.526401,(9),none
3,85.4683,(55),57.6954,11.3267,(4),0.0337918,(47),none
4,68.7293,(51),38.3796,3.166,(10),3.79924,(4),none
5,114.973,(59),24.6909,29.4503,(2),0.0357463,(45),none
6,56.4063,(45),15.461,3.5143,(9),0.0401545,(38),none
7,94.7622,(56),7.65284,8.37879,(6),0.0200524,(60),none
8,66.4105,(50),7.19599,3.1317,(11),0.0273615,(51),none
9,71.252,(52),6.34524,3.13095,(12),0.0455287,(35),none
10,60.033,(46),4.6568,1.90496,(17),0.0340327,(46),none
11,51.8681,(42),4.61244,3.73811,(8),0.023497,(57),none
12,46.9148,(41),4.38976,2.05467,(16),0.0378947,(42),none
13,72.952,(53),3.82233,3.90251,(7),0.0667466,(27),none
14,76.7298,(54),3.78142,0.208496,(46),13.0719,(0),none
15,64.5398,(49),2.6404,2.3946,(13),0.0237421,(55),none
16,100.973,(57),2.62226,9.2624,(5),0.0200979,(59),none
17,108.224,(58),1.96729,0.719805,(23),0.523782,(10),none
18,45.5283,(40),1.84923,1.85987,(18),0.0172662,(61),none
19,38.0401,(28),1.41483,1.06131,(20),0.0249336,(52),none
20,61.1392,(47),1.34788,2.26757,(15),0.0222959,(58),none
21,62.8098,(48),1.08929,0.239406,(43),7.44329,(2),none
22,52.9221,(43),0.90576,1.45823,(19),0.0362837,(44),none
23,40.3135,(31),0.872903,0.514804,(26),0.115061,(18),none
24,42.24,(35),0.799263,0.501897,(28),0.0465724,(33),none
25,39.1868,(30),0.660247,0.556751,(25),0.0827586,(21),none
26,54.3815,(44),0.510688,0.0566509,(61),10.7323,(1),none
27,41.8056,(34),0.493636,0.877664,(21),0.0248144,(53),none
28,37.0185,(27),0.423504,0.356522,(32),0.0502702,(31),none
29,35.9818,(24),0.421675,0.315495,(35),0.0637145,(29),none
30,35.0897,(21),0.410941,0.28332,(38),0.0681627,(25),none
31,42.9059,(36),0.393204,0.14711,(51),0.323452,(13),none
32,44.2345,(39),0.366948,0.23936,(44),0.0919264,(19),none
33,38.86,(29),0.324388,0.505069,(27),0.043871,(36),none
34,34.2186,(18),0.274549,0.251133,(42),0.0651168,(28),none
35,32.6598,(12),0.219112,0.204562,(47),0.0822063,(22),none
36,36.3971,(25),0.200505,0.0657793,(58),1.00176,(5),none
37,35.4261,(22),0.180792,0.0672387,(56),0.616917,(8),none
38,31.9385,(9),0.173762,0.173156,(48),0.156062,(15),none
39,31.264,(6),0.1531,0.158552,(49),0.152807,(16),none
40,33.4195,(15),0.147722,0.232682,(45),0.0317457,(48),none
41,40.7794,(32),0.14405,0.626425,(24),0.0456163,(34),none
42,32.9256,(13),0.132438,0.0685362,(55),0.415602,(12),none
43,41.139,(33),0.128851,0.0327666,(62),3.84972,(3),none
44,32.4914,(11),0.108416,0.307939,(36),0.05778,(30),none
45,34.5343,(19),0.104992,0.0670937,(57),0.464157,(11),none
46,30.6801,(3),0.104126,0.155596,(50),0.0384101,(40),none
47,34.8383,(20),0.101723,0.383762,(31),0.0374748,(43),none
48,43.7441,(38),0.0950764,0.779533,(22),0.0236658,(56),none
49,32.2079,(10),0.0946968,0.0621273,(60),0.73437,(7),none
50,36.8314,(26),0.0888902,0.453934,(29),0.0405886,(37),none
51,33.7037,(16),0.0814781,0.0718672,(54),0.119165,(17),none
52,31.5364,(7),0.080638,0.0625374,(59),0.766008,(6),none
53,31.7877,(8),0.0795045,0.288144,(37),0.0848332,(20),none
54,33.2441,(14),0.0751439,0.331136,(34),0.027671,(50),none
55,43.1625,(37),0.0742202,0.2621,(40),0.0677855,(26),none
56,35.7859,(23),0.0735513,0.416548,(30),0.0399219,(39),none
57,30.8981,(4),0.0488887,0.0731307,(52),0.0814726,(23),none
58,33.9241,(17),0.0450512,0.35443,(33),0.0237765,(54),none
59,30.443,(2),0.0424325,0.253309,(41),0.0121888,(62),none
60,30.2705,(1),0.0314962,0.0727953,(53),0.0279665,(49),none
61,31.0109,(5),0.0112962,0.270743,(39),0.0381788,(41),none
62,30.1846,(0),0.0,2.27293,(14),0.0472865,(32),none
