Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,27.9291,(42),93.2942,10963.9,(0),3.29731e-05,(31),none
1,14.5551,(41),0.0248747,0.258636,(11),0.00318722,(0),none
2,11.3832,(39),0.00795894,0.656663,(3),0.000113721,(17),none
3,8.66898,(36),0.00589918,0.960668,(1),2.80593e-05,(33),none
4,10.158,(38),0.00459979,0.651536,(4),0.000137278,(13),none
5,10.0375,(37),0.00371271,0.410927,(6),0.000158043,(11),none
6,11.9193,(40),0.00157803,0.782101,(2),6.8889e-05,(24),none
7,7.11177,(29),0.00110732,0.0520878,(29),0.000353162,(5),none
8,7.38061,(30),0.00105668,0.36696,(9),2.1789e-05,(37),none
9,8.51681,(35),0.000929747,0.250851,(12),2.43041e-05,(36),none
10,8.28091,(34),0.000663123,0.108678,(17),3.02159e-05,(32),none
11,7.86813,(33),0.000592657,0.577189,(5),1.41498e-05,(42),none
12,5.93094,(23),0.000444688,0.385776,(7),2.5621e-05,(34),none
13,7.53054,(31),0.000383755,0.0445926,(33),7.0656e-05,(23),none
14,7.62324,(32),0.000298694,0.116109,(14),1.87671e-05,(39),none
15,5.20291,(22),0.000241956,0.160848,(13),9.80685e-05,(19),none
16,6.92964,(28),0.000236802,0.0509388,(31),0.000221626,(9),none
17,6.39414,(26),0.000185803,0.371247,(8),1.42084e-05,(41),none
18,6.51878,(27),0.00017487,0.347613,(10),1.45166e-05,(40),none
19,5.98587,(24),0.000143438,0.0527517,(28),2.44569e-05,(35),none
20,6.05689,(25),0.000138653,0.0681617,(22),2.04885e-05,(38),none
21,5.16815,(21),0.000123218,0.0751265,(20),0.000115439,(16),none
22,3.9366,(9),0.000116795,0.0492082,(32),3.34899e-05,(30),none
23,3.11239,(0),0.000110601,0.0311388,(35),0.000444931,(2),none
24,3.80467,(7),0.00010212,0.0512649,(30),5.17118e-05,(27),none
25,3.62128,(6),8.39372e-05,0.0665212,(23),5.23943e-05,(26),none
26,4.53853,(15),8.09904e-05,0.0857446,(18),0.000122237,(14),none
27,4.91682,(20),7.7147e-05,0.114566,(15),0.00016791,(10),none
28,4.82438,(18),7.47734e-05,0.0585073,(25),0.000426676,(3),none
29,4.84979,(19),6.76201e-05,0.024465,(38),0.000293415,(7),none
30,3.52554,(5),6.01755e-05,0.0769716,(19),7.1023e-05,(22),none
31,4.62354,(16),5.9557e-05,0.0262751,(36),0.000377494,(4),none
32,4.12568,(11),5.33104e-05,0.0626457,(24),6.41582e-05,(25),none
33,4.46754,(14),4.57763e-05,0.0738122,(21),8.38536e-05,(21),none
34,4.45217,(13),3.74162e-05,0.0563492,(26),8.54848e-05,(20),none
35,4.06339,(10),3.37695e-05,0.109665,(16),4.10262e-05,(28),none
36,3.84441,(8),3.37464e-05,0.0563381,(27),3.37752e-05,(29),none
37,4.18587,(12),3.0111e-05,0.0228659,(39),0.000230333,(8),none
38,4.64955,(17),2.85241e-05,0.00735464,(42),0.000669339,(1),none
39,3.27431,(3),1.98982e-05,0.0262586,(37),0.000157326,(12),none
40,3.1238,(1),1.87207e-05,0.0149861,(41),0.000339645,(6),none
41,3.39099,(4),1.77363e-05,0.0366143,(34),0.000117775,(15),none
42,3.1967,(2),6.89134e-06,0.0154225,(40),0.000107069,(18),none
