Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,33.3275,(151),7929.51,898.444,(0),3.20006,(148),none
1,29.4149,(149),12.3825,3.92933,(2),5.21699,(129),none
2,17.6165,(144),8.21805,1.87749,(6),5.35095,(123),none
3,15.8947,(142),7.69304,1.37194,(8),3.98437,(142),none
4,15.001,(141),3.36472,0.785154,(22),5.59907,(119),none
5,8.66126,(117),2.70986,0.278243,(47),18.6861,(1),none
6,11.3905,(133),1.85072,0.694573,(23),5.062,(131),none
7,13.8102,(138),1.28278,0.435501,(33),3.91004,(143),none
8,10.4752,(129),1.12976,0.334476,(41),3.43968,(146),none
9,24.5992,(148),1.12038,4.58149,(1),5.01589,(132),none
10,9.40384,(123),0.991963,0.405669,(36),5.68665,(117),none
11,3.90067,(99),0.991197,0.530514,(26),7.0929,(77),none
12,33.2371,(150),0.881167,0.0309583,(144),39.7725,(0),none
13,14.4492,(140),0.867106,0.390323,(37),2.28439,(149),none
14,3.98594,(101),0.849592,0.920326,(16),7.538,(55),none
15,13.1868,(137),0.807478,0.499689,(30),5.65716,(118),none
16,19.8794,(145),0.798757,0.21911,(54),4.11338,(140),none
17,17.2868,(143),0.712264,0.271938,(49),5.24927,(127),none
18,3.87007,(98),0.689195,0.519902,(27),6.833,(85),none
19,10.8718,(130),0.673384,0.08309,(108),4.74174,(137),none
20,9.97851,(126),0.598435,0.178131,(65),4.30431,(139),none
21,9.2308,(122),0.573216,0.232028,(51),5.43551,(121),none
22,8.39976,(116),0.528917,0.273742,(48),4.49041,(138),none
23,3.84019,(97),0.513589,0.48857,(31),6.7131,(91),none
24,14.2729,(139),0.445642,0.207904,(57),5.22533,(128),none
25,11.0475,(132),0.440282,0.14066,(72),4.85797,(135),none
26,4.04216,(102),0.41925,0.909361,(17),6.7131,(91),none
27,12.0338,(134),0.377181,0.517883,(28),5.20081,(130),none
28,8.69479,(119),0.35698,0.283964,(46),1.49458,(150),none
29,9.77745,(124),0.349855,0.0574569,(122),9.5804,(2),none
30,22.4925,(147),0.340296,2.06784,(5),4.86074,(134),none
31,3.67435,(93),0.327932,0.309651,(42),6.3033,(105),none
32,3.70934,(94),0.327932,0.309651,(43),6.3733,(101),none
