Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,291.237,(116),101965.0,31855.8,(0),0.0120025,(40),none
1,181.611,(114),209.98,19.7172,(3),4.86612,(1),none
2,186.467,(115),203.954,19.624,(4),0.0521519,(18),none
3,133.527,(113),73.5545,69.7702,(1),0.00202168,(94),none
4,92.1852,(112),52.229,30.7541,(2),0.00132998,(103),none
5,67.5592,(109),7.74087,8.36212,(5),0.00220003,(92),none
6,58.5189,(108),4.27654,2.63141,(9),0.00890063,(44),none
7,52.2505,(104),3.53945,3.72626,(7),0.00434901,(65),none
8,77.9126,(111),3.11036,0.633262,(28),0.182177,(8),none
9,31.1358,(86),2.60648,0.659268,(26),6.04304,(0),none
10,48.0247,(101),2.04115,1.79169,(12),0.00752354,(47),none
11,71.7114,(110),1.3747,7.92699,(6),0.00197008,(95),none
12,41.7537,(98),1.35376,2.88131,(8),0.00191571,(96),none
13,44.7277,(99),1.22795,1.28393,(15),0.00787965,(46),none
14,55.1228,(105),1.06886,0.327071,(39),0.164898,(9),none
15,35.439,(93),0.831743,1.51391,(13),0.00348827,(73),none
16,46.3842,(100),0.722081,2.26629,(11),0.00269138,(80),none
17,37.261,(94),0.701712,0.79104,(20),0.0110389,(42),none
18,39.1477,(96),0.612256,1.13677,(17),0.00320054,(74),none
19,49.7016,(102),0.595579,0.226725,(50),0.241657,(7),none
20,40.5401,(97),0.546197,0.734177,(23),0.00696932,(49),none
21,32.1927,(89),0.522431,0.614349,(30),0.0173732,(30),none
22,57.2123,(107),0.488602,2.33188,(10),0.00618418,(53),none
23,34.7431,(92),0.478125,0.781363,(22),0.00512174,(62),none
24,33.5594,(91),0.343921,0.785264,(21),0.0044928,(64),none
25,33.1822,(90),0.306723,0.704193,(24),0.00592389,(56),none
26,50.5825,(103),0.300067,1.04146,(18),0.0139415,(34),none
27,55.3776,(106),0.27073,0.217329,(53),0.0873414,(14),none
28,38.3195,(95),0.248981,1.23545,(16),0.00253768,(87),none
29,28.305,(74),0.174345,0.675382,(25),0.00151261,(100),none
30,29.9941,(82),0.156197,0.440077,(34),0.00386911,(69),none
31,27.5023,(73),0.154331,0.800029,(19),0.000926756,(108),none
32,31.3607,(87),0.152203,0.634031,(27),0.0054169,(59),none
33,30.7926,(85),0.149419,0.626875,(29),0.00303781,(77),none
34,27.0179,(72),0.109179,0.203169,(56),0.00611578,(54),none
35,26.6838,(71),0.100424,0.269473,(43),0.00307725,(76),none
36,30.2164,(83),0.0959336,0.239889,(48),0.00645671,(52),none
37,29.2298,(79),0.0796793,0.28709,(41),0.00388417,(68),none
38,24.0545,(56),0.0769445,0.561499,(33),0.001674,(98),none
39,29.5282,(81),0.0729307,0.131224,(69),0.0198153,(29),none
40,28.6961,(75),0.063703,0.0343215,(101),0.111905,(13),none
41,23.4489,(52),0.0591536,0.177174,(59),0.00656489,(51),none
42,22.9242,(49),0.0564645,0.199777,(57),0.00277425,(79),none
43,21.3116,(38),0.0559465,0.219631,(52),0.00386478,(70),none
44,23.6677,(54),0.0500099,0.106817,(74),0.0135163,(35),none
45,30.4323,(84),0.0453311,0.0216243,(106),0.336431,(6),none
46,23.2098,(51),0.044724,0.241298,(46),0.00247002,(90),none
47,19.5932,(25),0.0440787,0.240921,(47),0.00254073,(85),none
48,29.4591,(80),0.042069,0.0494474,(94),0.0282151,(26),none
49,31.8403,(88),0.0417304,0.0301674,(103),0.624074,(4),none
50,20.5384,(33),0.0408177,0.134569,(67),0.00515824,(61),none
51,24.8216,(61),0.0398323,0.209203,(55),0.00284002,(78),none
52,20.4166,(32),0.038847,0.0572555,(90),0.037878,(21),none
53,25.679,(66),0.0387414,0.11814,(72),0.0048301,(63),none
54,26.5466,(70),0.0386938,0.0585246,(89),0.0130284,(37),none
55,28.7736,(76),0.0386701,0.0483388,(95),0.0375561,(22),none
56,25.1337,(62),0.0382203,0.348707,(38),0.00116937,(106),none
57,19.1129,(24),0.0377275,0.594432,(31),0.000319618,(116),none
58,21.622,(39),0.0356235,0.350828,(37),0.00143289,(101),none
59,25.3826,(63),0.0346633,0.165043,(60),0.0026559,(81),none
60,24.5566,(58),0.0331056,0.0873819,(78),0.0209588,(28),none
61,23.7786,(55),0.033057,0.11657,(73),0.00602809,(55),none
62,21.8419,(41),0.0310981,0.0744759,(84),0.0126173,(38),none
63,22.768,(48),0.0291913,0.0874011,(77),0.00555973,(57),none
64,17.5563,(16),0.0290846,0.358733,(36),0.000414992,(114),none
65,18.7313,(23),0.0285532,0.421924,(35),0.000359769,(115),none
66,18.3268,(21),0.0282921,0.228885,(49),0.00142584,(102),none
67,20.6496,(34),0.0278548,0.103095,(75),0.00522403,(60),none
68,25.8165,(67),0.0264293,0.0381848,(100),0.0238202,(27),none
69,26.4593,(69),0.0261212,0.0476293,(96),0.0139724,(33),none
70,23.0786,(50),0.0253433,0.0296717,(104),0.0305123,(24),none
71,20.862,(35),0.0249422,0.216818,(54),0.00164559,(99),none
72,19.8992,(28),0.0247063,0.0516736,(92),0.0133101,(36),none
73,20.324,(31),0.0242285,0.0450117,(97),0.034174,(23),none
74,17.0404,(13),0.0240285,0.297097,(40),0.000524949,(112),none
75,19.8161,(26),0.0235831,0.0415383,(99),0.0453959,(20),none
76,22.1542,(45),0.0232381,0.030997,(102),0.0494087,(19),none
77,18.1097,(20),0.0230374,0.124764,(70),0.00370899,(72),none
78,21.0065,(36),0.0226516,0.160538,(62),0.00262327,(83),none
