Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,164.208,(211),35466.2,516.984,(0),2.03527,(189),none
1,141.827,(210),689.566,20.129,(2),5.2865,(28),none
2,43.3851,(203),132.418,3.11757,(6),0.128653,(210),none
3,40.1561,(202),84.2397,2.82772,(7),1.12949,(198),none
4,68.6734,(209),82.0762,71.2587,(1),4.42892,(159),none
5,46.4008,(204),14.0761,1.36115,(11),1.52223,(192),none
6,29.1263,(191),10.1929,0.446848,(26),11.6159,(2),none
7,62.0893,(208),10.0744,5.26244,(5),4.05182,(172),none
8,38.6831,(201),5.27286,1.40441,(9),5.26285,(29),none
9,32.9065,(196),5.00781,1.40169,(10),2.90933,(184),none
10,28.7882,(190),4.78697,0.439655,(27),6.40926,(6),none
11,24.3821,(182),2.94487,0.669477,(23),5.12275,(39),none
12,54.64,(206),2.87357,6.4193,(3),4.26742,(166),none
13,25.6147,(186),2.69101,1.02788,(16),4.4384,(158),none
14,29.2895,(192),1.86142,0.0495651,(101),1.22273,(196),none
15,25.1052,(183),1.69725,0.122499,(60),0.246449,(208),none
16,21.0323,(169),1.63839,0.175934,(47),0.321213,(206),none
17,13.0849,(96),1.58926,0.106407,(66),16.5721,(0),none
18,19.1401,(160),1.41981,0.223555,(37),0.47438,(203),none
19,20.8025,(168),1.28607,0.220862,(38),4.64349,(145),none
20,20.6649,(167),1.11274,0.1054,(67),0.386709,(204),none
21,47.8567,(205),1.10311,6.349,(4),3.83178,(177),none
22,31.8333,(195),0.997979,1.04634,(14),4.48991,(157),none
23,22.1326,(174),0.850158,0.134829,(56),1.30022,(195),none
24,19.7133,(163),0.685509,0.255472,(34),2.36745,(187),none
25,61.0503,(207),0.679464,1.04287,(15),4.41209,(160),none
26,27.7589,(189),0.640052,1.01467,(17),5.12254,(40),none
27,12.9464,(95),0.618741,0.142202,(55),5.76003,(14),none
28,36.5712,(199),0.556963,1.22861,(12),4.88553,(83),none
29,18.9491,(159),0.512948,0.170472,(49),5.25145,(30),none
30,20.5364,(166),0.512877,0.105153,(68),6.10684,(8),none
31,21.8943,(173),0.454963,0.219615,(40),4.81558,(107),none
32,37.8712,(200),0.448453,0.813792,(20),5.07067,(44),none
33,23.5736,(181),0.441864,0.849841,(19),4.85108,(95),none
34,26.6069,(187),0.425748,0.329834,(31),3.9475,(175),none
35,17.6323,(149),0.400049,0.146344,(54),2.07467,(188),none
36,35.5046,(198),0.350744,1.00833,(18),4.77637,(117),none
37,16.3057,(140),0.338091,0.059611,(93),0.612405,(201),none
38,16.1868,(139),0.322801,0.108474,(65),5.24351,(31),none
39,18.2022,(155),0.317635,0.150203,(51),4.89546,(81),none
40,16.7953,(144),0.29929,0.310989,(32),3.47023,(180),none
41,17.9639,(152),0.283525,0.0430324,(109),0.705202,(200),none
42,25.2646,(185),0.27954,0.251471,(35),3.58387,(178),none
43,14.309,(116),0.261326,0.0658247,(88),5.78362,(12),none
44,17.849,(151),0.257846,0.0991588,(70),5.35172,(24),none
45,29.3694,(193),0.253443,0.0233225,(146),1.39976,(194),none
46,15.0847,(127),0.239615,0.215048,(41),2.98821,(182),none
47,15.6864,(134),0.237326,0.195111,(42),2.68345,(185),none
48,22.2946,(175),0.22387,0.21985,(39),4.37027,(163),none
49,13.542,(105),0.198601,0.0786506,(83),4.57921,(151),none
50,13.1912,(100),0.192738,0.100551,(69),0.521132,(202),none
51,10.1942,(18),0.172843,0.0330992,(131),0.361025,(205),none
52,14.412,(118),0.169194,0.0626964,(90),2.91745,(183),none
53,0.6923,(0),0.165588,0.751662,(21),3.86627,(176),none
54,19.6596,(162),0.149746,0.046949,(103),5.42473,(19),none
55,17.5704,(148),0.149647,0.0551104,(95),5.42164,(20),none
56,16.3755,(141),0.145484,0.229075,(36),4.25598,(167),none
57,22.8167,(179),0.138013,0.536003,(24),4.67651,(138),none
58,20.0314,(165),0.13679,0.489769,(25),4.91152,(74),none
59,19.3761,(161),0.13545,0.264536,(33),4.60643,(149),none
60,18.0548,(154),0.134291,0.133551,(57),4.4112,(161),none
61,10.2508,(19),0.131074,0.0344287,(127),4.64957,(143),none
62,23.4224,(180),0.128116,0.113759,(63),4.813,(109),none
63,21.22,(170),0.125042,0.432475,(28),4.03664,(173),none
64,26.9667,(188),0.123735,0.746468,(22),4.8467,(98),none
65,34.3604,(197),0.123137,1.04763,(13),4.66493,(141),none
66,15.5,(133),0.119777,0.17667,(46),4.88484,(84),none
67,17.4696,(147),0.118519,0.0852299,(79),3.54784,(179),none
68,10.1688,(17),0.118331,0.0233742,(145),5.9244,(11),none
69,14.3894,(117),0.117999,0.0159149,(167),0.257869,(207),none
70,13.1142,(97),0.114505,0.0171773,(162),0.0650756,(211),none
71,11.6028,(64),0.113124,0.0164322,(166),5.94192,(10),none
72,18.3616,(156),0.109035,0.0235507,(144),1.40845,(193),none
73,14.4785,(119),0.103931,0.17284,(48),4.08426,(170),none
74,14.7063,(120),0.0904601,0.0769389,(84),4.63186,(146),none
75,18.592,(158),0.0867589,0.345448,(30),4.7582,(123),none
76,22.5354,(176),0.0835903,0.166091,(50),4.5802,(150),none
77,12.7864,(93),0.0830562,0.0638831,(89),1.92914,(190),none
78,16.67,(143),0.0819419,0.120796,(61),4.82857,(104),none
79,17.3099,(146),0.081546,0.148509,(52),5.05011,(49),none
80,11.5743,(63),0.0806715,0.0186827,(160),5.01169,(54),none
81,9.97926,(8),0.0801434,0.0503421,(99),5.3247,(26),none
82,14.1244,(115),0.0793296,0.18011,(45),4.98887,(61),none
83,13.3007,(101),0.0714584,0.0503529,(98),4.20923,(168),none
84,13.3552,(102),0.066757,0.0767572,(85),2.47237,(186),none
85,11.4785,(62),0.0655341,0.0888672,(77),4.90708,(76),none
86,16.0888,(138),0.0554248,0.0844086,(80),4.06035,(171),none
87,10.9599,(45),0.0552054,0.0705022,(87),4.82962,(103),none
88,9.94524,(6),0.0527475,0.0215702,(153),5.15294,(38),none
89,12.6637,(90),0.051568,0.0854242,(78),5.36017,(22),none
90,21.6778,(171),0.050431,0.0920577,(74),4.61378,(148),none
91,21.7931,(172),0.0475451,0.0974599,(71),4.70705,(132),none
92,10.2794,(21),0.0465935,0.0394999,(117),4.80775,(112),none
93,14.8764,(123),0.046162,0.0603947,(92),4.73021,(126),none
94,13.686,(107),0.0459397,0.0910872,(75),4.67287,(139),none
95,15.0632,(126),0.0455396,0.0173067,(161),5.41368,(21),none
96,14.8081,(122),0.0435578,0.0509003,(97),4.68692,(136),none
97,12.3389,(83),0.0429037,0.131004,(58),5.07833,(43),none
98,15.903,(135),0.042523,0.113079,(64),4.90796,(75),none
99,10.1061,(14),0.0406914,0.0415502,(111),5.0655,(46),none
100,14.9638,(125),0.0368705,0.090171,(76),4.79698,(114),none
101,18.0202,(153),0.0361565,0.0232783,(147),4.15369,(169),none
102,22.7089,(177),0.034801,0.0168819,(163),4.72733,(127),none
103,11.6385,(66),0.0336051,0.022344,(151),4.95318,(67),none
104,12.4925,(84),0.0334922,0.0370853,(123),5.17878,(36),none
105,20.0096,(164),0.0331194,0.0340714,(128),4.90663,(77),none
106,10.323,(22),0.0322217,0.0306163,(135),1.14774,(197),none
107,12.7698,(92),0.0292729,0.0117783,(177),6.61572,(5),none
108,13.1761,(99),0.0291255,0.00871608,(187),5.69699,(16),none
