Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,222.859,(33),17879.3,4.13684,(0),16634.7,(0),none
1,249.218,(34),6966.38,3.91146,(1),6126.12,(2),none
2,145.305,(32),4046.9,1.60392,(2),9042.21,(1),none
3,124.845,(31),1433.93,0.893951,(3),4966.93,(4),none
4,86.9863,(28),1323.73,0.833274,(4),5617.73,(3),none
5,92.512,(29),155.205,0.359459,(6),1143.61,(5),none
6,100.098,(30),80.7564,0.429853,(5),527.072,(14),none
7,80.3856,(27),53.1828,0.315455,(7),572.691,(9),none
8,38.5587,(6),31.894,0.126253,(14),926.957,(6),none
9,62.1689,(23),30.6518,0.176978,(9),533.034,(12),none
10,64.1849,(25),28.574,0.144266,(11),479.599,(17),none
11,58.6134,(22),27.4389,0.117412,(16),551.546,(11),none
12,70.2911,(26),22.0098,0.222683,(8),315.449,(23),none
13,40.876,(9),21.8558,0.0869733,(19),735.066,(7),none
14,58.1636,(21),21.7795,0.135715,(13),456.335,(19),none
15,49.533,(18),21.7617,0.116095,(17),568.445,(10),none
16,51.1751,(19),21.6181,0.117806,(15),531.575,(13),none
17,40.1479,(8),17.6177,0.0741068,(23),646.192,(8),none
18,42.4066,(11),14.7863,0.0862316,(20),525.667,(15),none
19,42.7158,(12),13.8789,0.0674701,(25),501.216,(16),none
20,43.2959,(13),13.2113,0.0760256,(22),456.984,(18),none
21,41.3105,(10),10.2042,0.0645766,(28),397.597,(20),none
22,56.4307,(20),10.1575,0.156595,(10),234.253,(26),none
23,63.5058,(24),9.72231,0.140175,(12),180.075,(28),none
24,45.0642,(16),7.60346,0.076968,(21),262.527,(25),none
25,36.8206,(4),6.62392,0.0505785,(32),337.955,(21),none
26,39.705,(7),6.31744,0.0691501,(24),288.081,(24),none
27,34.7085,(2),5.80494,0.0515111,(31),317.786,(22),none
28,44.2588,(15),4.22123,0.0611893,(30),159.568,(29),none
29,47.6591,(17),3.09134,0.0958829,(18),104.257,(33),none
30,34.2174,(1),2.8758,0.0393432,(34),182.098,(27),none
31,44.0494,(14),2.56584,0.0674284,(26),101.972,(34),none
32,37.0485,(5),2.53007,0.0437522,(33),141.721,(30),none
33,34.01,(0),1.95159,0.0629738,(29),127.52,(31),none
34,36.5288,(3),1.94885,0.0661044,(27),111.479,(32),none
