Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,890.893,(449),43384.6,6906.68,(0),15.8959,(126),none
1,282.608,(441),1515.94,29.2884,(7),6.91558,(399),none
2,234.54,(440),1291.7,28.0153,(8),5.57228,(427),none
3,310.509,(442),835.219,58.2416,(3),5.29069,(431),none
4,557.629,(446),783.578,131.163,(1),9.18647,(343),none
5,377.475,(443),556.765,44.0888,(5),6.24419,(420),none
6,424.225,(444),407.32,57.689,(4),6.72345,(408),none
7,496.305,(445),373.592,43.0985,(6),8.31905,(362),none
8,709.288,(447),369.922,74.1181,(2),12.4468,(216),none
9,789.385,(448),284.762,19.357,(11),22.6438,(72),none
10,211.148,(439),232.702,20.2211,(10),3.87103,(445),none
11,89.3351,(402),144.878,1.442,(32),450.27,(0),none
12,154.61,(431),130.675,5.61831,(16),5.38902,(429),none
13,131.443,(425),115.137,2.72145,(24),13.557,(177),none
14,125.602,(421),111.637,1.53635,(30),42.3769,(44),none
15,80.9669,(396),111.498,3.19039,(22),42.8048,(43),none
16,185.491,(438),96.9979,20.6677,(9),3.50394,(446),none
17,97.7656,(410),91.5912,2.2141,(26),34.7109,(54),none
18,146.617,(430),88.0186,3.63564,(21),5.54162,(428),none
19,85.1329,(401),74.655,1.28373,(35),220.769,(6),none
20,135.196,(426),50.3302,0.612998,(53),291.226,(2),none
21,93.5044,(406),41.2745,1.37847,(34),57.2342,(32),none
22,158.735,(432),39.1636,3.8993,(19),4.34941,(443),none
23,101.916,(411),38.4379,1.47185,(31),22.446,(74),none
24,128.894,(422),34.3873,1.94917,(28),8.71661,(353),none
25,115.017,(419),33.7998,7.15611,(15),11.2387,(269),none
26,143.901,(429),33.7321,5.1892,(17),6.82108,(404),none
27,137.511,(427),32.2184,0.879419,(42),69.8892,(25),none
28,163.729,(433),31.4299,3.82411,(20),3.94059,(444),none
29,90.2982,(403),31.1605,0.834426,(43),230.035,(5),none
30,78.9866,(395),28.5862,1.26672,(36),31.8407,(58),none
31,171.45,(435),27.2428,4.09727,(18),3.20826,(449),none
32,123.342,(420),12.581,0.41055,(77),113.745,(16),none
33,96.37,(409),12.2215,0.494354,(65),42.2896,(45),none
34,104.723,(412),11.5426,2.71093,(25),12.7497,(208),none
35,167.111,(434),11.5312,0.554138,(57),16.2556,(119),none
36,77.106,(394),11.4467,1.54735,(29),21.6386,(79),none
37,61.8811,(369),11.0235,0.773643,(46),8.85731,(351),none
38,91.4445,(404),9.9314,0.68879,(50),114.578,(15),none
39,46.8134,(325),9.70961,0.496285,(64),136.626,(12),none
40,91.9161,(405),8.98274,0.488213,(66),98.6461,(19),none
41,139.32,(428),7.90392,1.40934,(33),18.1897,(101),none
42,46.3349,(324),7.03763,0.467395,(70),52.4606,(36),none
43,50.1215,(335),6.82012,0.326609,(89),30.07,(63),none
44,94.8495,(407),6.5326,0.52086,(61),44.1372,(41),none
45,73.2646,(388),6.11994,1.04339,(37),13.935,(165),none
46,174.974,(437),5.45503,8.00066,(14),3.24028,(448),none
47,95.5317,(408),5.29722,0.79174,(45),37.902,(53),none
48,62.843,(370),5.07145,0.31731,(92),9.05984,(345),none
49,71.6135,(386),4.09711,0.624568,(51),12.0921,(231),none
50,60.0672,(366),4.07958,0.794499,(44),7.31511,(385),none
51,75.7223,(392),3.91899,0.368631,(82),20.3019,(89),none
52,76.301,(393),3.56223,0.592975,(54),18.9959,(97),none
