Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,191.735,(11),526811.0,1869.87,(0),0.53651,(9),none
1,144.377,(10),7326.47,29.0099,(3),3.09097,(3),none
2,101.104,(8),6152.63,23.675,(4),1.19905,(5),none
3,130.794,(9),4545.86,17.2123,(5),0.541402,(8),none
4,82.9073,(7),1528.31,16.7089,(6),1.45328,(4),none
5,75.5441,(6),824.146,7.35284,(8),0.476709,(10),none
6,57.6179,(3),778.581,10.5213,(7),0.205467,(11),none
7,68.2999,(4),285.228,3.66054,(9),0.725784,(7),none
8,71.9503,(5),223.191,2.72882,(10),4.44803,(2),none
9,56.6138,(2),117.398,0.658035,(11),1.00465,(6),none
10,2.59511,(1),8.8248,54.7508,(2),6.69023,(0),none
11,0.640945,(0),0.0,55.6536,(1),4.549,(1),none
