Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,437.849,(95),6777780.0,159517.0,(0),5.48257,(26),none
1,171.025,(94),4862.4,184.597,(1),5.33009,(27),none
2,109.751,(93),1529.57,58.6171,(2),3.05369,(40),none
3,58.978,(86),580.875,5.83509,(8),0.37477,(86),none
4,84.5203,(90),498.383,7.09665,(6),1.44759,(62),none
5,76.0409,(89),495.43,7.88522,(5),1.54934,(60),none
6,92.0334,(91),424.692,10.1126,(4),1.70298,(55),none
7,64.9835,(87),335.818,5.24546,(10),0.563121,(81),none
8,70.0688,(88),150.69,5.41571,(9),3.29544,(38),none
9,51.977,(83),149.719,3.93438,(11),1.5802,(57),none
10,48.7499,(82),141.6,3.1932,(12),0.678786,(79),none
11,102.281,(92),122.334,6.55564,(7),4.27718,(32),none
12,56.1427,(84),58.4659,1.35534,(15),1.71343,(54),none
13,47.2181,(81),57.2998,1.30179,(16),1.60676,(56),none
14,42.6534,(77),55.2846,1.67739,(14),2.00828,(51),none
15,57.5664,(85),44.3833,0.585177,(27),21.6865,(0),none
16,45.0033,(79),29.8023,1.16896,(17),0.741121,(78),none
17,44.5197,(78),23.9593,0.40041,(37),1.36267,(67),none
18,33.5142,(65),21.9021,1.15398,(18),2.05928,(50),none
19,39.1879,(74),20.7669,1.01807,(21),2.11835,(49),none
20,28.8291,(54),16.5694,0.623143,(25),0.179959,(93),none
21,31.794,(60),13.7792,0.35472,(42),0.174191,(94),none
22,27.061,(48),13.7712,0.544872,(29),0.335707,(87),none
23,46.1721,(80),12.637,0.913012,(22),5.73361,(24),none
24,38.0543,(71),12.6064,0.38851,(39),1.56158,(58),none
25,31.3318,(59),11.9486,0.289755,(49),2.41071,(47),none
26,26.2416,(46),11.6095,0.584005,(28),2.78103,(42),none
27,35.2739,(68),10.2684,0.529375,(31),1.19095,(71),none
28,40.6865,(76),8.86977,1.86422,(13),5.83913,(21),none
29,22.6918,(32),8.51829,0.374198,(40),0.114643,(95),none
30,35.8293,(69),7.85866,1.04804,(19),2.75494,(44),none
31,40.295,(75),7.46849,0.365979,(41),1.55459,(59),none
32,36.9249,(70),7.21553,1.04694,(20),7.10566,(13),none
33,24.9661,(41),6.53166,0.294426,(46),0.78813,(77),none
34,27.6823,(49),6.43129,0.28361,(50),0.241403,(89),none
35,21.9167,(29),6.00731,0.409981,(36),1.06316,(72),none
36,38.512,(72),5.91315,0.294498,(45),0.974678,(74),none
37,32.1098,(61),5.81396,0.495292,(32),0.67024,(80),none
38,17.5415,(7),5.38775,0.45715,(34),0.226899,(91),none
39,20.5982,(24),5.07956,0.608115,(26),2.75528,(43),none
40,26.9211,(47),4.73293,0.12181,(72),0.38963,(85),none
41,30.6166,(58),4.60472,0.657859,(24),7.35315,(9),none
42,24.4977,(40),4.39187,0.424812,(35),3.51973,(35),none
43,34.7693,(66),3.53576,0.150801,(67),0.788736,(76),none
44,28.5363,(53),3.40046,0.184689,(62),10.2897,(3),none
45,32.9369,(63),3.30062,0.3996,(38),2.61092,(45),none
46,21.3075,(26),3.01509,0.233833,(54),0.443889,(83),none
47,19.1428,(16),2.86704,0.193422,(60),1.381,(64),none
48,22.5123,(31),2.82904,0.107776,(77),1.36311,(66),none
49,25.3824,(43),2.81894,0.461272,(33),1.88501,(52),none
50,24.2546,(39),2.78114,0.223609,(56),1.23114,(70),none
51,22.3578,(30),2.63176,0.13046,(69),1.50656,(61),none
52,18.2279,(10),2.35003,0.290573,(48),1.81512,(53),none
53,34.9216,(67),2.30438,0.283311,(51),4.79854,(30),none
54,28.3372,(52),2.137,0.181112,(63),1.39098,(63),none
55,30.1597,(56),1.85952,0.31338,(43),3.93298,(34),none
56,18.6944,(13),1.65207,0.243982,(53),0.967495,(75),none
57,25.3009,(42),1.56236,0.0728037,(86),0.558201,(82),none
58,23.059,(33),1.53841,0.15344,(66),1.06154,(73),none
59,19.3754,(17),1.51872,0.0650383,(89),0.302809,(88),none
60,38.8157,(73),1.44338,0.311703,(44),5.71509,(25),none
61,25.8737,(44),1.39106,0.215656,(57),3.18145,(39),none
62,18.0144,(8),1.27286,0.108923,(76),3.36202,(37),none
63,29.4281,(55),1.20491,0.695318,(23),5.80501,(23),none
64,24.0267,(38),1.176,0.199293,(59),7.33391,(10),none
65,23.2287,(34),1.16602,0.290879,(47),2.80446,(41),none
66,18.1571,(9),1.1119,0.0686133,(87),0.226995,(90),none
67,21.6983,(28),1.05306,0.192036,(61),7.00982,(14),none
68,18.5508,(11),0.999483,0.0748051,(85),0.429005,(84),none
69,28.185,(51),0.96406,0.122308,(71),8.79004,(6),none
70,17.2912,(4),0.961492,0.0879042,(82),1.24011,(69),none
71,21.248,(25),0.898095,0.039639,(93),1.35981,(68),none
72,21.556,(27),0.85089,0.128795,(70),2.34022,(48),none
73,33.3709,(64),0.834881,0.105088,(78),5.80748,(22),none
74,19.4558,(18),0.787266,0.0658587,(88),0.221973,(92),none
75,32.6185,(62),0.69181,0.280839,(52),5.21285,(28),none
76,19.0408,(15),0.683796,0.0855661,(83),4.74438,(31),none
77,17.1632,(3),0.60469,0.110521,(74),6.64019,(17),none
78,26.1088,(45),0.501521,0.109913,(75),9.78378,(4),none
79,17.393,(5),0.500084,0.0613634,(90),1.3729,(65),none
80,17.4614,(6),0.482614,0.053833,(91),12.1009,(1),none
81,19.905,(21),0.409389,0.538536,(30),7.14632,(11),none
82,18.6322,(12),0.376821,0.0483695,(92),3.4736,(36),none
83,17.0054,(2),0.345837,0.144867,(68),5.91374,(19),none
84,19.6589,(20),0.330115,0.230269,(55),4.00549,(33),none
85,19.5243,(19),0.309145,0.121642,(73),2.47268,(46),none
86,18.9523,(14),0.275405,0.076275,(84),6.40841,(18),none
87,30.5018,(57),0.209265,0.0894413,(80),6.83215,(15),none
88,20.4566,(22),0.206071,0.0922339,(79),9.14275,(5),none
89,20.5601,(23),0.161971,0.025681,(94),6.68797,(16),none
90,27.955,(50),0.154986,0.207044,(58),5.86223,(20),none
91,23.9239,(37),0.110537,0.0889129,(81),8.52176,(7),none
92,23.7287,(36),0.0831304,0.178271,(64),7.72514,(8),none
93,23.538,(35),0.0771691,0.174233,(65),7.11092,(12),none
94,16.9806,(1),0.0390718,0.0174882,(95),11.7475,(2),none
95,0.590395,(0),0.0,16.5125,(3),4.81707,(29),none
