Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1031.08,(61),28845.1,48.3568,(1),1694.78,(0),none
1,1166.03,(62),7636.89,78.6019,(0),321.435,(18),none
2,658.295,(59),4830.82,22.0014,(3),661.394,(6),none
3,403.482,(54),3569.0,6.10461,(8),1466.46,(2),none
4,984.125,(60),3300.8,37.3403,(2),502.516,(9),none
5,349.763,(50),2698.5,3.75791,(9),1691.3,(1),none
6,593.526,(58),1795.51,17.381,(4),279.472,(19),none
7,360.306,(51),1298.27,3.3723,(13),1041.51,(3),none
8,364.401,(52),1232.24,3.23069,(14),1036.47,(4),none
9,433.693,(55),803.204,7.87225,(6),263.515,(24),none
10,286.633,(45),781.581,2.74507,(16),693.846,(5),none
11,370.208,(53),522.535,3.67628,(11),378.724,(14),none
12,248.594,(42),496.545,3.05035,(15),345.639,(17),none
13,301.167,(46),434.22,2.57363,(18),451.782,(11),none
14,485.88,(57),369.673,8.26443,(5),132.521,(52),none
15,236.527,(40),355.753,1.47821,(22),568.219,(8),none
16,477.179,(56),314.937,6.13751,(7),139.205,(47),none
17,216.251,(36),274.97,1.34463,(25),497.392,(10),none
18,339.619,(49),255.201,3.68088,(10),198.596,(35),none
19,184.618,(31),230.067,0.945008,(32),569.698,(7),none
20,327.849,(48),208.803,3.5229,(12),143.419,(46),none
21,204.845,(33),180.986,1.13815,(30),359.095,(16),none
22,271.223,(43),174.352,2.50146,(19),172.591,(38),none
23,303.793,(47),156.574,2.59754,(17),212.621,(32),none
24,241.171,(41),150.211,1.79355,(21),189.577,(37),none
25,148.382,(20),133.533,0.955141,(31),359.932,(15),none
26,230.512,(39),117.452,1.44173,(23),216.01,(30),none
27,150.272,(21),116.39,0.711088,(36),386.496,(13),none
28,228.848,(38),105.277,1.24965,(28),217.647,(29),none
29,279.972,(44),101.742,2.15756,(20),124.501,(53),none
30,225.394,(37),90.8246,1.40516,(24),160.371,(40),none
31,202.391,(32),75.6468,1.14289,(29),153.359,(42),none
32,157.184,(24),74.6599,0.62699,(38),277.951,(20),none
33,208.436,(34),73.5095,1.28627,(27),133.559,(50),none
34,128.797,(12),65.3435,0.575792,(39),256.698,(26),none
35,160.996,(25),58.2789,0.71468,(35),213.453,(31),none
36,214.531,(35),54.3906,1.32847,(26),119.292,(56),none
37,137.913,(16),52.9026,0.529481,(43),229.915,(28),none
38,135.648,(15),51.1783,0.448142,(50),269.589,(22),none
39,176.679,(29),47.1738,0.930682,(33),121.451,(54),none
40,140.711,(18),44.6488,0.495179,(46),276.953,(21),none
41,168.122,(28),43.8252,0.690773,(37),151.941,(44),none
42,134.765,(14),43.0823,0.455601,(48),260.358,(25),none
43,183.048,(30),40.6262,0.727996,(34),152.696,(43),none
44,117.276,(8),36.9603,0.444403,(51),209.504,(33),none
45,140.1,(17),34.6843,0.472178,(47),412.079,(12),none
46,153.81,(22),34.4516,0.559343,(41),147.141,(45),none
47,132.138,(13),29.4875,0.51203,(45),132.869,(51),none
48,116.326,(7),29.2429,0.375914,(56),198.173,(36),none
49,114.429,(6),28.9865,0.34984,(58),202.986,(34),none
50,144.473,(19),26.4325,0.526644,(44),119.223,(57),none
51,154.889,(23),24.7715,0.559371,(40),102.299,(62),none
52,164.68,(26),24.3858,0.537066,(42),268.117,(23),none
53,118.516,(9),22.0632,0.39701,(54),138.612,(48),none
54,106.061,(3),20.3842,0.290649,(59),169.706,(39),none
55,125.441,(10),18.977,0.41676,(52),105.083,(60),none
56,126.272,(11),15.8233,0.370611,(57),120.577,(55),none
57,106.812,(4),15.1343,0.400689,(53),106.657,(59),none
58,113.749,(5),14.2561,0.376242,(55),104.018,(61),none
59,88.983,(2),13.9478,0.279392,(60),154.91,(41),none
60,81.6913,(1),7.94594,0.222409,(61),136.977,(49),none
61,73.6508,(0),7.62578,0.197067,(62),107.867,(58),none
62,165.027,(27),5.63929,0.452059,(49),236.476,(27),none
