Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,2144.32,(65),1596120.0,25577.4,(0),16.2243,(0),none
1,801.487,(64),176257.0,620.077,(1),6.75024,(4),none
2,421.65,(63),82971.2,133.133,(2),8.56859,(3),none
3,293.392,(62),15024.8,79.1999,(4),1.23311,(8),none
4,188.483,(60),997.76,13.0667,(6),1.61017,(6),none
5,158.095,(59),974.869,23.4226,(5),0.23991,(23),none
6,225.673,(61),715.615,83.0111,(3),0.282745,(21),none
7,137.579,(57),305.017,8.25392,(9),0.551938,(14),none
8,127.19,(56),260.77,7.9476,(10),0.418761,(17),none
9,149.249,(58),129.192,11.2946,(7),0.217499,(25),none
10,119.595,(55),118.633,6.94014,(13),0.227828,(24),none
11,86.98,(50),101.613,4.20174,(15),0.41481,(18),none
12,109.008,(54),69.6167,10.3714,(8),0.0599513,(46),none
13,75.3879,(46),45.8106,7.07352,(12),0.0424788,(53),none
14,80.9238,(47),45.2543,2.78595,(19),0.301337,(20),none
15,91.5398,(51),43.0111,2.46092,(20),0.497303,(15),none
16,83.8528,(49),31.9011,1.36126,(24),1.35196,(7),none
17,70.1376,(45),16.4382,3.33237,(17),0.0477697,(50),none
18,62.8473,(40),14.5433,0.899647,(28),1.18969,(9),none
19,97.8773,(52),13.5974,7.55313,(11),0.062784,(44),none
20,83.0145,(48),11.5033,0.279412,(53),9.3124,(1),none
21,58.4317,(37),11.3393,2.85531,(18),0.0638603,(41),none
22,102.413,(53),11.3204,4.66834,(14),0.0609248,(45),none
23,61.6475,(39),10.9242,0.950474,(27),0.915631,(12),none
24,64.4209,(41),6.86469,1.06925,(26),0.269456,(22),none
25,56.4614,(35),3.99698,0.65911,(36),0.177871,(27),none
26,61.074,(38),3.41419,0.160768,(59),8.80206,(2),none
27,57.3962,(36),2.89649,0.849848,(29),0.0884113,(37),none
28,50.7409,(30),2.32802,0.663439,(35),0.0961199,(34),none
29,68.3104,(44),2.17064,0.592361,(38),0.145939,(29),none
30,55.6242,(34),2.13029,0.546451,(42),0.117965,(31),none
31,51.6924,(31),1.94633,1.52235,(23),0.0242374,(60),none
32,43.1506,(17),1.74821,0.783718,(31),0.0302462,(59),none
33,49.85,(29),1.65886,0.303304,(52),0.375328,(19),none
34,49.4523,(28),1.56727,0.592174,(39),0.0967392,(33),none
35,40.3436,(12),1.54286,0.678713,(34),0.0401315,(55),none
36,41.8051,(15),1.40419,0.604258,(37),0.0410646,(54),none
37,67.1435,(43),1.35975,1.79859,(22),0.0521282,(49),none
38,44.9626,(21),1.34039,0.836221,(30),0.0230684,(61),none
39,42.3813,(16),1.19905,0.581274,(40),0.0370131,(57),none
40,46.0242,(22),1.03404,0.52101,(43),0.04294,(52),none
41,43.7916,(18),1.02096,0.328275,(50),0.106048,(32),none
42,65.6022,(42),0.999642,1.28092,(25),0.0917316,(35),none
43,37.7454,(3),0.906965,0.32171,(51),0.119967,(30),none
44,53.9407,(33),0.867533,2.29946,(21),0.0164159,(65),none
45,52.858,(32),0.858375,0.378866,(48),0.0736108,(40),none
46,38.5194,(6),0.841413,0.272516,(54),0.174466,(28),none
47,37.197,(1),0.787119,0.421266,(45),0.0553621,(48),none
48,47.2771,(24),0.737873,0.751108,(32),0.0185118,(64),none
49,41.1028,(14),0.679371,0.366498,(49),0.0555127,(47),none
50,44.5104,(20),0.629205,0.477117,(44),0.0355038,(58),none
51,48.0468,(25),0.571653,0.728061,(33),0.0220658,(63),none
52,38.0346,(4),0.565549,0.201843,(57),0.197074,(26),none
53,44.0542,(19),0.543698,0.106339,(61),0.49669,(16),none
54,39.889,(11),0.517622,0.0802166,(63),0.871455,(13),none
55,46.474,(23),0.501628,0.572327,(41),0.0225871,(62),none
56,38.9221,(7),0.496516,0.42125,(46),0.0394902,(56),none
57,39.6389,(10),0.479395,0.236888,(55),0.0899993,(36),none
58,40.9054,(13),0.456653,0.233737,(56),0.0805897,(39),none
59,38.2064,(5),0.449989,0.0887734,(62),0.984379,(11),none
60,48.6725,(26),0.384359,0.397012,(47),0.0630035,(43),none
61,48.9984,(27),0.376161,0.0627468,(64),1.14891,(10),none
62,39.2381,(8),0.218171,0.196057,(58),0.0477408,(51),none
63,37.5007,(2),0.211439,0.028883,(65),3.55186,(5),none
64,39.4304,(9),0.185807,0.150022,(60),0.0634327,(42),none
65,36.8966,(0),0.0,3.93136,(16),0.0860324,(38),none
