Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,489.118,(121),6446950.0,177699.0,(0),12.3766,(5),none
1,203.832,(120),33446.3,224.388,(1),4.58577,(54),none
2,189.361,(119),1324.51,8.49473,(7),14.488,(3),none
3,98.8991,(115),626.187,10.4425,(6),1.26055,(103),none
4,109.302,(116),418.541,27.1795,(2),4.11498,(58),none
5,90.6932,(113),382.587,4.63241,(9),4.71064,(52),none
6,96.2338,(114),299.688,1.95222,(14),3.50378,(69),none
7,70.1451,(108),284.337,3.52736,(12),0.772433,(114),none
8,86.4813,(112),251.464,4.00469,(10),2.84287,(82),none
9,162.04,(118),242.674,25.0691,(3),8.64171,(15),none
10,137.631,(117),183.381,23.7312,(4),6.61414,(33),none
11,58.5952,(101),120.99,1.80536,(16),0.591247,(120),none
12,79.3893,(111),115.243,6.4788,(8),6.81162,(28),none
13,75.3368,(110),63.8983,3.88129,(11),3.62539,(66),none
14,47.8357,(90),45.8477,1.39802,(20),3.06921,(75),none
15,56.5338,(99),39.2953,0.908348,(26),1.61804,(97),none
16,53.0559,(96),34.0321,1.2872,(22),2.00118,(95),none
17,57.4465,(100),33.5535,0.675857,(30),11.6563,(6),none
18,73.4626,(109),32.9929,1.68773,(18),3.62286,(67),none
19,67.0182,(106),28.3692,1.85625,(15),6.49861,(35),none
20,62.1388,(104),24.4899,1.55886,(19),2.98872,(77),none
21,50.343,(93),23.3393,1.77484,(17),3.14765,(73),none
22,69.2174,(107),22.0136,0.233392,(61),53.206,(0),none
23,44.8588,(86),18.8445,0.940454,(24),7.80806,(20),none
24,46.0046,(87),16.8143,0.395402,(44),0.709078,(116),none
25,49.6571,(92),16.6051,0.649433,(32),1.08262,(108),none
26,60.2713,(102),15.159,0.727235,(29),2.34973,(87),none
27,32.8308,(53),14.8331,0.438791,(37),18.745,(1),none
28,55.8417,(98),14.0346,0.476623,(36),13.9907,(4),none
29,43.8338,(84),12.9413,0.433529,(38),1.10403,(107),none
30,61.0856,(103),11.9106,0.91486,(25),3.8091,(62),none
31,32.4572,(52),11.7963,0.430156,(39),0.826716,(111),none
32,40.4839,(78),10.3513,0.890636,(27),2.12585,(93),none
33,63.7989,(105),9.67193,3.04147,(13),6.23643,(38),none
34,49.3799,(91),9.41503,0.190963,(76),2.30759,(88),none
35,32.9495,(54),8.76613,0.3474,(46),0.64429,(117),none
36,52.2306,(94),8.12359,0.420397,(42),3.41507,(71),none
37,43.1645,(83),7.92387,0.546889,(34),7.06946,(26),none
38,36.3921,(66),7.39561,0.336018,(49),3.4176,(70),none
39,32.1639,(51),6.81742,0.248099,(58),0.964003,(109),none
40,35.8172,(64),6.34573,0.34464,(47),1.86462,(96),none
41,38.8638,(73),6.25809,0.567767,(33),7.75538,(21),none
42,36.8713,(68),5.91968,0.421264,(41),0.595611,(119),none
43,40.1738,(77),5.69829,0.266734,(56),1.59084,(98),none
44,46.6259,(89),5.02691,1.11615,(23),4.99665,(50),none
45,42.1878,(81),4.8052,0.764651,(28),7.40339,(25),none
46,34.6481,(61),4.75279,0.230863,(62),0.815722,(112),none
47,33.8462,(58),4.62496,0.21764,(65),2.20062,(90),none
48,34.1902,(60),4.39985,0.391123,(45),2.50208,(86),none
49,44.29,(85),3.92707,0.513767,(35),3.8496,(61),none
50,52.7093,(95),3.84007,0.228336,(64),9.74226,(10),none
51,27.6926,(25),3.83665,0.316777,(52),1.18349,(104),none
52,39.8956,(76),3.76245,0.217375,(66),3.64767,(65),none
53,34.8959,(62),3.68635,0.675461,(31),4.22692,(57),none
54,29.9269,(38),3.53568,0.290613,(54),2.03904,(94),none
55,29.6244,(37),3.23816,0.270124,(55),2.24729,(89),none
56,31.5649,(47),3.16022,0.188891,(77),2.94314,(79),none
57,38.5281,(72),3.15829,0.296919,(53),3.77432,(63),none
58,28.6102,(31),2.98484,0.182856,(79),0.836769,(110),none
59,35.6213,(63),2.85189,0.153689,(85),3.92213,(60),none
60,29.3587,(36),2.82408,0.238059,(60),1.10592,(106),none
61,39.5153,(74),2.70867,0.111254,(93),1.52115,(100),none
