Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,3275.88,(147),23434200.0,33037.0,(0),170.111,(8),none
1,1321.18,(146),1241440.0,413.106,(1),293.594,(3),none
2,802.404,(145),548160.0,349.766,(2),36.9837,(22),none
3,601.526,(143),50827.4,75.2351,(4),48.2986,(19),none
4,679.833,(144),31790.4,24.242,(7),440.15,(2),none
5,525.173,(142),9951.82,45.8871,(5),23.9839,(31),none
6,380.977,(139),3647.83,84.0824,(3),5.3277,(120),none
7,456.936,(140),2690.12,16.498,(10),481.768,(1),none
8,482.921,(141),2106.78,45.6526,(6),12.4396,(55),none
9,209.729,(119),984.39,3.91698,(22),31.6992,(26),none
10,354.704,(137),851.25,8.45429,(14),14.2342,(45),none
11,264.836,(130),836.515,17.9783,(9),3.98675,(144),none
12,360.086,(138),768.429,8.03905,(16),284.35,(4),none
13,246.665,(127),612.444,4.76266,(20),16.8382,(37),none
14,233.508,(125),555.803,9.77241,(13),6.69742,(94),none
15,307.231,(134),290.41,21.1122,(8),4.0534,(142),none
16,196.68,(115),251.108,3.91602,(23),9.30676,(64),none
17,203.532,(118),248.129,3.72247,(25),14.4482,(43),none
18,289.235,(132),236.389,11.0159,(12),4.35727,(137),none
19,227.489,(124),220.733,1.91564,(35),28.7349,(27),none
20,214.504,(120),220.062,1.14261,(49),54.8145,(16),none
21,340.13,(136),211.887,11.7233,(11),6.50734,(98),none
22,161.482,(104),183.352,5.60609,(19),6.31328,(100),none
23,255.14,(129),179.851,4.1513,(21),8.41123,(70),none
24,102.658,(52),177.275,1.9819,(33),150.958,(9),none
25,280.82,(131),176.117,1.55232,(39),50.0623,(17),none
26,331.534,(135),161.148,5.6189,(18),8.60623,(67),none
27,128.176,(82),138.215,0.517618,(83),14.4145,(44),none
28,241.663,(126),123.055,0.747005,(69),196.744,(6),none
29,187.885,(113),122.602,6.52307,(17),6.41173,(99),none
30,169.156,(105),110.878,2.6477,(31),7.38249,(86),none
31,251.078,(128),107.854,1.5637,(38),26.0074,(28),none
32,221.959,(122),80.2217,2.90245,(29),9.24801,(65),none
33,173.796,(107),76.6605,2.68389,(30),5.4177,(119),none
34,195.16,(114),75.886,1.23628,(46),139.67,(10),none
35,101.217,(51),71.9275,1.78681,(36),3.65643,(145),none
36,149.558,(98),70.7874,2.45854,(32),4.02672,(143),none
37,186.18,(112),62.0337,1.60769,(37),7.46862,(83),none
38,217.814,(121),57.5592,3.90945,(24),6.69426,(95),none
39,182.641,(110),54.8437,1.53466,(40),16.2323,(40),none
40,86.0492,(29),51.6974,1.36358,(43),6.99132,(92),none
41,299.436,(133),49.0495,3.45658,(27),6.14282,(106),none
42,143.532,(94),42.2954,1.35156,(44),5.98963,(109),none
43,202.073,(117),41.8336,0.991444,(52),15.3073,(41),none
44,146.879,(97),39.5707,0.80049,(62),16.4848,(39),none
45,183.866,(111),39.3235,0.937661,(58),176.563,(7),none
46,177.001,(108),36.8972,3.59964,(26),6.25147,(101),none
47,170.996,(106),30.6699,0.970898,(55),12.7637,(53),none
48,131.535,(85),29.1817,1.24957,(45),5.9721,(110),none
49,200.021,(116),26.9008,0.505902,(85),46.8878,(20),none
50,225.226,(123),26.6164,0.435942,(94),129.578,(12),none
51,142.089,(93),23.5076,0.627329,(76),11.5653,(58),none
52,107.883,(57),22.4013,1.44165,(42),5.12836,(124),none
53,133.565,(86),20.7579,0.788888,(64),5.21687,(122),none
54,139.797,(91),20.5924,0.934271,(59),7.47068,(82),none
55,87.8624,(30),20.3947,0.371731,(104),6.24064,(102),none
56,103.096,(53),18.989,0.60388,(78),5.65979,(116),none
57,76.0715,(3),18.4457,0.600998,(79),7.9795,(74),none
58,91.1031,(36),18.0698,0.681426,(73),5.60051,(117),none
59,91.9299,(37),17.7581,0.910998,(60),7.04051,(91),none
60,93.4953,(39),17.0984,0.207629,(123),16.5157,(38),none
61,120.749,(74),16.4874,1.16403,(48),4.41273,(135),none
62,103.902,(54),15.7531,0.343982,(108),13.2917,(50),none
63,100.097,(50),15.4923,0.32006,(112),24.122,(30),none
64,94.0329,(40),14.3392,0.343478,(109),7.42339,(84),none
65,155.134,(102),13.9081,3.36892,(28),4.62341,(131),none
66,128.987,(83),13.7142,0.77647,(68),4.80193,(127),none
67,97.1894,(45),13.4727,0.486777,(88),4.20759,(141),none
68,112.821,(63),12.7631,0.205509,(124),49.0749,(18),none
69,104.812,(55),12.724,0.666724,(74),2.74458,(147),none
70,93.0161,(38),12.352,0.219908,(122),23.6291,(32),none
71,130.194,(84),12.0953,0.982493,(53),4.54058,(133),none
72,96.3198,(44),11.6094,0.39249,(102),14.1429,(46),none
73,119.7,(73),11.5577,0.463861,(89),7.99423,(73),none
74,76.9261,(4),11.5393,0.39373,(101),5.83473,(113),none
75,181.13,(109),11.5069,1.04831,(51),10.5031,(61),none
76,82.3654,(21),11.4732,0.529604,(82),4.57179,(132),none
77,80.6746,(15),10.9273,0.514486,(84),6.72582,(93),none
78,78.6134,(10),10.8843,0.614993,(77),7.83673,(76),none
79,117.922,(71),10.837,0.494724,(87),4.30841,(139),none
80,90.2046,(35),10.4726,0.55964,(81),7.15992,(88),none
81,126.965,(80),10.3416,0.432599,(95),20.0902,(34),none
82,138.211,(90),9.80703,0.791646,(63),7.96459,(75),none
83,75.4225,(2),9.39113,0.50083,(86),6.14316,(105),none
84,105.46,(56),9.34835,1.97819,(34),3.45744,(146),none
85,84.3999,(26),8.90402,0.580968,(80),4.35291,(138),none
86,109.506,(58),8.85775,0.22094,(121),21.5583,(33),none
87,98.5348,(48),8.7382,0.463736,(90),5.18693,(123),none
88,151.371,(99),8.68634,0.96632,(56),5.82062,(114),none
89,140.961,(92),8.68182,0.429973,(96),12.8422,(52),none
90,110.089,(59),8.64797,0.282829,(114),7.06844,(89),none
91,95.1493,(42),7.40826,0.702128,(71),6.03815,(108),none
92,94.5368,(41),6.96404,0.327037,(111),6.51974,(97),none
93,153.559,(101),6.78667,0.439455,(93),8.33226,(71),none
94,97.6681,(46),6.75403,0.421032,(98),7.7828,(78),none
95,158.61,(103),6.28869,1.4919,(41),6.16005,(104),none
96,88.7446,(32),6.27708,0.426454,(97),5.77227,(115),none
97,82.9883,(22),6.26041,0.228642,(120),10.2913,(62),none
98,113.368,(64),6.19634,0.123759,(137),64.3304,(15),none
99,122.627,(76),5.91096,1.1196,(50),4.68421,(129),none
100,134.584,(87),5.5446,1.18193,(47),4.27744,(140),none
101,89.2483,(33),5.4248,0.447442,(92),6.21785,(103),none
102,115.448,(68),5.39114,0.976997,(54),4.39294,(136),none
103,118.503,(72),5.34737,0.783972,(66),4.84747,(126),none
104,77.6202,(6),5.28163,0.164275,(130),11.7544,(57),none
105,88.2348,(31),5.23025,0.204904,(125),7.81368,(77),none
106,98.0094,(47),4.86007,0.253948,(115),84.559,(14),none
107,81.974,(20),4.49425,0.148191,(132),13.6544,(48),none
108,117.159,(70),4.47247,0.141896,(134),35.1672,(24),none
109,79.4906,(11),4.14777,0.167713,(129),7.37984,(87),none
110,136.213,(88),3.97462,0.943123,(57),5.28529,(121),none
111,99.0495,(49),3.96271,0.823284,(61),6.05096,(107),none
112,110.662,(60),3.92523,0.636639,(75),4.79007,(128),none
113,80.3698,(14),3.87137,0.145945,(133),9.13655,(66),none
114,112.256,(62),3.82392,0.334918,(110),12.2048,(56),none
115,145.073,(95),3.67094,0.23859,(119),12.6659,(54),none
116,77.9207,(7),3.59077,0.10192,(142),13.4872,(49),none
117,145.677,(96),3.51442,0.699363,(72),7.70022,(79),none
118,152.795,(100),3.50537,0.189753,(128),33.5778,(25),none
119,114.769,(67),3.49905,0.352088,(107),5.57952,(118),none
120,125.147,(78),3.2801,0.782378,(67),7.55652,(80),none
121,83.6006,(24),3.0537,0.251723,(116),4.68297,(130),none
122,114.035,(66),2.81105,0.41753,(99),4.53722,(134),none
123,83.9751,(25),2.77801,0.121898,(138),13.2046,(51),none
124,126.338,(79),2.49276,0.404342,(100),10.6937,(59),none
125,89.8968,(34),2.47755,0.134623,(135),8.19292,(72),none
126,80.0967,(13),2.35008,0.112823,(140),17.3005,(36),none
127,81.7292,(19),2.08959,0.100816,(143),10.5298,(60),none
128,81.3767,(17),2.02831,0.0723689,(144),133.259,(11),none
129,83.363,(23),1.988,0.0655549,(145),35.4807,(23),none
130,113.635,(65),1.86815,0.15413,(131),25.989,(29),none
131,85.6074,(28),1.83726,0.246215,(117),8.60447,(68),none
132,95.9478,(43),1.81525,0.196792,(127),9.65114,(63),none
133,85.061,(27),1.7894,0.383231,(103),5.84453,(112),none
134,77.3621,(5),1.68751,0.108602,(141),14.8515,(42),none
135,78.3147,(9),1.57949,0.201699,(126),7.04991,(90),none
136,111.482,(61),1.44479,0.462752,(91),7.38302,(85),none
137,121.951,(75),1.42377,0.12961,(136),18.09,(35),none
138,79.7107,(12),1.35985,0.241976,(118),7.5298,(81),none
139,116.663,(69),1.10589,0.285279,(113),8.49847,(69),none
140,137.533,(89),1.05983,0.361325,(105),6.57983,(96),none
141,123.969,(77),1.02763,0.788061,(65),5.93537,(111),none
142,81.5291,(18),0.961169,0.0522923,(146),38.9217,(21),none
143,78.1031,(8),0.34884,0.0295701,(147),90.3243,(13),none
144,0.56526,(0),0.160134,0.71935,(70),5.03788,(125),none
145,75.1503,(1),0.0,8.19893,(15),14.1063,(47),none
146,81.2705,(16),0.0,0.119763,(139),240.356,(5),none
147,127.689,(81),0.0,0.356104,(106),847.508,(0),none
