Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1516.75,(75),18113100.0,134816.0,(0),10.527,(31),none
1,594.384,(74),82707.4,267.616,(1),9.4781,(40),none
2,473.745,(73),6119.39,63.9188,(6),9.88642,(36),none
3,277.142,(66),2511.06,9.42581,(13),22.1593,(7),none
4,244.417,(65),2369.48,26.5731,(8),10.1195,(34),none
5,393.573,(72),1512.67,70.708,(5),6.92713,(64),none
6,314.218,(69),944.63,33.4019,(7),6.12815,(68),none
7,300.301,(68),676.138,20.4884,(9),5.52139,(71),none
8,195.78,(60),416.191,18.5294,(10),5.3815,(72),none
9,353.262,(70),380.063,5.85871,(15),13.2001,(23),none
10,159.703,(49),310.837,6.12274,(14),9.07827,(44),none
11,284.537,(67),292.254,1.20767,(40),193.944,(1),none
12,167.152,(51),262.378,2.69608,(24),15.7546,(15),none
13,362.97,(71),231.508,16.2678,(11),7.54614,(56),none
14,145.949,(46),195.151,4.94879,(17),7.72989,(54),none
15,171.633,(52),177.293,1.28521,(39),17.2246,(14),none
16,152.124,(47),155.021,4.36624,(18),7.5009,(57),none
17,104.331,(15),116.656,1.36018,(37),90.6893,(2),none
18,26.8127,(2),114.031,71.9385,(4),18.5619,(11),none
19,129.571,(39),113.761,2.73849,(23),4.59214,(75),none
20,127.078,(37),89.4982,1.89498,(29),29.8115,(6),none
21,188.045,(57),86.9367,3.62913,(22),7.09564,(62),none
22,120.311,(32),75.4771,1.1739,(42),13.9331,(18),none
23,216.991,(61),59.755,5.80885,(16),7.31027,(59),none
24,156.373,(48),57.0186,1.54663,(32),13.7792,(19),none
25,184.643,(56),52.7662,1.5321,(33),10.7595,(30),none
26,180.387,(55),46.7695,3.76081,(21),6.60576,(66),none
27,122.551,(33),46.5501,1.31444,(38),6.84984,(65),none
28,125.69,(36),45.5872,1.93748,(28),12.4518,(24),none
29,165.988,(50),43.7762,0.953793,(48),11.4884,(28),none
30,103.079,(14),38.8958,1.37058,(36),7.55001,(55),none
31,116.165,(29),37.4892,1.43838,(35),7.39161,(58),none
32,99.6963,(9),24.2161,0.344303,(65),13.7737,(20),none
33,173.941,(53),22.7294,4.23966,(19),4.65564,(74),none
34,228.012,(64),21.3013,13.2221,(12),8.13719,(50),none
35,141.673,(44),20.4095,2.40935,(25),9.37787,(41),none
36,144.602,(45),20.2577,0.49895,(61),18.1284,(12),none
37,104.915,(16),19.2572,0.562606,(58),6.01878,(69),none
38,100.203,(10),18.506,1.03798,(44),10.4369,(32),none
39,112.024,(24),16.2139,0.950552,(49),8.8942,(47),none
40,102.043,(12),16.1921,0.36441,(64),19.641,(10),none
41,118.783,(31),16.0779,1.02484,(45),12.0212,(27),none
42,191.504,(58),15.3917,0.791574,(53),14.3184,(17),none
43,110.283,(22),15.3229,0.867404,(52),13.2501,(22),none
44,192.902,(59),14.5455,0.30728,(67),86.4745,(3),none
45,93.6448,(3),13.4635,0.72153,(54),9.22402,(43),none
46,132.054,(40),13.1927,2.19103,(26),5.79164,(70),none
47,127.989,(38),12.8933,0.109741,(74),390.046,(0),none
48,178.097,(54),12.1886,1.06067,(43),7.25644,(60),none
49,114.68,(27),10.4031,0.505036,(60),12.1204,(26),none
50,96.2475,(6),10.3196,0.624379,(57),9.02723,(45),none
51,94.5581,(4),9.73772,1.17673,(41),11.1127,(29),none
52,111.497,(23),8.61429,0.180443,(69),19.962,(9),none
53,134.502,(41),8.21764,3.93006,(20),7.03606,(63),none
54,139.772,(43),8.2005,1.45021,(34),8.22902,(49),none
55,102.693,(13),7.99547,0.174441,(70),20.4062,(8),none
56,101.495,(11),7.68509,0.325815,(66),14.366,(16),none
57,97.4349,(8),7.03711,1.8718,(30),9.57602,(37),none
58,117.786,(30),6.9103,0.718031,(55),9.35494,(42),none
59,115.409,(28),6.61473,0.160708,(71),40.552,(4),none
60,113.281,(25),6.28406,0.455508,(62),8.90175,(46),none
61,109.116,(21),6.27819,0.924823,(50),9.89489,(35),none
62,105.598,(17),5.6879,0.975683,(47),6.21493,(67),none
63,108.101,(20),4.77034,0.70624,(56),9.53677,(38),none
64,138.915,(42),3.50277,0.264766,(68),13.4508,(21),none
65,113.947,(26),3.29838,0.375832,(63),12.3372,(25),none
66,221.765,(62),2.46632,1.69774,(31),7.82358,(53),none
67,225.265,(63),2.2013,2.17334,(27),7.93376,(52),none
68,97.1012,(7),2.13183,0.155921,(72),9.51911,(39),none
69,95.9303,(5),1.71829,0.0759732,(75),38.818,(5),none
70,106.79,(18),1.57898,0.984378,(46),8.57198,(48),none
71,123.522,(34),0.866136,0.878525,(51),7.94001,(51),none
72,107.694,(19),0.836081,0.154962,(73),17.8698,(13),none
73,124.773,(35),0.7498,0.562581,(59),10.2185,(33),none
74,0.559082,(0),0.0,92.9309,(2),4.98487,(73),none
75,1.69578,(1),0.0,92.255,(3),7.19778,(61),none
