Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,568.832,(119),71540.4,1790.19,(0),0.511685,(19),none
1,296.873,(118),16092.5,96.7732,(1),0.971589,(12),none
2,216.739,(117),5571.56,41.5132,(2),0.791173,(15),none
3,184.119,(116),926.295,26.9412,(4),0.257759,(28),none
4,163.32,(115),776.88,32.1676,(3),0.183983,(38),none
5,137.694,(114),144.986,2.8569,(14),3.81309,(3),none
6,108.917,(111),96.6029,11.1795,(5),0.0572292,(73),none
7,122.097,(112),90.8346,9.97555,(6),0.111754,(48),none
8,95.4179,(108),54.9434,4.85785,(9),0.146187,(42),none
9,87.1696,(106),52.7572,3.01211,(13),0.462297,(20),none
10,92.1115,(107),47.7864,3.63109,(11),0.292816,(26),none
11,129.099,(113),38.048,9.62612,(7),0.234611,(31),none
12,82.4536,(104),25.6449,3.56538,(12),0.118536,(46),none
13,85.3068,(105),20.583,0.908245,(28),1.33926,(10),none
14,70.9272,(100),18.0812,2.83744,(15),0.0671373,(62),none
15,99.7102,(109),16.1057,1.1591,(24),0.640648,(17),none
16,75.4928,(101),14.5811,5.0932,(8),0.0285293,(94),none
17,78.5429,(102),13.1868,2.3939,(16),0.0749313,(59),none
18,102.522,(110),12.9204,4.22997,(10),0.104564,(52),none
19,68.0429,(99),10.2533,1.96703,(19),0.0846686,(58),none
20,63.8951,(95),9.33914,1.00663,(26),0.388216,(23),none
21,80.6796,(103),7.96066,0.426904,(42),1.52956,(8),none
22,66.6387,(98),7.17439,1.45607,(21),0.138856,(44),none
23,64.8288,(96),6.43299,0.442956,(40),1.80813,(7),none
24,61.4639,(94),6.04084,2.30402,(17),0.0388441,(88),none
25,54.6392,(87),5.12572,1.91083,(20),0.0689174,(60),none
26,65.3937,(97),4.97278,0.318405,(56),2.28391,(4),none
27,58.034,(91),4.44216,1.29936,(22),0.0650206,(64),none
28,52.0598,(85),4.07995,1.02009,(25),0.128699,(45),none
29,55.5874,(88),3.47906,0.606101,(34),0.250673,(29),none
30,59.1055,(92),3.43518,1.16269,(23),0.0530913,(78),none
31,56.5688,(89),2.99127,0.629197,(33),0.261235,(27),none
32,52.9908,(86),2.7255,0.352354,(50),1.27822,(11),none
33,60.5645,(93),2.25119,0.977057,(27),0.0491985,(82),none
34,45.1738,(72),1.63844,0.510564,(37),0.14123,(43),none
35,56.9136,(90),1.636,0.204513,(69),0.839495,(14),none
36,51.4697,(84),1.58254,0.261927,(63),0.461813,(21),none
37,45.6005,(73),1.40657,0.366491,(47),0.221032,(32),none
38,44.3271,(71),1.19528,0.580888,(35),0.0592403,(70),none
39,43.749,(70),1.01586,0.875721,(29),0.0220786,(100),none
40,46.249,(74),0.984733,0.461592,(39),0.104599,(51),none
41,46.9428,(77),0.948329,0.233414,(66),0.242292,(30),none
42,48.9848,(81),0.941516,1.97476,(18),0.0124969,(114),none
43,50.9692,(83),0.730328,0.326747,(52),0.107466,(50),none
44,41.2038,(65),0.699319,0.320289,(53),0.0673454,(61),none
45,46.6707,(76),0.681381,0.318508,(55),0.092741,(54),none
46,42.8341,(68),0.494835,0.335976,(51),0.044393,(84),none
47,43.0713,(69),0.473906,0.157062,(80),0.155082,(41),none
48,47.4903,(79),0.432772,0.320229,(54),0.0961119,(53),none
49,50.7215,(82),0.432289,0.389661,(46),0.0608539,(68),none
50,38.0251,(55),0.413943,0.552684,(36),0.0105375,(118),none
51,34.1539,(37),0.402663,0.39871,(45),0.0296063,(93),none
52,41.9474,(66),0.400021,0.858103,(30),0.0104673,(119),none
53,40.7566,(64),0.353801,0.227268,(67),0.0561027,(74),none
54,39.1411,(59),0.351956,0.422035,(43),0.0155552,(109),none
55,39.7605,(61),0.345202,0.281939,(61),0.051039,(79),none
56,38.5374,(56),0.342994,0.353583,(49),0.0165188,(107),none
57,40.1151,(62),0.330959,0.26185,(64),0.0330711,(89),none
58,36.2494,(48),0.328123,0.190843,(73),0.0629428,(66),none
59,37.1584,(51),0.299868,0.159379,(79),0.0880821,(55),none
60,42.343,(67),0.297441,0.286338,(59),0.025445,(97),none
61,33.3193,(33),0.297133,0.195113,(72),0.0649873,(65),none
62,35.8266,(47),0.293463,0.489095,(38),0.0114328,(116),none
63,36.6708,(49),0.289102,0.44026,(41),0.0155294,(110),none
64,32.6916,(30),0.235402,0.265412,(62),0.0205228,(102),none
65,48.1743,(80),0.212233,0.686323,(32),0.0186917,(105),none
66,37.2842,(52),0.206352,0.07798,(97),0.198376,(36),none
67,33.8514,(36),0.19311,0.0912623,(91),0.212934,(33),none
68,36.9036,(50),0.184914,0.142477,(83),0.0583699,(71),none
69,47.1934,(78),0.184312,0.0279069,(110),6.56385,(2),none
70,34.7795,(41),0.180064,0.30613,(57),0.0188553,(104),none
71,33.6702,(35),0.177679,0.180273,(75),0.0539167,(76),none
72,31.3562,(22),0.165801,0.201935,(70),0.0298221,(92),none
73,34.606,(40),0.161607,0.172219,(77),0.0398983,(87),none
74,35.4101,(45),0.161375,0.118974,(89),0.0543664,(75),none
75,31.813,(25),0.157846,0.356268,(48),0.0134898,(112),none
76,40.4625,(63),0.156862,0.413629,(44),0.016489,(108),none
77,32.3109,(29),0.154846,0.213314,(68),0.0211547,(101),none
78,30.7357,(17),0.150928,0.106543,(90),0.0857295,(56),none
79,38.7749,(57),0.150787,0.0671408,(103),0.111843,(47),none
80,33.5461,(34),0.147616,0.0837044,(96),0.172861,(39),none
81,37.4686,(53),0.145275,0.124895,(86),0.0572646,(72),none
82,29.3622,(7),0.144946,0.28804,(58),0.0141531,(111),none
83,28.7685,(3),0.143832,0.256385,(65),0.023838,(98),none
84,46.4327,(75),0.136717,0.0262202,(111),2.21983,(5),none
85,30.5475,(16),0.136572,0.118996,(88),0.0616593,(67),none
86,35.561,(46),0.135563,0.0757091,(98),0.085543,(57),none
87,37.5836,(54),0.133029,0.164816,(78),0.0317499,(90),none
88,35.1524,(43),0.132201,0.124531,(87),0.0492469,(81),none
89,35.2851,(44),0.130867,0.0838362,(95),0.0664147,(63),none
90,29.5786,(8),0.123808,0.14681,(82),0.0271512,(96),none
91,29.7867,(9),0.122982,0.177076,(76),0.0191807,(103),none
92,39.5643,(60),0.12161,0.0299361,(109),1.34179,(9),none
93,30.9965,(19),0.117276,0.138336,(84),0.0416261,(86),none
94,34.4165,(39),0.116034,0.0314365,(107),0.936051,(13),none
95,35.0399,(42),0.103772,0.0371763,(106),0.361329,(24),none
