Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,6395.19,(86),24182200.0,43088.0,(0),1067.41,(3),none
1,2749.08,(85),389618.0,567.869,(1),1212.71,(2),none
2,1578.86,(82),271758.0,542.762,(2),148.654,(6),none
3,2108.02,(83),216830.0,240.295,(3),6534.57,(0),none
4,1251.78,(81),31344.1,99.0434,(7),269.152,(4),none
5,1048.01,(80),29973.2,155.512,(4),69.621,(24),none
6,882.578,(79),24581.4,111.3,(6),57.7058,(29),none
7,769.967,(78),20668.6,53.8446,(9),110.535,(10),none
8,698.247,(77),6713.83,30.2137,(13),85.8945,(18),none
9,2176.11,(84),4914.27,42.2576,(10),5535.47,(1),none
10,588.012,(75),2104.42,30.7629,(12),23.0229,(67),none
11,631.999,(76),1572.16,61.9241,(8),19.8763,(69),none
12,547.436,(74),1187.72,14.8448,(15),40.1438,(52),none
13,502.673,(72),1085.95,38.7996,(11),13.4648,(79),none
14,329.671,(55),914.533,7.4048,(24),106.238,(11),none
15,332.907,(56),704.491,7.35344,(25),29.254,(63),none
16,455.395,(71),573.711,21.527,(14),13.0065,(80),none
17,374.578,(62),231.983,8.76505,(22),52.7907,(35),none
18,234.853,(29),216.91,2.49783,(47),40.2282,(51),none
19,381.204,(63),215.806,5.69481,(30),26.0941,(64),none
20,306.239,(50),199.185,3.3279,(38),50.88,(40),none
21,312.595,(51),174.945,1.71107,(59),104.891,(12),none
22,173.031,(17),165.225,8.6994,(23),56.5362,(30),none
23,368.815,(61),159.717,9.12854,(20),13.5401,(78),none
24,323.537,(54),155.553,2.69233,(44),42.9437,(48),none
25,342.788,(57),144.406,4.03303,(36),29.362,(61),none
26,408.516,(67),136.164,9.35009,(19),13.7004,(77),none
27,195.182,(22),119.738,10.5829,(17),76.2017,(22),none
28,231.137,(28),117.402,2.77447,(43),19.1189,(71),none
29,294.124,(48),105.166,6.66749,(26),15.2315,(75),none
30,282.337,(45),103.232,1.94943,(53),40.736,(50),none
31,239.773,(30),98.6302,1.63773,(60),40.0323,(53),none
32,531.47,(73),90.6782,5.71326,(29),36.7095,(55),none
33,265.399,(39),84.4967,1.59767,(61),37.0251,(54),none
34,215.989,(26),75.9309,9.62917,(18),89.729,(15),none
35,252.334,(35),75.915,2.08316,(51),33.1978,(56),none
36,276.335,(43),73.8864,4.3186,(33),16.5193,(74),none
37,247.159,(33),69.1604,4.06366,(35),19.9963,(68),none
38,261.354,(38),68.2047,1.85612,(54),31.3629,(60),none
39,256.716,(36),60.1921,3.26709,(40),17.7367,(72),none
40,182.677,(18),59.8851,5.06885,(31),66.8741,(26),none
41,358.039,(60),58.2241,9.09902,(21),11.2677,(83),none
42,258.419,(37),52.4759,3.27654,(39),33.1268,(57),none
43,206.982,(23),48.8563,2.43707,(48),87.2311,(17),none
44,397.971,(66),45.7214,3.05346,(41),29.3392,(62),none
45,319.796,(53),45.3,2.91245,(42),25.4584,(65),none
46,167.895,(15),42.1752,2.52074,(46),53.5479,(32),none
47,287.004,(46),40.3979,1.23992,(65),41.1691,(49),none
48,140.514,(4),39.4792,1.75633,(57),47.9357,(46),none
49,244.531,(32),39.3605,4.22789,(34),12.9058,(81),none
50,192.441,(21),37.1559,1.74927,(58),77.1903,(21),none
51,388.917,(64),36.7941,1.20521,(66),133.382,(7),none
52,212.077,(25),36.2877,2.17417,(49),89.3884,(16),none
53,303.428,(49),33.938,1.16978,(68),52.5663,(36),none
54,436.751,(70),32.0762,11.4128,(16),10.9798,(84),none
55,189.797,(20),31.0757,1.15133,(69),79.3746,(19),none
56,138.024,(3),28.8062,1.39348,(62),51.1378,(39),none
57,159.496,(12),28.4052,4.97123,(32),52.056,(37),none
58,170.618,(16),26.0148,0.958699,(72),59.6815,(28),none
59,151.202,(10),23.6055,5.76705,(28),49.8143,(42),none
60,147.124,(7),20.5792,1.8073,(55),49.5842,(43),none
61,270.298,(41),19.5927,1.33168,(63),23.7407,(66),none
62,420.178,(68),18.7371,2.64959,(45),19.6168,(70),none
63,142.527,(5),17.2975,2.13106,(50),48.2254,(44),none
64,166.135,(14),16.1565,0.461806,(83),68.0587,(25),none
65,268.36,(40),15.1001,0.880508,(76),32.0299,(59),none
66,279.098,(44),14.0596,0.985308,(71),32.449,(58),none
67,145.115,(6),13.3251,1.27074,(64),49.8701,(41),none
68,249.969,(34),12.0895,0.548666,(80),71.2352,(23),none
69,209.882,(24),11.5315,0.499183,(82),110.954,(9),none
70,393.037,(65),10.6368,0.944992,(73),124.585,(8),none
71,315.512,(52),10.3221,0.580266,(79),161.758,(5),none
72,188.077,(19),9.78207,0.735951,(77),78.417,(20),none
73,164.81,(13),8.71914,0.648055,(78),60.3655,(27),none
74,290.045,(47),8.5067,1.76972,(56),16.9848,(73),none
75,157.621,(11),7.9785,1.02152,(70),52.846,(33),none
