Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,756.809,(37),32738.5,41.7815,(0),2712.72,(0),none
1,591.879,(36),13711.1,18.719,(1),2148.05,(1),none
2,469.792,(35),3251.92,10.9034,(2),902.644,(4),none
3,264.333,(32),1877.27,2.84667,(5),1756.85,(3),none
4,242.306,(30),1615.51,2.0399,(7),2008.32,(2),none
5,225.478,(29),568.423,1.65839,(8),859.413,(5),none
6,355.52,(33),478.823,5.24081,(4),295.258,(14),none
7,254.077,(31),378.346,2.18422,(6),432.247,(10),none
8,432.725,(34),266.099,7.13249,(3),117.515,(32),none
9,190.142,(25),185.977,1.13558,(11),406.813,(11),none
10,145.14,(18),178.692,0.692393,(19),658.084,(6),none
11,137.264,(17),151.977,0.680706,(20),566.842,(7),none
12,198.752,(26),145.032,1.10707,(12),338.806,(12),none
13,212.108,(27),142.502,1.26983,(10),267.599,(15),none
14,166.823,(22),138.02,0.747871,(16),432.874,(9),none
15,154.464,(20),101.678,0.74693,(17),334.579,(13),none
16,216.214,(28),90.1961,1.28342,(9),165.111,(20),none
17,124.16,(16),86.8459,0.478018,(21),444.905,(8),none
18,151.897,(19),60.3797,0.854617,(14),186.777,(17),none
19,185.141,(24),58.7143,0.925077,(13),151.653,(22),none
20,113.363,(13),42.4229,0.437055,(23),247.023,(16),none
21,183.369,(23),37.2529,0.802478,(15),111.217,(33),none
22,159.213,(21),29.0786,0.702199,(18),104.582,(35),none
23,118.433,(14),25.0477,0.439011,(22),145.747,(23),none
24,104.997,(10),23.3381,0.316399,(26),175.096,(18),none
25,110.246,(12),18.7303,0.349391,(25),129.08,(27),none
26,83.7529,(4),17.9867,0.262806,(28),162.109,(21),none
27,120.418,(15),15.5124,0.366052,(24),106.386,(34),none
28,88.8029,(5),13.933,0.189633,(34),172.041,(19),none
29,94.8753,(7),12.9175,0.230738,(31),129.065,(28),none
30,96.7332,(8),12.8146,0.237344,(29),123.899,(30),none
31,82.0531,(3),11.9844,0.208122,(33),141.093,(24),none
32,89.9834,(6),11.1533,0.215476,(32),123.916,(29),none
33,97.2956,(9),10.5704,0.233641,(30),103.941,(37),none
34,107.17,(11),10.2407,0.278103,(27),139.888,(25),none
35,73.1473,(0),9.51242,0.15998,(35),133.817,(26),none
36,77.1399,(2),6.02333,0.13657,(36),103.96,(36),none
37,74.6472,(1),5.97037,0.119666,(37),119.946,(31),none
