Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1598.8,(123),35977600.0,95122.2,(0),30.9946,(9),none
1,251.411,(122),198052.0,484.888,(1),9.52283,(51),none
2,194.879,(119),2393.61,24.9241,(3),12.1126,(30),none
3,221.403,(120),589.875,2.76535,(17),36.2802,(7),none
4,166.111,(118),397.813,26.0053,(2),9.95234,(46),none
5,93.7745,(105),267.181,5.10509,(11),7.69569,(85),none
6,100.296,(106),209.534,3.08545,(14),5.69436,(112),none
7,110.183,(110),185.385,7.4773,(8),6.07431,(106),none
8,230.079,(121),161.505,23.3338,(4),8.16506,(78),none
9,123.991,(112),157.905,8.32987,(7),8.20833,(77),none
10,134.105,(114),132.245,4.39428,(12),8.59165,(65),none
11,81.2925,(97),93.6976,3.54535,(13),5.7053,(111),none
12,78.0583,(95),87.1457,2.00865,(20),5.64449,(113),none
13,154.453,(117),55.3878,9.66036,(6),9.78229,(48),none
14,142.254,(116),52.6993,11.3977,(5),8.43106,(73),none
15,139.054,(115),50.9624,2.69572,(19),8.35031,(75),none
16,90.2321,(103),50.853,3.00461,(15),7.91157,(82),none
17,84.6998,(98),48.3825,1.9275,(21),40.5988,(6),none
18,88.3561,(102),44.0272,1.66086,(24),6.82879,(99),none
19,106.275,(109),44.0016,2.89129,(16),7.09876,(96),none
20,84.9229,(99),41.1879,1.92117,(22),8.89052,(61),none
21,117.648,(111),40.7306,5.22882,(10),8.781,(63),none
22,102.754,(107),40.5247,1.89489,(23),8.78688,(62),none
23,55.6771,(65),37.6636,1.53222,(25),5.38897,(115),none
24,63.4673,(77),33.6723,0.604195,(42),14.2282,(20),none
25,76.7649,(94),33.0587,0.797464,(36),12.4033,(26),none
26,70.8473,(89),30.4176,0.926212,(31),3.70008,(121),none
27,80.04,(96),27.0813,0.758973,(39),10.3674,(44),none
28,66.1357,(81),25.5788,0.874997,(32),11.0256,(38),none
29,73.5424,(92),24.3707,2.72528,(18),6.96843,(98),none
30,105.51,(108),24.2578,1.03302,(30),6.32763,(103),none
31,69.2698,(86),22.0717,0.791208,(37),5.75814,(109),none
32,40.5199,(14),20.5426,0.201694,(79),4.43654,(120),none
33,57.8908,(68),19.3352,1.05196,(28),13.4771,(23),none
34,68.388,(85),19.1346,0.665214,(41),7.92089,(81),none
35,132.296,(113),19.0303,0.414539,(56),31.168,(8),none
36,44.9466,(35),18.9751,0.471605,(49),5.23059,(116),none
37,67.3869,(82),17.9515,0.416556,(53),6.27612,(105),none
38,52.6384,(59),16.3842,1.04077,(29),8.51341,(68),none
39,61.0945,(74),15.815,0.428998,(52),7.36737,(92),none
40,61.7108,(75),14.0321,0.768811,(38),7.55949,(88),none
41,54.1779,(62),11.9418,0.548502,(46),5.23001,(117),none
42,87.0026,(100),10.7744,0.533639,(48),8.9147,(60),none
43,48.8726,(49),10.5305,0.414659,(55),4.76941,(119),none
44,40.4743,(13),10.283,0.165053,(85),183.496,(2),none
45,60.6333,(73),9.34676,0.303087,(66),14.672,(19),none
46,64.5941,(79),9.33845,0.330873,(64),2.47509,(123),none
47,54.8814,(64),9.04127,0.60031,(43),9.26269,(54),none
48,72.5435,(91),8.51367,0.821763,(34),6.40427,(102),none
49,60.203,(72),7.87585,0.348134,(61),10.4638,(43),none
50,59.1341,(69),7.7791,0.11149,(98),14.8895,(18),none
51,87.6289,(101),7.42422,0.344003,(63),14.0782,(21),none
52,51.3868,(55),7.31311,0.2686,(69),8.56029,(67),none
53,44.5677,(33),7.09973,0.275831,(68),7.13031,(95),none
54,62.4699,(76),6.74079,0.86471,(33),11.913,(34),none
55,47.4438,(44),6.19513,0.465055,(50),7.83706,(83),none
56,50.7119,(54),6.09343,0.549933,(45),10.5033,(42),none
57,46.8935,(42),5.72191,0.374004,(58),5.94057,(108),none
58,46.6039,(41),5.66089,0.253738,(72),7.80993,(84),none
59,49.4544,(51),5.62526,0.820932,(35),7.4775,(90),none
60,46.1412,(39),5.15274,0.253426,(73),8.40562,(74),none
61,44.0188,(30),5.11677,0.178108,(84),6.58269,(101),none
62,59.5154,(71),4.99577,0.541049,(47),7.51734,(89),none
63,48.0957,(46),4.83088,0.353359,(60),10.027,(45),none
64,53.8274,(60),4.82887,0.115503,(94),8.49572,(70),none
65,38.5283,(4),4.67116,0.200828,(80),9.22547,(55),none
66,64.2101,(78),4.19842,0.0506248,(114),237.395,(1),none
67,70.0866,(87),4.16266,0.228889,(76),17.3186,(16),none
68,52.032,(57),4.14743,0.429528,(51),10.8694,(39),none
69,67.9443,(84),3.81779,0.286266,(67),8.07038,(79),none
70,39.8698,(12),3.67679,0.553561,(44),9.30514,(53),none
71,51.7321,(56),3.19052,0.26341,(70),7.22906,(94),none
72,43.7833,(29),3.10272,0.112306,(97),25.8091,(10),none
73,39.4532,(9),2.84772,0.209763,(78),7.00844,(97),none
74,59.368,(70),2.81994,0.136971,(91),8.50844,(69),none
75,64.831,(80),2.78866,1.19694,(27),3.67453,(122),none
