Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,653.54,(124),2218.59,13.3309,(1),422.606,(10),none
1,469.462,(120),1352.33,6.51804,(5),513.817,(5),none
2,557.948,(122),1261.78,12.1712,(2),297.299,(23),none
3,483.822,(121),1195.53,6.47165,(6),460.281,(7),none
4,750.173,(126),1101.67,16.1415,(0),179.082,(58),none
5,727.387,(125),821.382,11.7584,(4),168.091,(64),none
6,376.217,(118),750.846,4.37165,(7),441.925,(8),none
7,620.772,(123),535.749,11.8445,(3),116.499,(111),none
8,360.029,(117),412.027,3.42973,(9),304.502,(21),none
9,411.98,(119),216.35,3.88195,(8),132.305,(93),none
10,341.537,(116),200.196,2.37846,(10),218.204,(45),none
11,285.406,(114),190.155,1.87754,(13),237.973,(36),none
12,281.908,(113),152.459,1.60347,(15),230.554,(39),none
13,291.742,(115),147.153,2.22025,(12),156.718,(71),none
14,278.639,(112),142.608,2.31991,(11),205.872,(51),none
15,263.223,(111),120.192,1.79535,(14),163.029,(67),none
16,255.373,(110),92.1689,1.47471,(16),156.846,(70),none
17,222.609,(109),66.3793,1.09137,(18),145.377,(80),none
18,219.857,(108),50.3814,1.1838,(17),112.896,(117),none
19,173.815,(105),47.1614,0.15165,(25),989.082,(0),none
20,170.357,(103),34.8267,0.153119,(24),750.811,(2),none
21,159.272,(100),30.2452,0.139152,(28),741.208,(3),none
22,181.767,(107),16.3168,0.187213,(21),295.546,(24),none
23,130.246,(79),14.969,0.087804,(44),592.31,(4),none
24,142.946,(91),14.9187,0.124093,(33),377.584,(13),none
25,157.675,(98),13.6108,0.1206,(35),395.446,(11),none
26,171.724,(104),13.5575,0.176473,(23),228.131,(40),none
27,147.452,(93),12.4279,0.0951089,(42),464.876,(6),none
28,141.542,(90),11.6046,0.119437,(36),301.01,(22),none
29,151.71,(96),11.1713,0.139404,(27),341.627,(17),none
30,140.904,(89),11.0986,0.104505,(40),371.99,(14),none
31,149.641,(95),10.6451,0.226442,(19),137.264,(87),none
32,114.125,(67),10.6314,0.0457327,(63),787.659,(1),none
33,162.403,(101),8.50149,0.180354,(22),155.955,(73),none
34,144.97,(92),7.49438,0.0825712,(47),288.501,(26),none
35,116.755,(69),7.3464,0.0958942,(41),246.571,(35),none
36,180.771,(106),7.1459,0.19184,(20),112.538,(118),none
37,119.139,(70),7.11941,0.108404,(38),214.622,(47),none
38,100.07,(57),6.99741,0.110999,(37),208.6,(50),none
39,133.406,(84),6.86545,0.124364,(32),171.347,(60),none
40,138.608,(88),6.41782,0.131115,(29),197.052,(55),none
41,124.008,(77),6.37714,0.121536,(34),153.991,(75),none
42,158.352,(99),6.31474,0.130165,(30),147.675,(79),none
43,123.641,(76),5.97308,0.0591929,(56),321.138,(19),none
44,128.384,(78),5.56305,0.0907033,(43),202.639,(52),none
45,131.953,(81),5.47766,0.0761556,(49),214.224,(48),none
46,108.73,(61),5.43586,0.0572176,(57),319.793,(20),none
47,164.425,(102),5.41232,0.142464,(26),116.541,(110),none
48,136.129,(86),5.22294,0.124734,(31),131.1,(94),none
49,120.029,(71),4.70929,0.0617605,(54),227.084,(41),none
50,109.814,(62),4.62406,0.0349269,(67),426.133,(9),none
51,123.349,(75),4.50149,0.041933,(64),360.335,(15),none
52,104.957,(60),4.413,0.0508223,(62),284.757,(27),none
53,123.051,(74),4.26374,0.0873393,(45),138.703,(86),none
54,102.145,(59),3.92576,0.0817571,(48),153.93,(76),none
55,132.465,(83),3.8414,0.0549178,(59),232.6,(38),none
56,110.122,(63),3.72548,0.0379038,(65),334.024,(18),none
57,155.579,(97),3.55918,0.108287,(39),105.156,(123),none
58,122.383,(73),3.27505,0.0849326,(46),126.354,(97),none
59,136.843,(87),3.24035,0.0703734,(51),197.861,(54),none
60,132.219,(82),2.85169,0.0592636,(55),142.219,(83),none
61,149.051,(94),2.78639,0.0709536,(50),120.233,(107),none
62,134.174,(85),2.69962,0.0681322,(53),122.659,(103),none
63,90.5321,(50),2.69413,0.024188,(76),350.094,(16),none
64,116.278,(68),2.65739,0.0691019,(52),123.033,(101),none
65,113.636,(66),2.62906,0.053212,(60),150.04,(77),none
66,95.6338,(56),2.57006,0.0368461,(66),216.275,(46),none
67,130.663,(80),2.09967,0.0522956,(61),128.144,(95),none
68,94.0015,(55),2.09944,0.0276864,(74),268.067,(30),none
69,89.0868,(48),2.08176,0.0312039,(72),226.009,(42),none
70,110.262,(65),2.04513,0.0343782,(68),291.335,(25),none
71,91.3432,(51),2.02761,0.0242858,(75),283.479,(28),none
72,110.23,(64),1.98589,0.0316378,(71),277.699,(29),none
73,121.788,(72),1.87207,0.0552447,(58),118.133,(109),none
74,76.8845,(39),1.71986,0.0234731,(78),250.538,(34),none
75,93.3605,(54),1.68949,0.0241437,(77),219.467,(44),none
76,87.5643,(47),1.60564,0.0218861,(83),253.653,(32),none
77,84.581,(43),1.52964,0.0202797,(86),261.256,(31),none
78,91.9966,(53),1.52654,0.0205336,(85),252.254,(33),none
79,101.558,(58),1.39828,0.0331879,(69),143.209,(81),none
80,89.1934,(49),1.27917,0.0198835,(88),200.387,(53),none
81,84.737,(44),1.27852,0.0200567,(87),209.814,(49),none
82,65.0599,(27),1.26731,0.0103393,(99),391.242,(12),none
83,70.9587,(35),1.17267,0.020547,(84),181.121,(57),none
84,85.8598,(46),1.1679,0.0220232,(80),163.472,(66),none
85,61.0125,(25),1.15156,0.0220037,(81),149.652,(78),none
86,85.5954,(45),1.14842,0.0173432,(90),221.019,(43),none
87,80.7865,(41),1.01088,0.0328337,(70),100.288,(126),none
88,91.8324,(52),0.993872,0.0279425,(73),104.159,(125),none
89,72.1513,(36),0.956104,0.0138948,(96),237.076,(37),none
90,80.1246,(40),0.914266,0.0227984,(79),122.855,(102),none
91,74.1438,(37),0.867585,0.0184367,(89),158.952,(68),none
92,65.5505,(30),0.812086,0.0151667,(94),168.093,(63),none
93,69.0612,(33),0.733793,0.015866,(92),142.546,(82),none
94,70.6972,(34),0.714307,0.0219388,(82),106.379,(121),none
95,75.6789,(38),0.665868,0.0142098,(95),154.56,(74),none
96,68.1649,(32),0.562776,0.0154306,(93),124.3,(99),none
97,82.0207,(42),0.489831,0.0161681,(91),105.159,(122),none
98,60.6715,(24),0.440566,0.00752609,(102),178.867,(59),none
99,65.2513,(28),0.42808,0.0104811,(98),127.433,(96),none
100,58.2943,(23),0.4257,0.0119001,(97),106.514,(120),none
101,65.6328,(31),0.415016,0.0079219,(101),170.716,(61),none
102,63.4925,(26),0.394716,0.00965652,(100),123.678,(100),none
103,53.2971,(18),0.385242,0.00665448,(105),187.03,(56),none
104,55.0444,(20),0.320936,0.00733063,(103),136.268,(89),none
105,51.7914,(14),0.309883,0.00610621,(106),167.447,(65),none
106,51.8742,(15),0.255704,0.00536867,(110),139.201,(85),none
107,54.1954,(19),0.252862,0.00731712,(104),115.578,(113),none
108,65.5189,(29),0.222816,0.00437828,(113),158.112,(69),none
109,51.9596,(16),0.211096,0.00488131,(112),135.389,(91),none
110,57.0024,(22),0.210786,0.00569861,(108),133.541,(92),none
111,43.6912,(8),0.21016,0.00580411,(107),121.333,(106),none
112,52.3016,(17),0.201967,0.00568579,(109),122.507,(104),none
113,50.7031,(13),0.175853,0.00525166,(111),113.061,(116),none
114,43.7925,(9),0.165421,0.00384526,(116),140.304,(84),none
115,55.1787,(21),0.148616,0.00418453,(114),113.937,(114),none
116,50.1684,(12),0.148409,0.00346865,(117),156.296,(72),none
117,47.5768,(11),0.147204,0.00295844,(118),170.494,(62),none
118,45.186,(10),0.145071,0.00405515,(115),110.944,(119),none
119,41.2539,(6),0.102573,0.00270029,(119),125.349,(98),none
120,40.3705,(5),0.10043,0.00240994,(120),136.395,(88),none
121,41.947,(7),0.0760962,0.00216282,(121),116.351,(112),none
122,34.8498,(0),0.0690728,0.00193788,(122),135.809,(90),none
123,35.0344,(1),0.0643891,0.0018901,(123),113.144,(115),none
124,39.2596,(4),0.0522554,0.00177317,(124),121.936,(105),none
125,35.1311,(2),0.0491728,0.00166757,(125),104.862,(124),none
126,36.9344,(3),0.0416957,0.00129185,(126),118.827,(108),none
