Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,845.15,(8),58.332,8236.1,14.91,(18),1705.3,(4),['59-Pr-141_n-tot']
1,218.7,(1),114.67,7800.7,4.124,(42),5592.1,(0),['59-Pr-141_n-tot']
2,635.8,(6),67.253,6058.7,8.839,(33),2081.9,(3),['59-Pr-141_n-tot']
3,235.23,(2),110.57,6011.6,3.662,(43),4742.3,(1),['59-Pr-141_n-tot']
4,359.53,(3),89.434,5373.7,4.705,(40),3318.5,(2),['59-Pr-141_n-tot']
5,2096.7,(13),37.034,4661.1,20.98,(10),682.24,(11),['59-Pr-141_n-tot']
6,1484.2,(11),44.017,4469.8,19.72,(11),698.53,(10),['59-Pr-141_n-tot']
7,721.1,(7),63.15,4362.4,9.768,(30),1352.1,(6),['59-Pr-141_n-tot']
8,956.92,(9),54.819,4205.5,12.457,(25),1035.7,(7),['59-Pr-141_n-tot']
9,3602.8,(19),28.252,2723.2,29.26,(4),287.47,(19),['59-Pr-141_n-tot']
10,1715.5,(12),40.943,2717.6,11.0,(27),728.92,(9),['59-Pr-141_n-tot']
11,5596.8,(31),22.667,2571.4,42.29,(0),189.25,(26),['59-Pr-141_n-tot']
12,9615.1,(45),17.294,2524.7,30.37,(3),247.88,(21),['59-Pr-141_n-tot']
13,519.4,(5),74.408,2312.5,4.629,(41),1414.3,(5),['59-Pr-141_n-tot']
14,3780.5,(21),27.58,2296.9,18.03,(12),369.83,(12),['59-Pr-141_n-tot']
15,8907.2,(41),17.968,1855.4,14.44,(19),343.92,(15),['59-Pr-141_n-tot']
16,4586.2,(25),25.04,1720.4,24.42,(7),215.31,(24),['59-Pr-141_n-tot']
17,1119.5,(10),50.682,1705.8,5.84,(39),800.78,(8),['59-Pr-141_n-tot']
18,9443.6,(43),17.45,1589.8,32.32,(2),145.28,(33),['59-Pr-141_n-tot']
19,7347.5,(36),19.783,1574.8,25.84,(6),182.34,(27),['59-Pr-141_n-tot']
20,3761.8,(20),27.649,1555.7,13.35,(23),325.64,(16),['59-Pr-141_n-tot']
21,9258.5,(42),17.624,1337.8,28.0,(5),144.14,(34),['59-Pr-141_n-tot']
22,8804.6,(40),18.072,1282.3,34.32,(1),113.88,(43),['59-Pr-141_n-tot']
23,4620.4,(26),24.948,1261.0,14.27,(20),256.41,(20),['59-Pr-141_n-tot']
24,2453.1,(15),34.238,1059.6,8.04,(34),354.53,(13),['59-Pr-141_n-tot']
25,5245.2,(30),23.415,955.71,13.73,(21),194.63,(25),['59-Pr-141_n-tot']
26,6711.3,(33),20.7,921.33,15.64,(15),169.14,(30),['59-Pr-141_n-tot']
27,8062.4,(38),18.886,915.36,23.77,(8),114.5,(42),['59-Pr-141_n-tot']
28,4541.2,(24),25.164,909.99,13.16,(24),219.14,(23),['59-Pr-141_n-tot']
29,9557.6,(44),17.346,904.81,21.09,(9),121.15,(41),['59-Pr-141_n-tot']
30,5729.3,(32),22.404,876.52,13.72,(22),179.41,(29),['59-Pr-141_n-tot']
31,2132.2,(14),36.724,871.47,6.68,(38),345.09,(14),['59-Pr-141_n-tot']
32,7169.3,(35),20.028,801.82,15.2,(16),146.7,(31),['59-Pr-141_n-tot']
33,7779.4,(37),19.226,751.69,16.15,(13),130.14,(36),['59-Pr-141_n-tot']
34,3928.2,(22),27.057,729.86,11.29,(26),181.66,(28),['59-Pr-141_n-tot']
35,2998.2,(17),30.97,707.0,8.03,(35),232.2,(22),['59-Pr-141_n-tot']
36,6726.2,(34),20.677,613.86,15.8,(14),128.7,(38),['59-Pr-141_n-tot']
37,8229.3,(39),18.693,610.81,15.16,(17),111.18,(44),['59-Pr-141_n-tot']
38,4670.3,(27),24.814,534.02,10.88,(28),136.97,(35),['59-Pr-141_n-tot']
39,5137.0,(29),23.66,464.23,9.31,(31),128.72,(37),['59-Pr-141_n-tot']
40,3473.1,(18),28.775,449.72,7.83,(36),146.28,(32),['59-Pr-141_n-tot']
41,4521.0,(23),25.22,435.6,8.94,(32),122.6,(40),['59-Pr-141_n-tot']
42,4973.2,(28),24.046,423.83,10.65,(29),108.16,(45),['59-Pr-141_n-tot']
43,2926.1,(16),31.349,337.52,6.77,(37),126.14,(39),['59-Pr-141_n-tot']
44,387.94,(4),86.097,269.45,2.33,(44),288.66,(18),['59-Pr-141_n-tot']
45,85.203,(0),183.71,143.46,1.115,(45),316.23,(17),['59-Pr-141_n-tot']
